algorithm_name,sampler,solutions
water_tesource_management,RandomSampler,"Any[73450.53118969974, 1350.0, 2.85346896494178e6, 183750.31612652686, 7.245920191406796]"
water_tesource_management,RandomSampler,"Any[63846.949696270196, 402.1097413606181, 287129.915522618, 6.558991538889986e6, 24999.764661722595]"
water_tesource_management,RandomSampler,"Any[64263.99456855457, 493.70240429698674, 398469.60067300685, 5.6168610481607355e6, 14356.748026284342]"
water_tesource_management,RandomSampler,"Any[73450.53118969974, 1306.5914928422264, 2.85346896494178e6, 183750.31612652686, 32.90123330523045]"
water_tesource_management,RandomSampler,"Any[73450.53118969974, 1306.5914928422264, 2.85346896494178e6, 183750.31612652686, 32.90123330523045]"
water_tesource_management,RandomSampler,"Any[73450.53118969974, 1306.5914928422264, 2.85346896494178e6, 183750.31612652686, 32.90123330523045]"
water_tesource_management,RandomSampler,"Any[73450.53118969974, 1306.5914928422264, 2.85346896494178e6, 183750.31612652686, 32.90123330523045]"
water_tesource_management,RandomSampler,"Any[73430.74080543207, 1233.0125662368555, 2.8468958865897013e6, 185523.22804074694, 88.02553841022984]"
water_tesource_management,RandomSampler,"Any[64678.57399534887, 226.67193111138985, 509361.9223370213, 4.812703166011448e6, 24999.699560919827]"
water_tesource_management,RandomSampler,"Any[64678.57399534887, 226.67193111138985, 509361.9223370213, 4.812703166011448e6, 24999.699560919827]"
water_tesource_management,RandomSampler,"Any[64681.43549242979, 226.33856686532368, 510127.6196326992, 4.807570732392731e6, 24998.91327150516]"
water_tesource_management,RandomSampler,"Any[63900.59124223161, 383.04589579417933, 301438.9468849355, 6.429601960656181e6, 24998.26492645905]"
water_tesource_management,RandomSampler,"Any[72982.63854692006, 1180.0463040383077, 2.7271504794718637e6, 219201.27802682403, 164.94308894301923]"
water_tesource_management,RandomSampler,"Any[73236.33010372071, 1139.2615226876505, 2.7962284673580057e6, 199002.2703272499, 168.8221173258853]"
water_tesource_management,RandomSampler,"Any[63900.59124223161, 383.04589579417933, 301438.9468849355, 6.429601960656181e6, 24998.26492645905]"
water_tesource_management,RandomSampler,"Any[73014.70029218194, 1127.9498198906779, 2.737000055528833e6, 216118.05503487625, 198.60862876737855]"
