algorithm_name,sampler,solutions
water_tesource_management,TPESampler,"Any[73450.51285533186, 1350.0, 2.85346896494178e6, 183750.00377945424, 7.2247150351419265]"
water_tesource_management,TPESampler,"Any[64982.509986680394, 195.64252120778357, 590191.6722999512, 4.300774793824476e6, 24999.484571402354]"
water_tesource_management,TPESampler,"Any[65380.24751938279, 166.33226830317093, 695609.401821923, 3.7145048230601926e6, 24950.762218691925]"
water_tesource_management,TPESampler,"Any[65621.65949059866, 197.05916994264632, 761269.6451194362, 3.3884736624548123e6, 19065.090110250174]"
water_tesource_management,TPESampler,"Any[73451.42322252238, 1002.2642088255751, 2.853378698829498e6, 183794.3784011898, 276.62388212479385]"
water_tesource_management,TPESampler,"Any[65416.88035577205, 215.15639408996486, 705425.6021071443, 3.6640228315201397e6, 18839.78237819472]"
water_tesource_management,TPESampler,"Any[64982.509986680394, 195.64252120778357, 590191.6722999512, 4.300774793824476e6, 24999.484571402354]"
water_tesource_management,TPESampler,"Any[65330.79253606264, 168.88665481849276, 683649.1069314491, 3.775266541621476e6, 24999.457027887]"
water_tesource_management,TPESampler,"Any[65455.06006140902, 231.7057701663072, 664329.643864736, 3.9495747212758274e6, 18787.773504642286]"
water_tesource_management,TPESampler,"Any[65330.79253606264, 168.88665481849276, 683649.1069314491, 3.775266541621476e6, 24999.457027887]"
water_tesource_management,TPESampler,"Any[69294.09535177708, 1288.2490381200794, 1.7421966140667796e6, 864213.0362877653, 562.8500511268599]"
water_tesource_management,TPESampler,"Any[69123.73708963348, 1288.3774924509578, 1.6869205079936904e6, 936551.4843746668, 648.3497976534899]"
water_tesource_management,TPESampler,"Any[69129.13902796812, 1288.2490381200794, 1.6869205079936904e6, 937020.6582386771, 654.734046743323]"
water_tesource_management,TPESampler,"Any[70201.58442477182, 1057.0967840890785, 1.9837325772199384e6, 617504.5408288691, 660.2058102375267]"
water_tesource_management,TPESampler,"Any[69029.7291663504, 1200.2036449028578, 1.6710439284973652e6, 954429.4468765238, 722.8497839380047]"
water_tesource_management,TPESampler,"Any[69564.53431189334, 1058.328151428189, 1.8134832432853351e6, 782782.4855987119, 791.6265598885225]"
water_tesource_management,TPESampler,"Any[73300.28554619562, 632.6627512508417, 2.8132338842723332e6, 194349.20490496527, 906.756967238233]"
water_tesource_management,TPESampler,"Any[64971.667025967814, 196.56472647298776, 587430.9948674003, 4.317141287908706e6, 24998.529415680485]"
water_tesource_management,TPESampler,"Any[63892.67400448519, 386.3020138666035, 298920.10784967506, 6.453104577391499e6, 24998.115914881582]"
water_tesource_management,TPESampler,"Any[63892.67400448519, 386.3020138666035, 298920.10784967506, 6.453104577391499e6, 24998.115914881582]"
water_tesource_management,TPESampler,"Any[69914.76445629427, 860.0862976747927, 1.907095449605411e6, 687073.9479083862, 1055.1661311307662]"
water_tesource_management,TPESampler,"Any[71504.06808633241, 805.2701580201486, 2.2504235263418606e6, 438081.76702192705, 1235.313490476016]"
water_tesource_management,TPESampler,"Any[65371.729460396455, 202.61895803536453, 694593.33163163, 3.7181401621419103e6, 20371.766481374456]"
water_tesource_management,TPESampler,"Any[72462.8034165716, 607.5894917770826, 2.5654275644041304e6, 276770.9848191814, 1247.7429292710754]"
water_tesource_management,TPESampler,"Any[70020.31590978785, 722.9078539815478, 1.935823868148409e6, 660000.7042835425, 1365.026970314689]"
water_tesource_management,TPESampler,"Any[72174.36975100769, 1027.1395150125138, 2.29363811720451e6, 432403.3616629554, 1444.7104430382808]"
water_tesource_management,TPESampler,"Any[69183.50643822012, 93.7147599246762, 1.71320317433624e6, 899657.7592379104, 17763.17706229201]"
water_tesource_management,TPESampler,"Any[65368.54301295086, 233.80531732726672, 692995.6103059534, 3.7273896933804043e6, 17597.878575349256]"
water_tesource_management,TPESampler,"Any[64017.927657573186, 347.58851253323155, 332229.94753913616, 6.160853787950771e6, 24997.504278743163]"
water_tesource_management,TPESampler,"Any[65332.1049880226, 168.91263683935946, 683649.1069314491, 3.775725952454076e6, 24997.011916045743]"
water_tesource_management,TPESampler,"Any[64045.222888893455, 339.52922298395197, 340100.01732140227, 6.092461509553606e6, 24996.220008819393]"
water_tesource_management,TPESampler,"Any[64045.222888893455, 339.52922298395197, 340100.01732140227, 6.092461509553606e6, 24996.220008819393]"
water_tesource_management,TPESampler,"Any[65338.0742502115, 185.97320839418194, 685586.0543448869, 3.765105332578208e6, 22566.248396262243]"
water_tesource_management,TPESampler,"Any[64045.222888893455, 339.52922298395197, 340100.01732140227, 6.092461509553606e6, 24996.220008819393]"
