algorithm_name,sampler,solutions
simply_supported_I_beam_design,RandomSampler,"Any[127.66453980648069, 0.06001706887032944]"
simply_supported_I_beam_design,RandomSampler,"Any[850.0, 0.005902606984751598]"
simply_supported_I_beam_design,RandomSampler,"Any[152.54714857180045, 0.030451565731853415]"
simply_supported_I_beam_design,RandomSampler,"Any[127.94658883327844, 0.05305075960852148]"
simply_supported_I_beam_design,RandomSampler,"Any[128.0193848086764, 0.05296856102161444]"
simply_supported_I_beam_design,RandomSampler,"Any[128.04218273202952, 0.05253825262810664]"
simply_supported_I_beam_design,RandomSampler,"Any[823.6138484073622, 0.005978851126159878]"
simply_supported_I_beam_design,RandomSampler,"Any[128.091862836375, 0.05250874603622728]"
simply_supported_I_beam_design,RandomSampler,"Any[128.14218969740438, 0.052029143254094246]"
simply_supported_I_beam_design,RandomSampler,"Any[817.3319855909191, 0.005997063217364715]"
simply_supported_I_beam_design,RandomSampler,"Any[766.5403295404815, 0.006150408840201304]"
simply_supported_I_beam_design,RandomSampler,"Any[763.6280217505027, 0.006159114940384656]"
simply_supported_I_beam_design,RandomSampler,"Any[128.18665828872372, 0.0516760011349928]"
simply_supported_I_beam_design,RandomSampler,"Any[128.2311079241461, 0.05118080971064721]"
simply_supported_I_beam_design,RandomSampler,"Any[744.1641557747793, 0.006220647871017021]"
simply_supported_I_beam_design,RandomSampler,"Any[737.7388762562977, 0.006241185740619647]"
simply_supported_I_beam_design,RandomSampler,"Any[128.49532808636167, 0.050938882138506725]"
simply_supported_I_beam_design,RandomSampler,"Any[128.5012718547179, 0.04981193652201528]"
simply_supported_I_beam_design,RandomSampler,"Any[735.323007989344, 0.006248197413339655]"
simply_supported_I_beam_design,RandomSampler,"Any[726.6268103145667, 0.006275912954497996]"
simply_supported_I_beam_design,RandomSampler,"Any[679.2798323935372, 0.006432032572608186]"
simply_supported_I_beam_design,RandomSampler,"Any[664.1216519923905, 0.006483832953329129]"
simply_supported_I_beam_design,RandomSampler,"Any[648.3841267677358, 0.006538384799104245]"
simply_supported_I_beam_design,RandomSampler,"Any[129.04709827169646, 0.04937692619112921]"
simply_supported_I_beam_design,RandomSampler,"Any[129.0832989761889, 0.0478177606337516]"
simply_supported_I_beam_design,RandomSampler,"Any[645.2965633024523, 0.006548823897541475]"
simply_supported_I_beam_design,RandomSampler,"Any[129.17407252975838, 0.047662448203037805]"
simply_supported_I_beam_design,RandomSampler,"Any[129.35286298850772, 0.047222022249396194]"
simply_supported_I_beam_design,RandomSampler,"Any[129.42274611330936, 0.045738990784604014]"
simply_supported_I_beam_design,RandomSampler,"Any[635.8892568916548, 0.006582255431496781]"
simply_supported_I_beam_design,RandomSampler,"Any[606.7867431605088, 0.006687318022483946]"
simply_supported_I_beam_design,RandomSampler,"Any[129.84625236371969, 0.045517112889010954]"
simply_supported_I_beam_design,RandomSampler,"Any[129.86364073947806, 0.04501804636791975]"
simply_supported_I_beam_design,RandomSampler,"Any[130.05998735109685, 0.04488025005182401]"
simply_supported_I_beam_design,RandomSampler,"Any[130.73965394159734, 0.04292981879779125]"
simply_supported_I_beam_design,RandomSampler,"Any[130.74959346913317, 0.042925004690473174]"
simply_supported_I_beam_design,RandomSampler,"Any[130.9241947090713, 0.041500242329523956]"
simply_supported_I_beam_design,RandomSampler,"Any[599.513280970498, 0.006713220166152275]"
simply_supported_I_beam_design,RandomSampler,"Any[581.502773295021, 0.006784048510381305]"
simply_supported_I_beam_design,RandomSampler,"Any[131.5464094186105, 0.041209351659939275]"
simply_supported_I_beam_design,RandomSampler,"Any[131.54681645353355, 0.03973982619179616]"
simply_supported_I_beam_design,RandomSampler,"Any[131.59227499558224, 0.03965290155473041]"
simply_supported_I_beam_design,RandomSampler,"Any[131.98025097795053, 0.0391611546136876]"
simply_supported_I_beam_design,RandomSampler,"Any[550.6329140188868, 0.006998411800272332]"
simply_supported_I_beam_design,RandomSampler,"Any[547.131930891465, 0.007039249196509375]"
simply_supported_I_beam_design,RandomSampler,"Any[523.566641864757, 0.007341883123843284]"
simply_supported_I_beam_design,RandomSampler,"Any[519.1572094317704, 0.007431632180993598]"
simply_supported_I_beam_design,RandomSampler,"Any[132.2164835648723, 0.03886521058685901]"
simply_supported_I_beam_design,RandomSampler,"Any[132.32525683129438, 0.03801935583853605]"
simply_supported_I_beam_design,RandomSampler,"Any[516.1450411636897, 0.0074529522676284555]"
simply_supported_I_beam_design,RandomSampler,"Any[513.5963979707022, 0.007479542664860527]"
