algorithm_name,sampler,solutions
simply_supported_I_beam_design,TPESampler,"Any[127.6785818778903, 0.05569781205131555]"
simply_supported_I_beam_design,TPESampler,"Any[850.0, 0.005902606984751598]"
simply_supported_I_beam_design,TPESampler,"Any[210.8300131356352, 0.01978248214704457]"
simply_supported_I_beam_design,TPESampler,"Any[848.4719544719137, 0.005914716636274258]"
simply_supported_I_beam_design,TPESampler,"Any[127.78214952080117, 0.055216266915756367]"
simply_supported_I_beam_design,TPESampler,"Any[127.86859967590013, 0.05381715750589893]"
simply_supported_I_beam_design,TPESampler,"Any[844.3730109656045, 0.005918743047187556]"
simply_supported_I_beam_design,TPESampler,"Any[128.07686648796243, 0.0537034479748434]"
simply_supported_I_beam_design,TPESampler,"Any[128.12868614023216, 0.051825901858960785]"
simply_supported_I_beam_design,TPESampler,"Any[128.56454266573814, 0.05026336795586078]"
simply_supported_I_beam_design,TPESampler,"Any[839.0546925555616, 0.005933945467596126]"
simply_supported_I_beam_design,TPESampler,"Any[838.1291604274617, 0.005936687315499743]"
simply_supported_I_beam_design,TPESampler,"Any[834.1861036728337, 0.005950864869167455]"
simply_supported_I_beam_design,TPESampler,"Any[831.6191416593862, 0.005955573765441052]"
simply_supported_I_beam_design,TPESampler,"Any[129.2085168490225, 0.0499238523016715]"
simply_supported_I_beam_design,TPESampler,"Any[129.2512205556944, 0.04960637968655912]"
simply_supported_I_beam_design,TPESampler,"Any[129.44724726695253, 0.046335824113691124]"
simply_supported_I_beam_design,TPESampler,"Any[129.4475338580225, 0.04633577469388967]"
simply_supported_I_beam_design,TPESampler,"Any[129.4960667335975, 0.04544007897978808]"
simply_supported_I_beam_design,TPESampler,"Any[830.9794236852465, 0.005957249670584045]"
simply_supported_I_beam_design,TPESampler,"Any[826.4688991340071, 0.005970368493133499]"
simply_supported_I_beam_design,TPESampler,"Any[826.4688991340071, 0.005970368493133499]"
simply_supported_I_beam_design,TPESampler,"Any[129.57196930944386, 0.045264268296710534]"
simply_supported_I_beam_design,TPESampler,"Any[129.7104166556437, 0.0449884280544961]"
simply_supported_I_beam_design,TPESampler,"Any[823.1872601114975, 0.005979900893226392]"
simply_supported_I_beam_design,TPESampler,"Any[820.4866437580829, 0.00598799252199668]"
simply_supported_I_beam_design,TPESampler,"Any[129.76789496607253, 0.04496052772830624]"
simply_supported_I_beam_design,TPESampler,"Any[129.7721813619627, 0.04445640645410341]"
simply_supported_I_beam_design,TPESampler,"Any[818.5597505279545, 0.005993451162022139]"
simply_supported_I_beam_design,TPESampler,"Any[813.6655524817102, 0.006008433065362249]"
simply_supported_I_beam_design,TPESampler,"Any[810.9840241262474, 0.006015824209349107]"
simply_supported_I_beam_design,TPESampler,"Any[809.1910770378172, 0.006022011783314413]"
simply_supported_I_beam_design,TPESampler,"Any[129.98543914596507, 0.044162487684887224]"
simply_supported_I_beam_design,TPESampler,"Any[804.8091027493015, 0.006034423086583445]"
simply_supported_I_beam_design,TPESampler,"Any[802.2603078497475, 0.006041680737594584]"
simply_supported_I_beam_design,TPESampler,"Any[799.4141466096029, 0.006050363476387069]"
simply_supported_I_beam_design,TPESampler,"Any[130.21921933070735, 0.043778052435557754]"
simply_supported_I_beam_design,TPESampler,"Any[130.3674182932051, 0.04262640438591453]"
simply_supported_I_beam_design,TPESampler,"Any[130.53077244259586, 0.04249786214802204]"
simply_supported_I_beam_design,TPESampler,"Any[130.58132550700014, 0.04222446003923369]"
simply_supported_I_beam_design,TPESampler,"Any[130.61427256224908, 0.0421113627757845]"
simply_supported_I_beam_design,TPESampler,"Any[130.77248532632876, 0.041841666000369246]"
simply_supported_I_beam_design,TPESampler,"Any[797.5676813276355, 0.0060556756702452265]"
simply_supported_I_beam_design,TPESampler,"Any[792.3669847544636, 0.006071277879780205]"
simply_supported_I_beam_design,TPESampler,"Any[790.5922187049564, 0.006077242890485072]"
simply_supported_I_beam_design,TPESampler,"Any[130.81719971471514, 0.04172709395051433]"
simply_supported_I_beam_design,TPESampler,"Any[130.86241662366118, 0.04135500988859064]"
simply_supported_I_beam_design,TPESampler,"Any[788.4801493201672, 0.0060837049296918935]"
simply_supported_I_beam_design,TPESampler,"Any[786.0183090169827, 0.006090749817673826]"
simply_supported_I_beam_design,TPESampler,"Any[131.2703103147274, 0.041151427500495816]"
simply_supported_I_beam_design,TPESampler,"Any[131.2851340085997, 0.0407496071641582]"
simply_supported_I_beam_design,TPESampler,"Any[784.2813081717566, 0.00609624499181732]"
simply_supported_I_beam_design,TPESampler,"Any[131.28869805289696, 0.040749057329235255]"
simply_supported_I_beam_design,TPESampler,"Any[131.34901606302412, 0.040150039883033194]"
simply_supported_I_beam_design,TPESampler,"Any[131.42213559716714, 0.040053150905242155]"
simply_supported_I_beam_design,TPESampler,"Any[131.59755511838642, 0.03976899418635319]"
simply_supported_I_beam_design,TPESampler,"Any[131.6397132279593, 0.03958384278330887]"
simply_supported_I_beam_design,TPESampler,"Any[131.80154072899342, 0.03943716608368728]"
simply_supported_I_beam_design,TPESampler,"Any[131.83419196367936, 0.03927819393687475]"
simply_supported_I_beam_design,TPESampler,"Any[131.97319256946815, 0.03887863831030974]"
simply_supported_I_beam_design,TPESampler,"Any[131.9742913942242, 0.038878144299101663]"
simply_supported_I_beam_design,TPESampler,"Any[132.25346121873847, 0.0386171640311441]"
simply_supported_I_beam_design,TPESampler,"Any[779.5704381932286, 0.006110255021537236]"
simply_supported_I_beam_design,TPESampler,"Any[132.4444928862879, 0.038536526876776056]"
simply_supported_I_beam_design,TPESampler,"Any[132.4506556970906, 0.03818536416375861]"
simply_supported_I_beam_design,TPESampler,"Any[779.5704381932286, 0.006110255021537236]"
simply_supported_I_beam_design,TPESampler,"Any[132.59818938546908, 0.0380996453257737]"
simply_supported_I_beam_design,TPESampler,"Any[132.6046007707251, 0.037538334120640345]"
simply_supported_I_beam_design,TPESampler,"Any[776.2743132747147, 0.006120261489639916]"
simply_supported_I_beam_design,TPESampler,"Any[774.860050742848, 0.0061248449611517475]"
simply_supported_I_beam_design,TPESampler,"Any[769.7068636713434, 0.006140266256857413]"
simply_supported_I_beam_design,TPESampler,"Any[133.1394075225495, 0.03733737956974918]"
simply_supported_I_beam_design,TPESampler,"Any[133.294379465249, 0.037247075295082]"
simply_supported_I_beam_design,TPESampler,"Any[760.1699981399925, 0.006171218025647124]"
simply_supported_I_beam_design,TPESampler,"Any[757.1393396952634, 0.006180596732868916]"
simply_supported_I_beam_design,TPESampler,"Any[755.5466004025062, 0.006184184704647664]"
simply_supported_I_beam_design,TPESampler,"Any[742.4473349851346, 0.0062270166246735925]"
simply_supported_I_beam_design,TPESampler,"Any[738.6950787136163, 0.006237281134999279]"
simply_supported_I_beam_design,TPESampler,"Any[738.5676311928436, 0.006237685992971311]"
simply_supported_I_beam_design,TPESampler,"Any[734.9782191119443, 0.006249110013344612]"
simply_supported_I_beam_design,TPESampler,"Any[732.9495616577552, 0.006255579359749095]"
simply_supported_I_beam_design,TPESampler,"Any[728.7697575228384, 0.006268955878193917]"
simply_supported_I_beam_design,TPESampler,"Any[728.7586132234171, 0.006269079241840624]"
simply_supported_I_beam_design,TPESampler,"Any[134.75591165649251, 0.036681146879310025]"
simply_supported_I_beam_design,TPESampler,"Any[135.336991437106, 0.036371168985952884]"
simply_supported_I_beam_design,TPESampler,"Any[725.3688946057459, 0.006280408925616707]"
simply_supported_I_beam_design,TPESampler,"Any[721.4724385388135, 0.006292492402049352]"
simply_supported_I_beam_design,TPESampler,"Any[716.5399724176191, 0.006308658618829196]"
simply_supported_I_beam_design,TPESampler,"Any[712.7198344279457, 0.0063208946349263525]"
simply_supported_I_beam_design,TPESampler,"Any[710.2970562004394, 0.006330443744394078]"
simply_supported_I_beam_design,TPESampler,"Any[705.4357040117584, 0.006344771581519202]"
simply_supported_I_beam_design,TPESampler,"Any[700.5039709049358, 0.006361024983648487]"
simply_supported_I_beam_design,TPESampler,"Any[136.07640179086184, 0.03606675689876359]"
simply_supported_I_beam_design,TPESampler,"Any[698.0984810730317, 0.006369109165340488]"
simply_supported_I_beam_design,TPESampler,"Any[690.6711000750686, 0.006394092440890749]"
simply_supported_I_beam_design,TPESampler,"Any[136.8223344332091, 0.035807750024837506]"
simply_supported_I_beam_design,TPESampler,"Any[137.314187252625, 0.035604943469907564]"
simply_supported_I_beam_design,TPESampler,"Any[137.8500102563661, 0.03540327979302059]"
simply_supported_I_beam_design,TPESampler,"Any[687.6173716846037, 0.006403876397019081]"
simply_supported_I_beam_design,TPESampler,"Any[681.6045225180242, 0.006424358464460232]"
simply_supported_I_beam_design,TPESampler,"Any[678.4095322965131, 0.006434863777407855]"
simply_supported_I_beam_design,TPESampler,"Any[138.48278896567658, 0.03514585715003312]"
simply_supported_I_beam_design,TPESampler,"Any[139.1023980017688, 0.03491365258575164]"
simply_supported_I_beam_design,TPESampler,"Any[675.9127330784956, 0.006446059297701127]"
simply_supported_I_beam_design,TPESampler,"Any[139.12789890198366, 0.034885423617886685]"
simply_supported_I_beam_design,TPESampler,"Any[139.68203624378182, 0.03471163522942948]"
simply_supported_I_beam_design,TPESampler,"Any[672.6673113234503, 0.006454745965015298]"
simply_supported_I_beam_design,TPESampler,"Any[667.901939126964, 0.00647062991383424]"
simply_supported_I_beam_design,TPESampler,"Any[140.08836097218392, 0.03450740801871154]"
simply_supported_I_beam_design,TPESampler,"Any[667.3142911106268, 0.006477563260068704]"
simply_supported_I_beam_design,TPESampler,"Any[664.5294987457069, 0.0064821526855992125]"
simply_supported_I_beam_design,TPESampler,"Any[663.1961826633424, 0.006491019028396953]"
simply_supported_I_beam_design,TPESampler,"Any[657.7920908216302, 0.006505756399236999]"
simply_supported_I_beam_design,TPESampler,"Any[141.0176713884929, 0.03423838640149409]"
simply_supported_I_beam_design,TPESampler,"Any[141.45753159097893, 0.034023232085214725]"
simply_supported_I_beam_design,TPESampler,"Any[654.4355394803217, 0.006517987949138681]"
simply_supported_I_beam_design,TPESampler,"Any[648.2609613133147, 0.006540947494305891]"
simply_supported_I_beam_design,TPESampler,"Any[141.9200603623209, 0.03389175259861544]"
simply_supported_I_beam_design,TPESampler,"Any[645.9015983415902, 0.006546707132965638]"
simply_supported_I_beam_design,TPESampler,"Any[643.6791787770645, 0.00655449165736197]"
simply_supported_I_beam_design,TPESampler,"Any[642.7488455113456, 0.006558131628852944]"
simply_supported_I_beam_design,TPESampler,"Any[637.8054439091462, 0.006575226115001759]"
simply_supported_I_beam_design,TPESampler,"Any[631.5526056677672, 0.0065973324872268665]"
simply_supported_I_beam_design,TPESampler,"Any[628.5249271078801, 0.006608148660426737]"
simply_supported_I_beam_design,TPESampler,"Any[626.0301037999393, 0.006619191723058119]"
simply_supported_I_beam_design,TPESampler,"Any[623.0946291790917, 0.006627517418338142]"
simply_supported_I_beam_design,TPESampler,"Any[619.0978113564182, 0.006641934838856119]"
simply_supported_I_beam_design,TPESampler,"Any[617.0287691581484, 0.006654587072989866]"
simply_supported_I_beam_design,TPESampler,"Any[613.8801778022753, 0.006665502217175736]"
simply_supported_I_beam_design,TPESampler,"Any[608.2212949154159, 0.00668145061535304]"
simply_supported_I_beam_design,TPESampler,"Any[607.6376472285074, 0.006684303876623254]"
simply_supported_I_beam_design,TPESampler,"Any[604.137553020502, 0.006696233884952808]"
simply_supported_I_beam_design,TPESampler,"Any[593.4524478117721, 0.006735581397822088]"
simply_supported_I_beam_design,TPESampler,"Any[144.54153811437175, 0.03294086060405866]"
simply_supported_I_beam_design,TPESampler,"Any[588.487520379704, 0.006755661149767063]"
simply_supported_I_beam_design,TPESampler,"Any[144.91080048371344, 0.0328097036451797]"
simply_supported_I_beam_design,TPESampler,"Any[145.55313709708648, 0.03259572228462462]"
simply_supported_I_beam_design,TPESampler,"Any[146.0806738396786, 0.0324458409317023]"
simply_supported_I_beam_design,TPESampler,"Any[585.6928098879658, 0.006766567322421985]"
simply_supported_I_beam_design,TPESampler,"Any[581.1508167539628, 0.006781885961588636]"
simply_supported_I_beam_design,TPESampler,"Any[574.7882616505321, 0.006805561891241739]"
simply_supported_I_beam_design,TPESampler,"Any[568.2643141163753, 0.0068302359679772735]"
simply_supported_I_beam_design,TPESampler,"Any[553.0206351920915, 0.006967453843573698]"
simply_supported_I_beam_design,TPESampler,"Any[550.6839569293988, 0.006997162681929938]"
simply_supported_I_beam_design,TPESampler,"Any[548.2002379504287, 0.0070328450834419645]"
simply_supported_I_beam_design,TPESampler,"Any[147.49637789178186, 0.03195410086295367]"
simply_supported_I_beam_design,TPESampler,"Any[543.9273776703293, 0.007084519628937248]"
simply_supported_I_beam_design,TPESampler,"Any[540.8982138240852, 0.007122478035051796]"
simply_supported_I_beam_design,TPESampler,"Any[537.4018693818585, 0.007161028518223317]"
simply_supported_I_beam_design,TPESampler,"Any[537.4018687528222, 0.0071610286539272655]"
simply_supported_I_beam_design,TPESampler,"Any[148.34842806299798, 0.03168752463224613]"
simply_supported_I_beam_design,TPESampler,"Any[148.6373167466997, 0.031589652796549184]"
simply_supported_I_beam_design,TPESampler,"Any[149.10924985372088, 0.031446387222898435]"
simply_supported_I_beam_design,TPESampler,"Any[534.5050574822222, 0.007200746879637679]"
simply_supported_I_beam_design,TPESampler,"Any[532.5096471903166, 0.0072305433053756335]"
simply_supported_I_beam_design,TPESampler,"Any[528.8434238320134, 0.007271673663866712]"
simply_supported_I_beam_design,TPESampler,"Any[525.5166371614118, 0.007315704945928031]"
simply_supported_I_beam_design,TPESampler,"Any[524.8184609359346, 0.007370867643060582]"
simply_supported_I_beam_design,TPESampler,"Any[521.844800237478, 0.007392509395947728]"
simply_supported_I_beam_design,TPESampler,"Any[150.24077929588879, 0.031105428284281995]"
simply_supported_I_beam_design,TPESampler,"Any[150.51801812780388, 0.0310387520564722]"
simply_supported_I_beam_design,TPESampler,"Any[150.93883106101057, 0.030887274102054482]"
simply_supported_I_beam_design,TPESampler,"Any[520.9101698255065, 0.007403668055275697]"
simply_supported_I_beam_design,TPESampler,"Any[518.2920776137294, 0.007419938904986953]"
simply_supported_I_beam_design,TPESampler,"Any[514.3403751858771, 0.007468982203878429]"
simply_supported_I_beam_design,TPESampler,"Any[151.50281381371457, 0.030830535885973835]"
simply_supported_I_beam_design,TPESampler,"Any[152.03233969487667, 0.030565414168209397]"
simply_supported_I_beam_design,TPESampler,"Any[512.0427254838244, 0.0075033668440177455]"
simply_supported_I_beam_design,TPESampler,"Any[152.6503161925979, 0.03039232136650541]"
simply_supported_I_beam_design,TPESampler,"Any[510.52381820785376, 0.007530128728552758]"
simply_supported_I_beam_design,TPESampler,"Any[152.95272774499978, 0.03032050722709311]"
simply_supported_I_beam_design,TPESampler,"Any[153.513867672484, 0.030145883374584605]"
simply_supported_I_beam_design,TPESampler,"Any[154.22174493307028, 0.029958509483570137]"
simply_supported_I_beam_design,TPESampler,"Any[508.30175421626353, 0.007555339368332705]"
simply_supported_I_beam_design,TPESampler,"Any[154.75906361944158, 0.029795638623398516]"
simply_supported_I_beam_design,TPESampler,"Any[502.8171196812336, 0.007640828699467467]"
simply_supported_I_beam_design,TPESampler,"Any[499.28448904270056, 0.007687919108054808]"
simply_supported_I_beam_design,TPESampler,"Any[497.6820113489782, 0.007720228436245217]"
simply_supported_I_beam_design,TPESampler,"Any[495.16481287427973, 0.007758518322423304]"
simply_supported_I_beam_design,TPESampler,"Any[493.40454455852887, 0.007777402254732239]"
simply_supported_I_beam_design,TPESampler,"Any[490.958747362823, 0.007815706050438246]"
simply_supported_I_beam_design,TPESampler,"Any[488.7402631770564, 0.00785312109314516]"
simply_supported_I_beam_design,TPESampler,"Any[485.3241092955642, 0.007912765550769293]"
simply_supported_I_beam_design,TPESampler,"Any[482.57503885965946, 0.007962781625561256]"
simply_supported_I_beam_design,TPESampler,"Any[479.83753729188, 0.007993687749639872]"
simply_supported_I_beam_design,TPESampler,"Any[157.14080328744436, 0.029161327125289113]"
simply_supported_I_beam_design,TPESampler,"Any[157.70651036343935, 0.02901238010695661]"
simply_supported_I_beam_design,TPESampler,"Any[477.36924267706326, 0.00803444300302069]"
simply_supported_I_beam_design,TPESampler,"Any[475.4948669749625, 0.008085813072074675]"
simply_supported_I_beam_design,TPESampler,"Any[474.60554972738356, 0.008116906454870919]"
simply_supported_I_beam_design,TPESampler,"Any[470.4082987782679, 0.008151812469707097]"
simply_supported_I_beam_design,TPESampler,"Any[466.52565983102295, 0.008222210737335279]"
simply_supported_I_beam_design,TPESampler,"Any[463.5460696324524, 0.008275339698212553]"
simply_supported_I_beam_design,TPESampler,"Any[460.76899734545384, 0.008330615150483937]"
simply_supported_I_beam_design,TPESampler,"Any[459.0334885067674, 0.008365570945402976]"
simply_supported_I_beam_design,TPESampler,"Any[456.32807462981714, 0.008401678110788811]"
simply_supported_I_beam_design,TPESampler,"Any[455.89252060060653, 0.008410583588134608]"
simply_supported_I_beam_design,TPESampler,"Any[453.4696987925001, 0.008455963160162732]"
simply_supported_I_beam_design,TPESampler,"Any[451.0683559124569, 0.00849964705630065]"
simply_supported_I_beam_design,TPESampler,"Any[448.3190634519497, 0.008556588468181161]"
simply_supported_I_beam_design,TPESampler,"Any[446.3457296388948, 0.008593290673015062]"
simply_supported_I_beam_design,TPESampler,"Any[442.65049564348465, 0.008662955630067122]"
simply_supported_I_beam_design,TPESampler,"Any[435.73746489661545, 0.00880216093678401]"
simply_supported_I_beam_design,TPESampler,"Any[434.51860571435367, 0.008825867362067757]"
simply_supported_I_beam_design,TPESampler,"Any[432.365741610368, 0.008870115618415808]"
simply_supported_I_beam_design,TPESampler,"Any[431.1870182193801, 0.00889886915490538]"
simply_supported_I_beam_design,TPESampler,"Any[427.64766574920134, 0.008971747650961636]"
simply_supported_I_beam_design,TPESampler,"Any[425.0141022735554, 0.009025613801451808]"
simply_supported_I_beam_design,TPESampler,"Any[414.66981328852825, 0.009258108841884684]"
simply_supported_I_beam_design,TPESampler,"Any[410.9338419090278, 0.009341709271636122]"
simply_supported_I_beam_design,TPESampler,"Any[408.7875624082842, 0.009392147216859622]"
simply_supported_I_beam_design,TPESampler,"Any[406.0841793239871, 0.009457229893157174]"
simply_supported_I_beam_design,TPESampler,"Any[162.41173052787605, 0.02781600509099232]"
simply_supported_I_beam_design,TPESampler,"Any[162.90638907545753, 0.02770145923586833]"
simply_supported_I_beam_design,TPESampler,"Any[163.40850777333844, 0.027583397605545467]"
simply_supported_I_beam_design,TPESampler,"Any[163.760085893308, 0.027511278328681048]"
simply_supported_I_beam_design,TPESampler,"Any[164.4393393377266, 0.027345941919901126]"
simply_supported_I_beam_design,TPESampler,"Any[404.1596096500713, 0.00950384698119648]"
simply_supported_I_beam_design,TPESampler,"Any[400.4411380667601, 0.00963334490593711]"
simply_supported_I_beam_design,TPESampler,"Any[394.589301068794, 0.009744621805996377]"
simply_supported_I_beam_design,TPESampler,"Any[165.26198362046262, 0.027160753420408815]"
simply_supported_I_beam_design,TPESampler,"Any[393.2060691658761, 0.009777893740248962]"
simply_supported_I_beam_design,TPESampler,"Any[390.1663385471301, 0.009857902091566317]"
simply_supported_I_beam_design,TPESampler,"Any[388.8761997268487, 0.009906982834397596]"
simply_supported_I_beam_design,TPESampler,"Any[387.52159979102214, 0.009926447468121758]"
simply_supported_I_beam_design,TPESampler,"Any[383.3011206962009, 0.010040856101095884]"
simply_supported_I_beam_design,TPESampler,"Any[376.64470569519074, 0.010224919634947725]"
simply_supported_I_beam_design,TPESampler,"Any[372.9979169604511, 0.010329878198359732]"
simply_supported_I_beam_design,TPESampler,"Any[371.1050572827828, 0.01039290122895179]"
simply_supported_I_beam_design,TPESampler,"Any[166.8555856214075, 0.026810028954706872]"
simply_supported_I_beam_design,TPESampler,"Any[167.5229689614854, 0.026663321797287892]"
simply_supported_I_beam_design,TPESampler,"Any[370.02836838182407, 0.010444255487260573]"
simply_supported_I_beam_design,TPESampler,"Any[368.38898094763294, 0.010466233723369876]"
simply_supported_I_beam_design,TPESampler,"Any[366.723232189966, 0.01051665281288812]"
simply_supported_I_beam_design,TPESampler,"Any[361.72300611304865, 0.010670509325313458]"
simply_supported_I_beam_design,TPESampler,"Any[356.65539932370683, 0.010831117620550633]"
simply_supported_I_beam_design,TPESampler,"Any[356.24437102665615, 0.010844887815676382]"
simply_supported_I_beam_design,TPESampler,"Any[353.72900047135266, 0.010928004489397932]"
simply_supported_I_beam_design,TPESampler,"Any[351.0998146391688, 0.011069209281152726]"
simply_supported_I_beam_design,TPESampler,"Any[348.3832327583498, 0.011108120670321308]"
simply_supported_I_beam_design,TPESampler,"Any[344.34359060160637, 0.011271880519426153]"
simply_supported_I_beam_design,TPESampler,"Any[343.23478727431115, 0.011288971096153441]"
simply_supported_I_beam_design,TPESampler,"Any[170.70242052759627, 0.02602846020375147]"
simply_supported_I_beam_design,TPESampler,"Any[171.34999711902984, 0.025892541408850486]"
simply_supported_I_beam_design,TPESampler,"Any[336.4236394191658, 0.011582942120550922]"
simply_supported_I_beam_design,TPESampler,"Any[332.01906157243286, 0.011696372418310987]"
simply_supported_I_beam_design,TPESampler,"Any[329.32332741008196, 0.011801594661526372]"
simply_supported_I_beam_design,TPESampler,"Any[327.10663514588333, 0.011886783829007218]"
simply_supported_I_beam_design,TPESampler,"Any[326.9238708807733, 0.011907095674197546]"
simply_supported_I_beam_design,TPESampler,"Any[173.28520862361128, 0.025505227175147475]"
simply_supported_I_beam_design,TPESampler,"Any[173.8637267491216, 0.025388078018935417]"
simply_supported_I_beam_design,TPESampler,"Any[323.4902612869838, 0.012033452756786602]"
simply_supported_I_beam_design,TPESampler,"Any[320.54375329430604, 0.012165115207633127]"
simply_supported_I_beam_design,TPESampler,"Any[318.53456505289944, 0.01223676252613629]"
simply_supported_I_beam_design,TPESampler,"Any[316.26786790823024, 0.012332944304427024]"
simply_supported_I_beam_design,TPESampler,"Any[314.6340995639623, 0.012403891197868173]"
simply_supported_I_beam_design,TPESampler,"Any[312.952385670985, 0.01247662697761512]"
simply_supported_I_beam_design,TPESampler,"Any[311.14041608375766, 0.012556624124227488]"
simply_supported_I_beam_design,TPESampler,"Any[310.198283319952, 0.012616721991090095]"
simply_supported_I_beam_design,TPESampler,"Any[308.6114794279743, 0.012689794506752282]"
simply_supported_I_beam_design,TPESampler,"Any[176.10404284849153, 0.024929236280193903]"
simply_supported_I_beam_design,TPESampler,"Any[176.5082833048919, 0.024850445474770555]"
simply_supported_I_beam_design,TPESampler,"Any[177.34004995463314, 0.024705254642064474]"
simply_supported_I_beam_design,TPESampler,"Any[307.24821259630966, 0.01273222261724669]"
simply_supported_I_beam_design,TPESampler,"Any[305.0622232915465, 0.01285439899922516]"
simply_supported_I_beam_design,TPESampler,"Any[178.64210961327808, 0.024459318998285233]"
simply_supported_I_beam_design,TPESampler,"Any[302.7466857438825, 0.012942477055720982]"
simply_supported_I_beam_design,TPESampler,"Any[300.0917088760476, 0.013070103222604719]"
simply_supported_I_beam_design,TPESampler,"Any[299.41518152688934, 0.013124436917733044]"
simply_supported_I_beam_design,TPESampler,"Any[298.0128341386954, 0.01317180165638933]"
simply_supported_I_beam_design,TPESampler,"Any[180.4508073543049, 0.024138952397584724]"
simply_supported_I_beam_design,TPESampler,"Any[181.39807197067395, 0.024019369908509038]"
simply_supported_I_beam_design,TPESampler,"Any[181.59645691277217, 0.023960009405765318]"
simply_supported_I_beam_design,TPESampler,"Any[182.3049723961651, 0.02384196910271256]"
simply_supported_I_beam_design,TPESampler,"Any[182.97123925372352, 0.02370052571833297]"
simply_supported_I_beam_design,TPESampler,"Any[184.07677889183262, 0.023521692771306613]"
simply_supported_I_beam_design,TPESampler,"Any[184.41900123419745, 0.023458400359511036]"
simply_supported_I_beam_design,TPESampler,"Any[185.06717486803365, 0.023357007815154096]"
simply_supported_I_beam_design,TPESampler,"Any[297.2213634928511, 0.013211495647608014]"
simply_supported_I_beam_design,TPESampler,"Any[127.73442213424468, 0.05522579550167337]"
simply_supported_I_beam_design,TPESampler,"Any[127.67858200697147, 0.05569781202536642]"
simply_supported_I_beam_design,TPESampler,"Any[186.38466763834265, 0.02314699579598328]"
simply_supported_I_beam_design,TPESampler,"Any[292.9031233229036, 0.01342912276387738]"
simply_supported_I_beam_design,TPESampler,"Any[289.68389952327345, 0.013603782512360905]"
simply_supported_I_beam_design,TPESampler,"Any[288.1853483231362, 0.013683358150209365]"
simply_supported_I_beam_design,TPESampler,"Any[285.2780472752265, 0.013878259625284476]"
simply_supported_I_beam_design,TPESampler,"Any[282.54827827079407, 0.014005740726058036]"
simply_supported_I_beam_design,TPESampler,"Any[281.16927488567484, 0.014062414937276606]"
simply_supported_I_beam_design,TPESampler,"Any[279.87721442573064, 0.014184404355492373]"
simply_supported_I_beam_design,TPESampler,"Any[187.64871381219783, 0.02293585414191805]"
simply_supported_I_beam_design,TPESampler,"Any[189.13275033225284, 0.022739402477133637]"
simply_supported_I_beam_design,TPESampler,"Any[276.42434532607285, 0.01434411493446092]"
simply_supported_I_beam_design,TPESampler,"Any[273.3741136834392, 0.014526854081537427]"
simply_supported_I_beam_design,TPESampler,"Any[271.525162131863, 0.01468378815367434]"
simply_supported_I_beam_design,TPESampler,"Any[269.60965577754155, 0.014752528919134334]"
simply_supported_I_beam_design,TPESampler,"Any[267.931245064491, 0.014859389887170688]"
simply_supported_I_beam_design,TPESampler,"Any[265.8716594989452, 0.014991110510436112]"
simply_supported_I_beam_design,TPESampler,"Any[262.21450381745, 0.015245591649040657]"
simply_supported_I_beam_design,TPESampler,"Any[259.65842995273397, 0.015406884821632258]"
simply_supported_I_beam_design,TPESampler,"Any[250.29477217342549, 0.016090577895619143]"
simply_supported_I_beam_design,TPESampler,"Any[247.58175457706926, 0.01629578156534253]"
simply_supported_I_beam_design,TPESampler,"Any[247.16937201756076, 0.01632188637377563]"
simply_supported_I_beam_design,TPESampler,"Any[245.79535381675848, 0.016428956576189327]"
simply_supported_I_beam_design,TPESampler,"Any[242.62377098574186, 0.016695633065180526]"
simply_supported_I_beam_design,TPESampler,"Any[193.4667443593233, 0.022081140754048413]"
simply_supported_I_beam_design,TPESampler,"Any[194.02105700271238, 0.021966102691243997]"
simply_supported_I_beam_design,TPESampler,"Any[241.46170968996654, 0.016792046812236006]"
simply_supported_I_beam_design,TPESampler,"Any[194.8770199516499, 0.021845262415829313]"
simply_supported_I_beam_design,TPESampler,"Any[196.68913315381576, 0.0216375304837031]"
simply_supported_I_beam_design,TPESampler,"Any[239.08173126838676, 0.0169796555090841]"
simply_supported_I_beam_design,TPESampler,"Any[238.4481891670547, 0.01703055161723342]"
simply_supported_I_beam_design,TPESampler,"Any[237.38563208126953, 0.0171238996670048]"
simply_supported_I_beam_design,TPESampler,"Any[236.2478536283162, 0.01722569132951908]"
simply_supported_I_beam_design,TPESampler,"Any[235.10502203800428, 0.017320166152281182]"
simply_supported_I_beam_design,TPESampler,"Any[233.80144498583414, 0.017488051281720308]"
