algorithm_name,sampler,solutions
gear_box_design,RandomSampler,"Any[3981.8116697051178, 696.4191041509491, 754.7276762894799]"
gear_box_design,RandomSampler,"Any[2976.9343035716124, 733.1904315366467, 1004.8065822799573]"
gear_box_design,RandomSampler,"Any[3044.7266937267336, 809.2946576019929, 902.8654105873637]"
gear_box_design,RandomSampler,"Any[3979.161628657471, 696.4985838373104, 756.1056928292696]"
gear_box_design,RandomSampler,"Any[3971.9801228827378, 707.8191118650813, 756.1056928292696]"
gear_box_design,RandomSampler,"Any[3124.1940684722476, 1159.1618030825741, 757.4713600438253]"
gear_box_design,RandomSampler,"Any[2964.158530809679, 755.5241145227754, 1004.8039643474758]"
gear_box_design,RandomSampler,"Any[2976.8180279847693, 733.2073997895541, 1004.8038030281216]"
gear_box_design,RandomSampler,"Any[2895.7112504809475, 897.3317141129583, 1004.8032985015836]"
gear_box_design,RandomSampler,"Any[3243.270121190724, 807.1312379138872, 758.8178110432958]"
gear_box_design,RandomSampler,"Any[3308.889737777594, 697.8557666161521, 760.1316307128983]"
gear_box_design,RandomSampler,"Any[2826.3182093196806, 1121.8006624861384, 1004.803209185126]"
gear_box_design,RandomSampler,"Any[2927.0629337195323, 829.2211137605902, 1004.8030653982731]"
gear_box_design,RandomSampler,"Any[2964.3231175944093, 755.8912605704, 1004.8027826086721]"
gear_box_design,RandomSampler,"Any[2905.4284814623297, 881.3921669592894, 1004.8027039605457]"
gear_box_design,RandomSampler,"Any[3208.811699355538, 876.5094453151123, 761.5091018258544]"
gear_box_design,RandomSampler,"Any[3266.4352040932854, 758.1730522221409, 763.2054669142951]"
gear_box_design,RandomSampler,"Any[3186.5301559496793, 929.102433582615, 764.4790701338975]"
gear_box_design,RandomSampler,"Any[2817.0733563214303, 1159.1583441139844, 1004.8010603698957]"
gear_box_design,RandomSampler,"Any[2997.9653182207785, 699.5596917436576, 1004.8005214925215]"
gear_box_design,RandomSampler,"Any[2994.1165782460002, 705.2605029574615, 1004.798419860722]"
gear_box_design,RandomSampler,"Any[3131.7875959750877, 1095.978829829579, 765.7229906610999]"
gear_box_design,RandomSampler,"Any[3127.159965195747, 1145.3948080599778, 767.2262367594932]"
gear_box_design,RandomSampler,"Any[2933.292681379148, 808.6208640303117, 1004.7956534177225]"
gear_box_design,RandomSampler,"Any[2933.292681379148, 808.6208640303117, 1004.7956534177225]"
gear_box_design,RandomSampler,"Any[2936.506899371515, 801.9815263029118, 1004.7956534177225]"
gear_box_design,RandomSampler,"Any[2936.506899371515, 801.9815263029118, 1004.7956534177225]"
gear_box_design,RandomSampler,"Any[3260.3750069497773, 745.1463506058536, 768.7075833740909]"
gear_box_design,RandomSampler,"Any[3118.484236038064, 1140.8650596555203, 770.6186972558332]"
gear_box_design,RandomSampler,"Any[2936.506899371515, 801.9815263029118, 1004.7956534177225]"
gear_box_design,RandomSampler,"Any[2933.3031032841127, 818.8279813411591, 1004.7956530776036]"
gear_box_design,RandomSampler,"Any[3223.303662906296, 807.1339472267288, 770.6434962751579]"
gear_box_design,RandomSampler,"Any[3504.242139971997, 697.3214996775698, 772.27998575087]"
gear_box_design,RandomSampler,"Any[2964.3842815812595, 755.0621174459519, 1004.7936502474239]"
gear_box_design,RandomSampler,"Any[2967.9180020781355, 747.3156253712717, 1004.7839292711508]"
gear_box_design,RandomSampler,"Any[2967.9180020781355, 747.3156253712717, 1004.7839292711508]"
gear_box_design,RandomSampler,"Any[2968.2701953748706, 747.3139417957053, 1004.7836671699193]"
gear_box_design,RandomSampler,"Any[3151.10121851172, 1048.499513648588, 772.8351808890353]"
gear_box_design,RandomSampler,"Any[3277.6156250850336, 703.4495861983331, 774.1899873030457]"
gear_box_design,RandomSampler,"Any[2954.5352166319944, 770.1001166324497, 1004.7807297544452]"
gear_box_design,RandomSampler,"Any[2955.0335540521355, 769.1636086167596, 1004.7807297544452]"
gear_box_design,RandomSampler,"Any[2967.6065927173813, 747.3156321779836, 1004.7807297544452]"
gear_box_design,RandomSampler,"Any[3090.4232886543537, 1192.4375024932533, 776.4541475574903]"
gear_box_design,RandomSampler,"Any[3139.798854851512, 1049.9320899860147, 778.7168788517574]"
