algorithm_name,sampler,solutions
gear_box_design,TPESampler,"Any[5980.85626927388, 800.4328581874216, 754.5238142408969]"
gear_box_design,TPESampler,"Any[2997.874377036108, 697.9424949217491, 1004.7786443453022]"
gear_box_design,TPESampler,"Any[3066.483446990301, 1069.3240212463975, 810.7051713280543]"
gear_box_design,TPESampler,"Any[2880.795081492466, 1069.4984779499212, 966.8483104826385]"
gear_box_design,TPESampler,"Any[3017.652855876617, 745.9849502909186, 960.9058765324546]"
gear_box_design,TPESampler,"Any[2870.0482243018255, 1144.6117209800134, 958.3393255915263]"
gear_box_design,TPESampler,"Any[2997.838728517324, 698.0176959060266, 1004.7698953827567]"
gear_box_design,TPESampler,"Any[2870.0482243018255, 1144.6117209800134, 958.3393255915263]"
gear_box_design,TPESampler,"Any[3034.5446722247393, 709.3764047144937, 955.722302009295]"
gear_box_design,TPESampler,"Any[2997.887468206402, 697.9424949217491, 1004.7698953827567]"
gear_box_design,TPESampler,"Any[2888.720307344992, 1069.3229370394297, 955.167429153327]"
gear_box_design,TPESampler,"Any[2853.30534085282, 1242.0981475778356, 952.7341652009595]"
gear_box_design,TPESampler,"Any[2848.687604886568, 1255.896453493665, 949.0273468865126]"
gear_box_design,TPESampler,"Any[2835.084672818399, 1236.1028473912672, 971.8616281625309]"
gear_box_design,TPESampler,"Any[2975.8315854825946, 802.9696483198892, 972.7172882295818]"
gear_box_design,TPESampler,"Any[2991.6158034174045, 819.4955465299143, 946.6857441641321]"
gear_box_design,TPESampler,"Any[2902.0659031017844, 1072.6500582482338, 945.5152884315287]"
gear_box_design,TPESampler,"Any[2902.944887264653, 1069.44223562806, 945.5152884315287]"
gear_box_design,TPESampler,"Any[2952.4082593638727, 918.3053215550888, 943.9192297439001]"
gear_box_design,TPESampler,"Any[2902.1974374653596, 1075.890370456272, 941.4322305391398]"
gear_box_design,TPESampler,"Any[3049.6826724218827, 720.3210419254734, 941.0667906635306]"
gear_box_design,TPESampler,"Any[2997.887468206402, 697.9424949217491, 1004.7698953827567]"
gear_box_design,TPESampler,"Any[2974.968495928802, 734.5140965347156, 1004.7640321734144]"
gear_box_design,TPESampler,"Any[2974.975286767739, 734.513450046216, 1004.7640321734144]"
gear_box_design,TPESampler,"Any[3023.3009044932155, 748.4296287387036, 940.5633414825763]"
gear_box_design,TPESampler,"Any[2952.895383495724, 918.962884844046, 939.2217912755576]"
gear_box_design,TPESampler,"Any[2928.1300117265864, 813.2615631861411, 1004.7551709986017]"
gear_box_design,TPESampler,"Any[2974.8756320507377, 802.9696483198892, 973.6644377244111]"
gear_box_design,TPESampler,"Any[2864.4275567512777, 1115.627987910944, 973.6644377244111]"
gear_box_design,TPESampler,"Any[2830.6842247681257, 1220.4315236589437, 974.0945897900245]"
gear_box_design,TPESampler,"Any[3019.2705605938722, 757.8723686852092, 938.5122694528061]"
gear_box_design,TPESampler,"Any[2938.1218917341694, 843.8161196832547, 977.0233337520953]"
gear_box_design,TPESampler,"Any[2876.7063027850836, 1034.3311882129356, 977.941488820578]"
gear_box_design,TPESampler,"Any[2820.951100598629, 1116.7204974924755, 1004.7545863275451]"
gear_box_design,TPESampler,"Any[2910.3574188519133, 912.3642677731626, 977.9691855221562]"
gear_box_design,TPESampler,"Any[2841.446374059785, 1169.9859932422294, 978.1146286749387]"
gear_box_design,TPESampler,"Any[2920.5155282402984, 837.0046531146398, 1004.7545262343957]"
gear_box_design,TPESampler,"Any[2928.265406424871, 813.2789969206125, 1004.7545056433131]"
gear_box_design,TPESampler,"Any[2851.7059515758538, 1023.0033053796541, 1004.7543248925144]"
gear_box_design,TPESampler,"Any[2994.504120503072, 824.853949598523, 931.1547021834871]"
gear_box_design,TPESampler,"Any[2903.0501039484134, 869.9296476492228, 1004.7528690249833]"
gear_box_design,TPESampler,"Any[2794.2774445775894, 1235.7197839053936, 1004.7515853754734]"
gear_box_design,TPESampler,"Any[3001.9346771577443, 830.4920092266948, 929.3615741987641]"
gear_box_design,TPESampler,"Any[2913.4861918163638, 1057.6792842464129, 928.9938288915732]"
gear_box_design,TPESampler,"Any[2820.9753021862275, 1118.8596687421245, 1004.7515233856923]"
