algorithm_name,sampler,solutions
multiple_disk_clutch_brake_design,RandomSampler,"Any[0.2353021681049751, 0.014920369256954627]"
multiple_disk_clutch_brake_design,RandomSampler,"Any[1.3472322343718106, 0.002798704217329]"
multiple_disk_clutch_brake_design,RandomSampler,"Any[0.4556841340558496, 0.006222460902982853]"
multiple_disk_clutch_brake_design,RandomSampler,"Any[1.3428352466809315, 0.0028003218867435837]"
multiple_disk_clutch_brake_design,RandomSampler,"Any[0.23604305668678918, 0.014854821975073249]"
multiple_disk_clutch_brake_design,RandomSampler,"Any[0.23667883512669033, 0.014786647956556848]"
multiple_disk_clutch_brake_design,RandomSampler,"Any[1.3371968396712806, 0.002801455329311224]"
multiple_disk_clutch_brake_design,RandomSampler,"Any[1.3333460584917962, 0.002802704722606107]"
multiple_disk_clutch_brake_design,RandomSampler,"Any[1.3305728530652767, 0.0028035513314192]"
multiple_disk_clutch_brake_design,RandomSampler,"Any[0.23781415227912478, 0.01468338406132648]"
multiple_disk_clutch_brake_design,RandomSampler,"Any[0.23847907763108597, 0.014639649034402272]"
multiple_disk_clutch_brake_design,RandomSampler,"Any[0.23879182247543604, 0.014601836435833808]"
multiple_disk_clutch_brake_design,RandomSampler,"Any[1.3258974720362278, 0.0028049124017395536]"
multiple_disk_clutch_brake_design,RandomSampler,"Any[0.23910028652539386, 0.014573446857471889]"
multiple_disk_clutch_brake_design,RandomSampler,"Any[0.23961471359387806, 0.014517133309212884]"
multiple_disk_clutch_brake_design,RandomSampler,"Any[0.2400846901741494, 0.014477505360835731]"
multiple_disk_clutch_brake_design,RandomSampler,"Any[1.3218683191290288, 0.0028061057797290822]"
multiple_disk_clutch_brake_design,RandomSampler,"Any[1.3172991688927669, 0.0028074797234810336]"
multiple_disk_clutch_brake_design,RandomSampler,"Any[1.3118570631170519, 0.0028094467851310307]"
multiple_disk_clutch_brake_design,RandomSampler,"Any[1.3036598877851886, 0.0028116332738050832]"
multiple_disk_clutch_brake_design,RandomSampler,"Any[0.24116821589797932, 0.014384429919287811]"
multiple_disk_clutch_brake_design,RandomSampler,"Any[0.24183146390000182, 0.014324640326700321]"
multiple_disk_clutch_brake_design,RandomSampler,"Any[0.24221692575549822, 0.014290262041573815]"
multiple_disk_clutch_brake_design,RandomSampler,"Any[0.24287191878671668, 0.014247920905186855]"
multiple_disk_clutch_brake_design,RandomSampler,"Any[0.24369778730013622, 0.014212700358281177]"
