algorithm_name,sampler,solutions
multiple_disk_clutch_brake_design,TPESampler,"Any[0.2353380356733691, 0.014919696176644662]"
multiple_disk_clutch_brake_design,TPESampler,"Any[1.3942777360608791, 0.0027845235196280443]"
multiple_disk_clutch_brake_design,TPESampler,"Any[0.6486259443653776, 0.004105528048996734]"
multiple_disk_clutch_brake_design,TPESampler,"Any[1.3896599009289599, 0.0027860265203703037]"
multiple_disk_clutch_brake_design,TPESampler,"Any[1.3884542909113196, 0.002786407316277191]"
multiple_disk_clutch_brake_design,TPESampler,"Any[0.23663291262060882, 0.014803616426629976]"
multiple_disk_clutch_brake_design,TPESampler,"Any[0.237054936703481, 0.014754416136273363]"
multiple_disk_clutch_brake_design,TPESampler,"Any[0.2373989783684258, 0.01472457629717138]"
multiple_disk_clutch_brake_design,TPESampler,"Any[0.23803996208320413, 0.01468701307458749]"
multiple_disk_clutch_brake_design,TPESampler,"Any[0.238077511190777, 0.014658537966685065]"
multiple_disk_clutch_brake_design,TPESampler,"Any[0.2384070063950133, 0.014637405578136685]"
multiple_disk_clutch_brake_design,TPESampler,"Any[1.3844501972640124, 0.0027878605662953627]"
multiple_disk_clutch_brake_design,TPESampler,"Any[0.2391268495808125, 0.014599081438797845]"
multiple_disk_clutch_brake_design,TPESampler,"Any[0.2393436213288503, 0.014558065272090477]"
multiple_disk_clutch_brake_design,TPESampler,"Any[1.3783733423665359, 0.0027891348726137716]"
multiple_disk_clutch_brake_design,TPESampler,"Any[1.3745891354718647, 0.002790360529425921]"
multiple_disk_clutch_brake_design,TPESampler,"Any[1.371460623315678, 0.002791214345712489]"
multiple_disk_clutch_brake_design,TPESampler,"Any[0.240002147299175, 0.014507805694022784]"
multiple_disk_clutch_brake_design,TPESampler,"Any[0.24021107153074747, 0.014465030588329188]"
multiple_disk_clutch_brake_design,TPESampler,"Any[0.2407915737111314, 0.014414031712955069]"
multiple_disk_clutch_brake_design,TPESampler,"Any[0.24133314766541025, 0.01436543509245714]"
multiple_disk_clutch_brake_design,TPESampler,"Any[1.3651568716879705, 0.002793060131620246]"
multiple_disk_clutch_brake_design,TPESampler,"Any[1.3603667548173337, 0.0027944923883113154]"
multiple_disk_clutch_brake_design,TPESampler,"Any[1.3584382501282783, 0.0027952860481587336]"
multiple_disk_clutch_brake_design,TPESampler,"Any[1.352327584179455, 0.0027978216556457003]"
multiple_disk_clutch_brake_design,TPESampler,"Any[1.3469485379874957, 0.002798528222022988]"
multiple_disk_clutch_brake_design,TPESampler,"Any[1.3421250764294852, 0.002800009502501405]"
multiple_disk_clutch_brake_design,TPESampler,"Any[1.338411119683763, 0.002801195322330571]"
multiple_disk_clutch_brake_design,TPESampler,"Any[0.2424969123570974, 0.014261753182920011]"
multiple_disk_clutch_brake_design,TPESampler,"Any[0.24283929876836038, 0.014234642224266781]"
multiple_disk_clutch_brake_design,TPESampler,"Any[0.24338186941578907, 0.014190985741107562]"
multiple_disk_clutch_brake_design,TPESampler,"Any[1.3353719502622783, 0.0028020177744653447]"
multiple_disk_clutch_brake_design,TPESampler,"Any[0.24371821925337106, 0.01415878978160464]"
multiple_disk_clutch_brake_design,TPESampler,"Any[0.24431605918116356, 0.014111831406348604]"
multiple_disk_clutch_brake_design,TPESampler,"Any[0.24525363092988642, 0.014028206279504659]"
multiple_disk_clutch_brake_design,TPESampler,"Any[0.24548653910676083, 0.014018349116610578]"
multiple_disk_clutch_brake_design,TPESampler,"Any[0.2459605587191422, 0.01397793376218399]"
multiple_disk_clutch_brake_design,TPESampler,"Any[0.2470425534786529, 0.013879368170548875]"
multiple_disk_clutch_brake_design,TPESampler,"Any[0.24786714544641159, 0.013819622097919867]"
multiple_disk_clutch_brake_design,TPESampler,"Any[0.24790424207969972, 0.01381250705503028]"
multiple_disk_clutch_brake_design,TPESampler,"Any[0.24847936003068855, 0.013769073524474948]"
