algorithm_name,sampler,solutions
spring_design,RandomSampler,"Any[19.592957678876658, 65643.8681583303]"
spring_design,RandomSampler,"Any[22.25156907437853, 62010.22905693186]"
spring_design,RandomSampler,"Any[25.58079239820958, 58572.31861661781]"
spring_design,RandomSampler,"Any[8.855080969016143, 99933.24143495885]"
spring_design,RandomSampler,"Any[7.127279854074123, 111367.5241725271]"
spring_design,RandomSampler,"Any[6.201245308292369, 121211.72131205267]"
spring_design,RandomSampler,"Any[26.37872570473067, 57874.39168588688]"
spring_design,RandomSampler,"Any[21.382651781926302, 63091.296614023144]"
spring_design,RandomSampler,"Any[21.382651781926302, 63091.296614023144]"
spring_design,RandomSampler,"Any[6.362128112831376, 118673.65094781181]"
spring_design,RandomSampler,"Any[5.028730187971005, 134217.823698082]"
spring_design,RandomSampler,"Any[8.855080969016143, 99933.24143495885]"
spring_design,RandomSampler,"Any[14.259022091227044, 78554.21847138292]"
spring_design,RandomSampler,"Any[2.8002558972698797, 183590.87419821712]"
spring_design,RandomSampler,"Any[8.792318999957388, 100999.82437600083]"
spring_design,RandomSampler,"Any[6.201245308292369, 121211.72131205267]"
spring_design,RandomSampler,"Any[8.011787481311174, 104775.92139805223]"
spring_design,RandomSampler,"Any[15.77022419763454, 73404.65319107623]"
spring_design,RandomSampler,"Any[6.201245308292369, 121211.72131205267]"
spring_design,RandomSampler,"Any[8.792318999957388, 100999.82437600083]"
spring_design,RandomSampler,"Any[10.104684310833266, 92702.47806720495]"
spring_design,RandomSampler,"Any[16.760603512964817, 70979.45019139617]"
spring_design,RandomSampler,"Any[3.075913377078511, 176458.3858091832]"
spring_design,RandomSampler,"Any[3.6730231371582702, 158882.64711346058]"
spring_design,RandomSampler,"Any[8.437960350833563, 102185.43013696875]"
spring_design,RandomSampler,"Any[6.041998213303206, 121661.3954768268]"
spring_design,RandomSampler,"Any[4.481928189165456, 142467.42735338365]"
spring_design,RandomSampler,"Any[8.855080969016143, 99933.24143495885]"
spring_design,RandomSampler,"Any[13.701037176141908, 79889.87114887971]"
spring_design,RandomSampler,"Any[9.466507952705705, 96462.9931319319]"
spring_design,RandomSampler,"Any[27.185511821448685, 57254.6163749828]"
spring_design,RandomSampler,"Any[6.985219341959079, 113826.06817915989]"
spring_design,RandomSampler,"Any[18.669415910698135, 67173.39872474167]"
spring_design,RandomSampler,"Any[4.955052229693545, 136080.63845461144]"
spring_design,RandomSampler,"Any[3.8550623904745644, 155532.7217602089]"
spring_design,RandomSampler,"Any[14.757074868909646, 76357.65115710777]"
spring_design,RandomSampler,"Any[3.075913377078511, 176458.3858091832]"
spring_design,RandomSampler,"Any[5.182693855350099, 133441.2276705636]"
spring_design,RandomSampler,"Any[6.362128112831376, 118673.65094781181]"
spring_design,RandomSampler,"Any[26.37872570473067, 57874.39168588688]"
spring_design,RandomSampler,"Any[3.1031024039390256, 172657.48011917138]"
spring_design,RandomSampler,"Any[6.670032932009023, 115737.33233438463]"
spring_design,RandomSampler,"Any[8.855080969016143, 99933.24143495885]"
spring_design,RandomSampler,"Any[6.985219341959079, 113826.06817915989]"
spring_design,RandomSampler,"Any[8.855080969016143, 99933.24143495885]"
spring_design,RandomSampler,"Any[5.626416554346906, 129018.02333234556]"
spring_design,RandomSampler,"Any[2.9033070157658813, 179187.60532467105]"
spring_design,RandomSampler,"Any[8.011787481311174, 104775.92139805223]"
spring_design,RandomSampler,"Any[27.185511821448685, 57254.6163749828]"
spring_design,RandomSampler,"Any[5.711050754728734, 125096.23174039359]"
spring_design,RandomSampler,"Any[7.576789832012869, 107809.07154673907]"
spring_design,RandomSampler,"Any[3.731644765612426, 157026.96175231948]"
spring_design,RandomSampler,"Any[15.77022419763454, 73404.65319107623]"
spring_design,RandomSampler,"Any[28.358661798290893, 57172.26865616132]"
spring_design,RandomSampler,"Any[3.075913377078511, 176458.3858091832]"
spring_design,RandomSampler,"Any[3.987394547230381, 151219.67146030747]"
spring_design,RandomSampler,"Any[3.6730231371582702, 158882.64711346058]"
spring_design,RandomSampler,"Any[11.358050980309452, 87140.83770388161]"
spring_design,RandomSampler,"Any[23.943065048599284, 60139.45833621346]"
spring_design,RandomSampler,"Any[17.725772644966245, 68930.5723655229]"
spring_design,RandomSampler,"Any[20.4974713760371, 64295.47805294264]"
spring_design,RandomSampler,"Any[6.362128112831376, 118673.65094781181]"
spring_design,RandomSampler,"Any[8.855080969016143, 99933.24143495885]"
spring_design,RandomSampler,"Any[3.6730231371582702, 158882.64711346058]"
spring_design,RandomSampler,"Any[9.265077274831407, 97960.6519622813]"
spring_design,RandomSampler,"Any[26.37872570473067, 57874.39168588688]"
spring_design,RandomSampler,"Any[3.297403044096142, 167270.4805493782]"
spring_design,RandomSampler,"Any[3.075913377078511, 176458.3858091832]"
spring_design,RandomSampler,"Any[3.480560429784401, 164706.6446844673]"
spring_design,RandomSampler,"Any[10.764186121413818, 89839.58186109217]"
spring_design,RandomSampler,"Any[5.373994149398447, 129210.09773173994]"
spring_design,RandomSampler,"Any[6.362128112831376, 118673.65094781181]"
spring_design,RandomSampler,"Any[4.675800229484843, 140517.3072132187]"
spring_design,RandomSampler,"Any[3.987394547230381, 151219.67146030747]"
spring_design,RandomSampler,"Any[24.768748775829238, 59324.09166451272]"
spring_design,RandomSampler,"Any[2.9033070157658813, 179187.60532467105]"
spring_design,RandomSampler,"Any[2.9033070157658813, 179187.60532467105]"
spring_design,RandomSampler,"Any[4.725040311683773, 139130.98642633972]"
spring_design,RandomSampler,"Any[3.075913377078511, 176458.3858091832]"
spring_design,RandomSampler,"Any[13.133679655941961, 81382.83477517865]"
spring_design,RandomSampler,"Any[9.664061375734338, 96185.28535542]"
spring_design,RandomSampler,"Any[6.985219341959079, 113826.06817915989]"
spring_design,RandomSampler,"Any[8.792318999957388, 100999.82437600083]"
spring_design,RandomSampler,"Any[4.237884482243219, 146472.1283818513]"
spring_design,RandomSampler,"Any[11.963158207480841, 84959.80076917064]"
spring_design,RandomSampler,"Any[3.4873297042203255, 162750.01586355374]"
spring_design,RandomSampler,"Any[23.10509236761691, 61032.09611556526]"
spring_design,RandomSampler,"Any[26.37872570473067, 57874.39168588688]"
spring_design,RandomSampler,"Any[12.554467607130594, 83057.99494587682]"
