algorithm_name,sampler,solutions
spring_design,TPESampler,"Any[8.010915891193635, 104767.7499897259]"
spring_design,TPESampler,"Any[3.2996592527735964, 167350.98056000593]"
spring_design,TPESampler,"Any[3.7314242210892195, 157020.10347507536]"
spring_design,TPESampler,"Any[15.34801704638325, 76253.45396372581]"
spring_design,TPESampler,"Any[19.592770881813575, 65643.41717527155]"
spring_design,TPESampler,"Any[3.1025851741219275, 172636.8431749248]"
spring_design,TPESampler,"Any[27.94296582982867, 56626.184714386356]"
spring_design,TPESampler,"Any[14.2584493853666, 78552.07121066343]"
spring_design,TPESampler,"Any[14.758149242530653, 76361.95231052357]"
spring_design,TPESampler,"Any[4.720724773997432, 139043.6380441143]"
spring_design,TPESampler,"Any[19.592770881813575, 65643.41717527155]"
spring_design,TPESampler,"Any[12.554107001773955, 83056.3081211291]"
spring_design,TPESampler,"Any[7.574277592588203, 107783.03161839776]"
spring_design,TPESampler,"Any[10.056821394154978, 94600.47985390578]"
spring_design,TPESampler,"Any[3.7314242210892195, 157020.10347507536]"
spring_design,TPESampler,"Any[23.94314248762221, 60139.59070794011]"
spring_design,TPESampler,"Any[27.166241092034547, 57228.09044786881]"
spring_design,TPESampler,"Any[25.601410953669053, 58603.789957359004]"
spring_design,TPESampler,"Any[3.8551692398618047, 155535.59775384492]"
spring_design,TPESampler,"Any[8.010915891193635, 104767.7499897259]"
spring_design,TPESampler,"Any[2.800326750301055, 183593.98104066125]"
spring_design,TPESampler,"Any[2.800326750301055, 183593.98104066125]"
spring_design,TPESampler,"Any[4.482529515606169, 142480.78378946622]"
spring_design,TPESampler,"Any[16.759428795078293, 70975.71861157114]"
spring_design,TPESampler,"Any[20.496992820076137, 64294.40945911243]"
spring_design,TPESampler,"Any[18.66977787186709, 67174.34921222014]"
spring_design,TPESampler,"Any[13.13336327814211, 81381.46676412896]"
spring_design,TPESampler,"Any[15.769684931838075, 73402.74207802553]"
spring_design,TPESampler,"Any[5.374040812823202, 129210.92013245386]"
spring_design,TPESampler,"Any[5.028635236149897, 134215.93060006778]"
spring_design,TPESampler,"Any[10.105588763205, 92708.70196120765]"
spring_design,TPESampler,"Any[13.710895872575312, 79929.48040869717]"
spring_design,TPESampler,"Any[2.7026984476244955, 187596.8719925966]"
spring_design,TPESampler,"Any[5.711638852004276, 125105.50872171443]"
spring_design,TPESampler,"Any[6.3619778618763085, 118671.69738880302]"
spring_design,TPESampler,"Any[2.6641924494183713, 188262.61517695346]"
spring_design,TPESampler,"Any[24.76834158750189, 59323.434880247405]"
spring_design,TPESampler,"Any[2.800326750301055, 183593.98104066125]"
spring_design,TPESampler,"Any[26.379246869331464, 57875.14618919107]"
spring_design,TPESampler,"Any[21.383447362440464, 63092.948106640855]"
spring_design,TPESampler,"Any[8.854858349829025, 99931.49312779972]"
spring_design,TPESampler,"Any[2.9032908095030634, 179186.87315275232]"
spring_design,TPESampler,"Any[9.455498657391898, 96377.36218487474]"
spring_design,TPESampler,"Any[8.010915891193635, 104767.7499897259]"
spring_design,TPESampler,"Any[8.438487707202626, 102189.93947449404]"
spring_design,TPESampler,"Any[7.129059218237864, 111388.12132614419]"
spring_design,TPESampler,"Any[4.237891895641244, 146472.31060060137]"
spring_design,TPESampler,"Any[9.263597679304247, 97949.91621582913]"
spring_design,TPESampler,"Any[23.105282895084116, 61032.442329688536]"
spring_design,TPESampler,"Any[6.9847307654705295, 113820.68262787777]"
spring_design,TPESampler,"Any[4.9547028610930095, 136074.1504902014]"
spring_design,TPESampler,"Any[20.496992820076137, 64294.40945911243]"
spring_design,TPESampler,"Any[23.94314248762221, 60139.59070794011]"
spring_design,TPESampler,"Any[3.9874655209872234, 151221.62146848955]"
spring_design,TPESampler,"Any[5.188189447751334, 133535.4323451353]"
spring_design,TPESampler,"Any[4.482529515606169, 142480.78378946622]"
spring_design,TPESampler,"Any[3.487946597952071, 162769.89546757017]"
spring_design,TPESampler,"Any[2.800326750301055, 183593.98104066125]"
spring_design,TPESampler,"Any[2.800326750301055, 183593.98104066125]"
spring_design,TPESampler,"Any[10.73984017939803, 89689.47449113087]"
spring_design,TPESampler,"Any[6.201347543555551, 121213.25864451872]"
spring_design,TPESampler,"Any[6.040281774929502, 121636.91527165445]"
spring_design,TPESampler,"Any[6.669866076002288, 115735.14828677107]"
spring_design,TPESampler,"Any[11.357753146234174, 87139.17615819676]"
spring_design,TPESampler,"Any[17.725686973353714, 68930.32595997579]"
spring_design,TPESampler,"Any[11.963500758727669, 84961.54458439279]"
spring_design,TPESampler,"Any[3.4698013149740987, 164321.87507643277]"
spring_design,TPESampler,"Any[4.675751804414931, 140516.19759831132]"
spring_design,TPESampler,"Any[22.2571101161589, 62020.96992540169]"
