algorithm_name,sampler,solutions
cantilever_beam_design,RandomSampler,"Any[0.04359636958727396, 0.00020242160591468907]"
cantilever_beam_design,RandomSampler,"Any[12.25221134901819, 2.5628815312817463e-9]"
cantilever_beam_design,RandomSampler,"Any[0.0638123806229316, 9.448279104765068e-5]"
cantilever_beam_design,RandomSampler,"Any[2.047372110137344, 9.178335603983706e-8]"
cantilever_beam_design,RandomSampler,"Any[0.04376666506146245, 0.00020084942844769975]"
cantilever_beam_design,RandomSampler,"Any[0.04387603245754774, 0.0001998493830411062]"
cantilever_beam_design,RandomSampler,"Any[0.04402183154532003, 0.000198527775922373]"
cantilever_beam_design,RandomSampler,"Any[2.0952096692379603, 8.764002979575222e-8]"
cantilever_beam_design,RandomSampler,"Any[2.1578029879250535, 8.262928987404902e-8]"
cantilever_beam_design,RandomSampler,"Any[1.6317925412725829, 1.4448662443084143e-7]"
cantilever_beam_design,RandomSampler,"Any[2.2573393341469044, 7.550292897479424e-8]"
cantilever_beam_design,RandomSampler,"Any[2.300429157487859, 7.270089779168019e-8]"
cantilever_beam_design,RandomSampler,"Any[2.453902548221461, 6.389146815732399e-8]"
cantilever_beam_design,RandomSampler,"Any[2.5008938251847086, 6.15130592189143e-8]"
cantilever_beam_design,RandomSampler,"Any[1.3624127309343919, 2.072717632114458e-7]"
cantilever_beam_design,RandomSampler,"Any[2.5574627098110954, 5.882187598891613e-8]"
cantilever_beam_design,RandomSampler,"Any[11.969333709262093, 2.6854529030346396e-9]"
cantilever_beam_design,RandomSampler,"Any[11.887930572234573, 2.7223565082731327e-9]"
cantilever_beam_design,RandomSampler,"Any[2.6336882115864113, 5.546624600875398e-8]"
cantilever_beam_design,RandomSampler,"Any[1.2182762431423806, 2.592184687539587e-7]"
cantilever_beam_design,RandomSampler,"Any[1.0592013825323217, 3.42925999399745e-7]"
cantilever_beam_design,RandomSampler,"Any[0.04447862958958269, 0.00019447093624352753]"
cantilever_beam_design,RandomSampler,"Any[0.9487577834727704, 4.274122312725561e-7]"
