algorithm_name,sampler,solutions
cantilever_beam_design,TPESampler,"Any[0.04359058681035414, 0.00020247530435671884]"
cantilever_beam_design,TPESampler,"Any[12.252211349000303, 2.562881531270523e-9]"
cantilever_beam_design,TPESampler,"Any[0.048415759138137365, 0.0001641284996108176]"
cantilever_beam_design,TPESampler,"Any[8.106798986152482, 5.8540805627076266e-9]"
cantilever_beam_design,TPESampler,"Any[8.042448166290216, 5.948136836673116e-9]"
cantilever_beam_design,TPESampler,"Any[7.155853508519226, 7.51336710482414e-9]"
cantilever_beam_design,TPESampler,"Any[7.11309931006828, 7.603963883239976e-9]"
cantilever_beam_design,TPESampler,"Any[7.038787916639376, 7.765362458138523e-9]"
cantilever_beam_design,TPESampler,"Any[6.35198588090846, 9.535389613298205e-9]"
cantilever_beam_design,TPESampler,"Any[5.495730146705009, 1.2738159769723541e-8]"
cantilever_beam_design,TPESampler,"Any[5.398394200425224, 1.3201652663349493e-8]"
cantilever_beam_design,TPESampler,"Any[8.739698111302646, 5.036915226890796e-9]"
cantilever_beam_design,TPESampler,"Any[8.837421928213585, 4.926135155345842e-9]"
cantilever_beam_design,TPESampler,"Any[4.695004346234023, 1.7453619392663017e-8]"
cantilever_beam_design,TPESampler,"Any[4.174868724706993, 2.207353276713316e-8]"
cantilever_beam_design,TPESampler,"Any[0.044400104920428424, 0.0001951594129959992]"
cantilever_beam_design,TPESampler,"Any[0.04461085527791583, 0.00019331982428215944]"
cantilever_beam_design,TPESampler,"Any[4.0814404456071225, 2.3095689316261877e-8]"
cantilever_beam_design,TPESampler,"Any[3.6554263737831154, 2.87926397055218e-8]"
cantilever_beam_design,TPESampler,"Any[3.5930712456880443, 2.9800658813335657e-8]"
cantilever_beam_design,TPESampler,"Any[3.1096634428757324, 3.978604005303502e-8]"
cantilever_beam_design,TPESampler,"Any[12.137529267747965, 2.611541378328941e-9]"
cantilever_beam_design,TPESampler,"Any[3.010159146503846, 4.2459861841229094e-8]"
cantilever_beam_design,TPESampler,"Any[9.056415013997379, 4.690778337271346e-9]"
cantilever_beam_design,TPESampler,"Any[9.16180290353769, 4.583482755348113e-9]"
cantilever_beam_design,TPESampler,"Any[9.362251839863934, 4.389316043213307e-9]"
cantilever_beam_design,TPESampler,"Any[9.470882121542074, 4.315398852626674e-9]"
cantilever_beam_design,TPESampler,"Any[9.580243912937876, 4.191836726302357e-9]"
cantilever_beam_design,TPESampler,"Any[2.078513592385701, 8.905365593000473e-8]"
cantilever_beam_design,TPESampler,"Any[1.9231166307522425, 1.0402730972254782e-7]"
cantilever_beam_design,TPESampler,"Any[1.2213283971134694, 2.579244917946806e-7]"
cantilever_beam_design,TPESampler,"Any[1.1470168369034348, 2.924272999222487e-7]"
cantilever_beam_design,TPESampler,"Any[1.0760674527792315, 3.3226033589297367e-7]"
cantilever_beam_design,TPESampler,"Any[0.9737745996185895, 4.0573326698217786e-7]"
cantilever_beam_design,TPESampler,"Any[0.43645582507003633, 2.0196536752635095e-6]"
cantilever_beam_design,TPESampler,"Any[10.061275220355146, 3.800593606056195e-9]"
cantilever_beam_design,TPESampler,"Any[10.211013198425738, 3.6899450405215914e-9]"
cantilever_beam_design,TPESampler,"Any[0.18284264641990464, 1.1508076291375187e-5]"
cantilever_beam_design,TPESampler,"Any[0.15408744110355946, 1.620402874835237e-5]"
cantilever_beam_design,TPESampler,"Any[0.14885724991254307, 1.736270993006667e-5]"
cantilever_beam_design,TPESampler,"Any[0.14308709564937408, 1.8791288235548117e-5]"
cantilever_beam_design,TPESampler,"Any[0.045820426333483696, 0.00018324799951790035]"
cantilever_beam_design,TPESampler,"Any[0.04593471690227404, 0.0001823372509549874]"
cantilever_beam_design,TPESampler,"Any[0.046057890483202434, 0.00018136330092561242]"
cantilever_beam_design,TPESampler,"Any[0.04613870662093589, 0.00018072850735670657]"
cantilever_beam_design,TPESampler,"Any[0.1390539636126389, 1.9897144126041413e-5]"
cantilever_beam_design,TPESampler,"Any[10.377327724691964, 3.572617262278919e-9]"
cantilever_beam_design,TPESampler,"Any[10.515273351651548, 3.479496123804018e-9]"
cantilever_beam_design,TPESampler,"Any[0.09443743713655428, 4.3138903867072815e-5]"
cantilever_beam_design,TPESampler,"Any[0.09282520729370616, 4.465042895325394e-5]"
cantilever_beam_design,TPESampler,"Any[0.0908440552742098, 4.66191628117773e-5]"
cantilever_beam_design,TPESampler,"Any[0.046519564130764086, 0.00017778135808870147]"
cantilever_beam_design,TPESampler,"Any[0.04683888306961389, 0.0001753656101706331]"
cantilever_beam_design,TPESampler,"Any[0.08940274082288412, 4.813442960422747e-5]"
cantilever_beam_design,TPESampler,"Any[0.0879460758297856, 4.9742150727698734e-5]"
cantilever_beam_design,TPESampler,"Any[0.08443241071945909, 5.39683601415737e-5]"
cantilever_beam_design,TPESampler,"Any[0.07698903220316121, 6.490823070783657e-5]"
cantilever_beam_design,TPESampler,"Any[11.068772299191478, 3.1402092248869083e-9]"
cantilever_beam_design,TPESampler,"Any[0.04702801615511059, 0.00017395790801789303]"
cantilever_beam_design,TPESampler,"Any[0.069120831466721, 8.052664504294158e-5]"
cantilever_beam_design,TPESampler,"Any[0.06744725187107756, 8.457246185808321e-5]"
cantilever_beam_design,TPESampler,"Any[0.06693204451542893, 8.587948464541745e-5]"
cantilever_beam_design,TPESampler,"Any[0.0642995843979607, 9.305530978804114e-5]"
cantilever_beam_design,TPESampler,"Any[0.06385291511276238, 9.436177248687865e-5]"
cantilever_beam_design,TPESampler,"Any[0.06329792720342121, 9.602379775583792e-5]"
cantilever_beam_design,TPESampler,"Any[0.05597382816084374, 0.0001227969191826976]"
cantilever_beam_design,TPESampler,"Any[0.05567752394158292, 0.0001241073996028937]"
cantilever_beam_design,TPESampler,"Any[0.055267015398748044, 0.00012595791958177694]"
cantilever_beam_design,TPESampler,"Any[11.78805916887039, 2.76868085109543e-9]"
cantilever_beam_design,TPESampler,"Any[0.04915087081979543, 0.0001592557292964669]"
cantilever_beam_design,TPESampler,"Any[0.04884934616357804, 0.00016122782156656424]"
cantilever_beam_design,TPESampler,"Any[8.202818606493047, 5.717830477183892e-9]"
cantilever_beam_design,TPESampler,"Any[0.05451680892585529, 0.00012944838510233446]"
cantilever_beam_design,TPESampler,"Any[6.76067856780896, 8.417380158239854e-9]"
cantilever_beam_design,TPESampler,"Any[8.429938391868381, 5.4138817243323855e-9]"
cantilever_beam_design,TPESampler,"Any[5.7639567947285455, 1.1580199928547222e-8]"
cantilever_beam_design,TPESampler,"Any[4.9008475860254, 1.6018251141538582e-8]"
cantilever_beam_design,TPESampler,"Any[0.04427639605867984, 0.0001962514951525843]"
cantilever_beam_design,TPESampler,"Any[2.7999198887115586, 4.9075674813226516e-8]"
cantilever_beam_design,TPESampler,"Any[2.4880693937096314, 6.214876661318072e-8]"
cantilever_beam_design,TPESampler,"Any[9.50349115205899, 4.259819216674517e-9]"
cantilever_beam_design,TPESampler,"Any[9.836242812282835, 3.976481894732571e-9]"
cantilever_beam_design,TPESampler,"Any[0.4989574594280689, 1.545362792447646e-6]"
cantilever_beam_design,TPESampler,"Any[0.18888902783754302, 1.078310981516529e-5]"
cantilever_beam_design,TPESampler,"Any[8.141026435335622, 5.80495909986725e-9]"
cantilever_beam_design,TPESampler,"Any[0.045710100589294214, 0.00018413363933774283]"
cantilever_beam_design,TPESampler,"Any[0.11063892798886252, 3.142979721270085e-5]"
cantilever_beam_design,TPESampler,"Any[0.10352039250279682, 3.5900927713177436e-5]"
cantilever_beam_design,TPESampler,"Any[0.0605710339108228, 0.0001048642650909461]"
cantilever_beam_design,TPESampler,"Any[0.05738758450409826, 0.00011682118337320918]"
cantilever_beam_design,TPESampler,"Any[0.05510601910001236, 0.00012669498577460686]"
cantilever_beam_design,TPESampler,"Any[0.05470475495419156, 0.0001285604362423885]"
cantilever_beam_design,TPESampler,"Any[0.047790663551020865, 0.00016845013954980468]"
cantilever_beam_design,TPESampler,"Any[0.08865455114750163, 4.8950316034245036e-5]"
cantilever_beam_design,TPESampler,"Any[0.04957810592592386, 0.00015652280746194938]"
cantilever_beam_design,TPESampler,"Any[0.04968607784355835, 0.00015584327279548324]"
cantilever_beam_design,TPESampler,"Any[1.5928630768241103, 1.5163539981449964e-7]"
cantilever_beam_design,TPESampler,"Any[0.04374525597736212, 0.00020104606123401214]"
cantilever_beam_design,TPESampler,"Any[0.04386230058387799, 0.00019997452697198708]"
cantilever_beam_design,TPESampler,"Any[1.7215240801661058, 1.2981691687981772e-7]"
cantilever_beam_design,TPESampler,"Any[0.04992715227847794, 0.0001543419203731015]"
cantilever_beam_design,TPESampler,"Any[7.999411917764617, 6.01231006292281e-9]"
cantilever_beam_design,TPESampler,"Any[7.934889644225035, 6.110485550290243e-9]"
cantilever_beam_design,TPESampler,"Any[7.899291119627718, 6.165683867025108e-9]"
cantilever_beam_design,TPESampler,"Any[9.709076520450703, 4.081329360681854e-9]"
cantilever_beam_design,TPESampler,"Any[0.050147308756777524, 0.0001529897127794749]"
cantilever_beam_design,TPESampler,"Any[9.667336117281105, 4.116649140186385e-9]"
cantilever_beam_design,TPESampler,"Any[0.05028518943114752, 0.00015215187545174972]"
cantilever_beam_design,TPESampler,"Any[0.05050783211122573, 0.0001508134359565644]"
cantilever_beam_design,TPESampler,"Any[8.238146493611529, 5.668895744223466e-9]"
