algorithm_name,sampler,solutions
bulk_carriers_design,RandomSampler,"Any[7145.955087259001, 7946.4616470842375, -560.8316455051547]"
bulk_carriers_design,RandomSampler,"Any[-6285.99913670366, 4000.877289097304, 422.7970013365425]"
bulk_carriers_design,RandomSampler,"Any[-13250.688128444324, 4713.441848426922, 223.5227504567837]"
bulk_carriers_design,RandomSampler,"Any[7252.669393911561, 7899.536655842292, -550.8871097859559]"
bulk_carriers_design,RandomSampler,"Any[7316.970500017108, 7818.703806994953, -543.2271807941713]"
bulk_carriers_design,RandomSampler,"Any[7449.064269719544, 7763.904466106943, -531.658839743686]"
bulk_carriers_design,RandomSampler,"Any[-6565.124009526294, 4047.166238535717, 407.86812431896936]"
bulk_carriers_design,RandomSampler,"Any[7454.187192926218, 7735.894962778624, -530.3787597839643]"
bulk_carriers_design,RandomSampler,"Any[-6670.836958387335, 4054.673868633776, 402.10378350351215]"
bulk_carriers_design,RandomSampler,"Any[7568.77310280026, 7670.017878136824, -520.2477092805927]"
bulk_carriers_design,RandomSampler,"Any[7670.082680424451, 7623.137419242294, -511.7966619987124]"
bulk_carriers_design,RandomSampler,"Any[7738.924116093066, 7574.577301540768, -505.5103828986689]"
bulk_carriers_design,RandomSampler,"Any[7847.439173372833, 7543.788767895262, -497.27817685859105]"
bulk_carriers_design,RandomSampler,"Any[-6876.713672278168, 4097.016324708656, 392.39837812588786]"
bulk_carriers_design,RandomSampler,"Any[-6934.887446808388, 4112.092609316324, 390.0963539914075]"
bulk_carriers_design,RandomSampler,"Any[-6934.887446808388, 4112.092609316324, 390.0963539914075]"
bulk_carriers_design,RandomSampler,"Any[8113.272681943104, 7382.615374517861, -475.995176696797]"
bulk_carriers_design,RandomSampler,"Any[8389.860527071489, 7267.3338116524255, -456.6763888246127]"
bulk_carriers_design,RandomSampler,"Any[8650.493258541552, 7205.753865143083, -440.8373034523126]"
bulk_carriers_design,RandomSampler,"Any[8735.215541921689, 7124.687720247649, -434.39605074954784]"
bulk_carriers_design,RandomSampler,"Any[8899.683850342577, 7060.228527011781, -424.37649436999]"
bulk_carriers_design,RandomSampler,"Any[8999.423547362809, 7050.0272688935, -419.4005267740009]"
bulk_carriers_design,RandomSampler,"Any[9167.470812505619, 7031.390918467017, -411.2187527415128]"
bulk_carriers_design,RandomSampler,"Any[9201.57158068845, 6996.252213666961, -408.54378820571094]"
bulk_carriers_design,RandomSampler,"Any[-7213.1207580473865, 4146.619063818105, 377.5854949914176]"
bulk_carriers_design,RandomSampler,"Any[-7238.053408139229, 4152.3050366043235, 376.58724801462273]"
bulk_carriers_design,RandomSampler,"Any[-7243.34287361658, 4153.346059410587, 376.3646103919371]"
bulk_carriers_design,RandomSampler,"Any[-7379.640757072211, 4181.957167404722, 371.0532387381297]"
bulk_carriers_design,RandomSampler,"Any[9387.275628742827, 6934.0059832330835, -398.7081355039122]"
bulk_carriers_design,RandomSampler,"Any[9400.103358882852, 6891.628938198244, -397.00984046937396]"
bulk_carriers_design,RandomSampler,"Any[-7456.257866016896, 4228.804985963726, 368.78862324973335]"
bulk_carriers_design,RandomSampler,"Any[9603.175199500161, 6818.653716824769, -386.536271973327]"
bulk_carriers_design,RandomSampler,"Any[9773.155596975774, 6783.142038452581, -378.89940573703075]"
bulk_carriers_design,RandomSampler,"Any[9982.339993907046, 6719.568162645246, -369.1463974960307]"
bulk_carriers_design,RandomSampler,"Any[10038.617650881944, 6717.079311902365, -367.0427867977102]"
bulk_carriers_design,RandomSampler,"Any[10295.278353397947, 6676.733095507244, -356.6797869760598]"
bulk_carriers_design,RandomSampler,"Any[-7628.806799238425, 4248.9133496825725, 361.69252877954744]"
bulk_carriers_design,RandomSampler,"Any[-7645.911920712826, 4248.969514365064, 360.9342014764249]"
bulk_carriers_design,RandomSampler,"Any[-7671.570495109032, 4251.530170591386, 360.1596184601042]"
bulk_carriers_design,RandomSampler,"Any[10718.032604151733, 6574.711376125486, -339.94889294975036]"
bulk_carriers_design,RandomSampler,"Any[10928.315031493808, 6498.561951024645, -331.545548099434]"
bulk_carriers_design,RandomSampler,"Any[11020.156351732287, 6486.040250194878, -328.4672192983953]"
bulk_carriers_design,RandomSampler,"Any[11253.943737513815, 6456.5094842182, -320.88741343599537]"
bulk_carriers_design,RandomSampler,"Any[11533.126001995002, 6417.892657580611, -312.0559319210958]"
bulk_carriers_design,RandomSampler,"Any[11967.61281560421, 6414.216992283409, -300.3571325295359]"
bulk_carriers_design,RandomSampler,"Any[12289.505652819951, 6365.388193257038, -291.1510782221597]"
bulk_carriers_design,RandomSampler,"Any[12578.484205370109, 6331.784587412702, -283.6777782014888]"
bulk_carriers_design,RandomSampler,"Any[12627.31000094337, 6320.994090010291, -282.23328937708624]"
bulk_carriers_design,RandomSampler,"Any[12820.332056751336, 6312.546484227731, -277.79296941193513]"
bulk_carriers_design,RandomSampler,"Any[13612.56688780947, 6300.094204047088, -260.9101187864927]"
bulk_carriers_design,RandomSampler,"Any[-7693.5761066996465, 4256.449313106967, 359.426457631381]"
bulk_carriers_design,RandomSampler,"Any[-8088.518404710789, 4265.220340074388, 343.35436225813834]"
bulk_carriers_design,RandomSampler,"Any[14127.077583252627, 6262.306024570724, -250.7023941810576]"
