algorithm_name,sampler,solutions
bulk_carriers_design,TPESampler,"Any[7300.878086834305, 7875.55209728289, -546.1500480289855]"
bulk_carriers_design,TPESampler,"Any[-5611.968456230464, 3871.1175385246347, 465.94782599323156]"
bulk_carriers_design,TPESampler,"Any[18598.746985251742, 5995.4869319970785, -185.558193458261]"
bulk_carriers_design,TPESampler,"Any[-6086.517137420958, 3898.5245517968688, 430.60965271248295]"
bulk_carriers_design,TPESampler,"Any[7361.046871362133, 7858.862295064623, -541.1692728731956]"
bulk_carriers_design,TPESampler,"Any[-6449.639899207093, 4011.5131998071643, 412.9086763748578]"
bulk_carriers_design,TPESampler,"Any[-6455.915930880678, 4012.729282840579, 412.6161247163511]"
bulk_carriers_design,TPESampler,"Any[-6615.3415441516245, 4024.7077081946823, 404.06451160423217]"
bulk_carriers_design,TPESampler,"Any[-6682.489347741898, 4041.4687107528443, 400.9200948929104]"
bulk_carriers_design,TPESampler,"Any[-6682.515082060399, 4041.4688268554137, 400.9186711740646]"
bulk_carriers_design,TPESampler,"Any[-6824.097633783945, 4077.1625221991876, 395.10992365643494]"
bulk_carriers_design,TPESampler,"Any[-6801.582189505583, 4044.2063508090478, 394.69031459332547]"
bulk_carriers_design,TPESampler,"Any[-7150.118900170545, 4141.070441696892, 380.40880975623486]"
bulk_carriers_design,TPESampler,"Any[-7202.418835586419, 4151.765843366856, 378.26292409760026]"
bulk_carriers_design,TPESampler,"Any[-7334.542257687853, 4162.480337008929, 372.29300620979143]"
bulk_carriers_design,TPESampler,"Any[-7481.069022277882, 4169.169071789103, 365.9909408460075]"
bulk_carriers_design,TPESampler,"Any[-7715.166516361503, 4215.880927253429, 356.8909937654253]"
bulk_carriers_design,TPESampler,"Any[-7717.44588445776, 4215.883872578301, 356.78940807059394]"
bulk_carriers_design,TPESampler,"Any[-7764.722499498862, 4217.463639570729, 354.77812196609176]"
bulk_carriers_design,TPESampler,"Any[-7851.501431600962, 4241.693272796518, 351.9967586986062]"
bulk_carriers_design,TPESampler,"Any[-7974.128728620566, 4249.680027880794, 347.270677057515]"
bulk_carriers_design,TPESampler,"Any[-7989.388319590872, 4261.386169427841, 346.97498903112086]"
bulk_carriers_design,TPESampler,"Any[-7997.15031689575, 4262.329787674232, 346.6941765642167]"
bulk_carriers_design,TPESampler,"Any[-8189.681445461334, 4268.234674913261, 339.2348520102816]"
bulk_carriers_design,TPESampler,"Any[-8248.754915552474, 4270.156983096224, 336.98198037702576]"
bulk_carriers_design,TPESampler,"Any[7745.575087910006, 7637.979055446329, -506.8358810187517]"
bulk_carriers_design,TPESampler,"Any[-8310.702845220923, 4280.174649127045, 334.89399980358405]"
bulk_carriers_design,TPESampler,"Any[7831.435940609521, 7588.799567894751, -499.5288531867579]"
bulk_carriers_design,TPESampler,"Any[7910.499798976128, 7548.596236911866, -493.23143206996167]"
bulk_carriers_design,TPESampler,"Any[-8335.223914237828, 4293.312038751518, 334.6517395218947]"
bulk_carriers_design,TPESampler,"Any[-8453.45800610081, 4308.764968150477, 330.39537146578095]"
bulk_carriers_design,TPESampler,"Any[7983.160361926292, 7515.700946782772, -487.656073408237]"
bulk_carriers_design,TPESampler,"Any[8005.542141411315, 7509.652681955526, -486.05258062994585]"
bulk_carriers_design,TPESampler,"Any[-8607.365021800113, 4321.196531084272, 325.5059233482328]"
bulk_carriers_design,TPESampler,"Any[-8656.30896356395, 4337.150173372639, 324.08242650982845]"
bulk_carriers_design,TPESampler,"Any[-8820.367168870298, 4339.576847800793, 318.4234067378505]"
bulk_carriers_design,TPESampler,"Any[-9151.031902466275, 4374.104760122945, 308.6407230347527]"
bulk_carriers_design,TPESampler,"Any[-9362.985911928541, 4413.973022339042, 302.9595966426909]"
bulk_carriers_design,TPESampler,"Any[-9515.33265889883, 4434.487960543904, 298.9025372351854]"
bulk_carriers_design,TPESampler,"Any[-9694.958106192218, 4443.699568632682, 293.92382773494137]"
bulk_carriers_design,TPESampler,"Any[-9824.2880674107, 4493.306222178546, 291.4146685798299]"
bulk_carriers_design,TPESampler,"Any[-10278.306966354154, 4552.419250880126, 280.9811302687572]"
bulk_carriers_design,TPESampler,"Any[-10636.746299237533, 4563.385683655738, 271.9775783544854]"
bulk_carriers_design,TPESampler,"Any[8241.075842896165, 7396.03983997565, -468.6741752300088]"
bulk_carriers_design,TPESampler,"Any[-10680.346846682869, 4566.630517426859, 271.0036300681639]"
bulk_carriers_design,TPESampler,"Any[-10703.849689129382, 4579.752638534695, 270.8308721932669]"
bulk_carriers_design,TPESampler,"Any[8279.359408647788, 7363.08896016589, -465.51104275143297]"
