algorithm_name,sampler,solutions
front_rail_design,RandomSampler,"Any[0.8377282671241372, 1.1965666872963878]"
front_rail_design,RandomSampler,"Any[0.9336603870908398, 0.9861798904813143]"
front_rail_design,RandomSampler,"Any[0.921078232616729, 0.9974631966925167]"
front_rail_design,RandomSampler,"Any[0.8377951877458243, 1.196109304654099]"
front_rail_design,RandomSampler,"Any[0.8379352650526694, 1.1952000162423384]"
front_rail_design,RandomSampler,"Any[0.9026983261673078, 1.0233482271060552]"
front_rail_design,RandomSampler,"Any[0.9029330609035182, 1.0229256646193459]"
front_rail_design,RandomSampler,"Any[0.9032591180302315, 1.022348888397979]"
front_rail_design,RandomSampler,"Any[0.8382282101680262, 1.1939030848352008]"
front_rail_design,RandomSampler,"Any[0.9033673055445548, 1.0221688512566047]"
front_rail_design,RandomSampler,"Any[0.9037582508113102, 1.0214639783982948]"
front_rail_design,RandomSampler,"Any[0.8384024130731436, 1.1922464256956944]"
front_rail_design,RandomSampler,"Any[0.8384720107059576, 1.1918834382325516]"
front_rail_design,RandomSampler,"Any[0.8385938219060897, 1.1910755143256142]"
front_rail_design,RandomSampler,"Any[0.8386519488581927, 1.190834180344669]"
front_rail_design,RandomSampler,"Any[0.8387913035789194, 1.189888121276635]"
front_rail_design,RandomSampler,"Any[0.8389140178642082, 1.1891431523362144]"
front_rail_design,RandomSampler,"Any[0.9335821485018436, 0.9862619177598451]"
front_rail_design,RandomSampler,"Any[0.9332054438519017, 0.9865190452204033]"
front_rail_design,RandomSampler,"Any[0.9043722914260315, 1.0204427423592748]"
front_rail_design,RandomSampler,"Any[0.9050810475684111, 1.0192632429330064]"
front_rail_design,RandomSampler,"Any[0.8391171318441782, 1.1879470151393792]"
front_rail_design,RandomSampler,"Any[0.8391651092981997, 1.1876673468026575]"
front_rail_design,RandomSampler,"Any[0.9053871916781522, 1.0186757553780847]"
front_rail_design,RandomSampler,"Any[0.9056441272174125, 1.0184560908220497]"
front_rail_design,RandomSampler,"Any[0.9002970526974176, 1.0278230868871836]"
front_rail_design,RandomSampler,"Any[0.8999928878926363, 1.0283809018535122]"
front_rail_design,RandomSampler,"Any[0.9326231980764832, 0.9869602413654466]"
front_rail_design,RandomSampler,"Any[0.8394049205104932, 1.1862855185023051]"
front_rail_design,RandomSampler,"Any[0.8395950648428158, 1.1852087972961403]"
front_rail_design,RandomSampler,"Any[0.9060687773361207, 1.017563460858213]"
front_rail_design,RandomSampler,"Any[0.8996175214877712, 1.029147607729888]"
front_rail_design,RandomSampler,"Any[0.9062925656648818, 1.0172609004156294]"
front_rail_design,RandomSampler,"Any[0.839877788830989, 1.1836522887361365]"
front_rail_design,RandomSampler,"Any[0.8400400472193965, 1.1827498422580123]"
front_rail_design,RandomSampler,"Any[0.8400948242789495, 1.1824529915504787]"
front_rail_design,RandomSampler,"Any[0.8402400461739118, 1.1816878252079706]"
front_rail_design,RandomSampler,"Any[0.9065430626065609, 1.0168328857987012]"
front_rail_design,RandomSampler,"Any[0.9068216131701737, 1.0163277462313942]"
front_rail_design,RandomSampler,"Any[0.9070719356196446, 1.016016278124834]"
front_rail_design,RandomSampler,"Any[0.9072865340592302, 1.0156932438508337]"
front_rail_design,RandomSampler,"Any[0.9076491053936371, 1.0150278060137576]"
front_rail_design,RandomSampler,"Any[0.8406463164400071, 1.179532560491206]"
front_rail_design,RandomSampler,"Any[0.9076534773361978, 1.0150209566965633]"
front_rail_design,RandomSampler,"Any[0.9080454217467663, 1.01467110339484]"
front_rail_design,RandomSampler,"Any[0.8978967564809283, 1.0326174298802802]"
front_rail_design,RandomSampler,"Any[0.8975447958913345, 1.0330407978439515]"
front_rail_design,RandomSampler,"Any[0.9320012089555864, 0.9874387643598054]"
front_rail_design,RandomSampler,"Any[0.9083408932994009, 1.013931880453874]"
front_rail_design,RandomSampler,"Any[0.8409867747563935, 1.1777880337645377]"
front_rail_design,RandomSampler,"Any[0.897005605943456, 1.0340771193557587]"
front_rail_design,RandomSampler,"Any[0.9316590573828054, 0.9876978986653239]"
front_rail_design,RandomSampler,"Any[0.8967003617897074, 1.03466502487692]"
front_rail_design,RandomSampler,"Any[0.8412122658996205, 1.1768381261434466]"
front_rail_design,RandomSampler,"Any[0.8961868445780985, 1.0362520476282033]"
front_rail_design,RandomSampler,"Any[0.8958280653495069, 1.0363921112666468]"
front_rail_design,RandomSampler,"Any[0.9312339341640413, 0.988048631934481]"
front_rail_design,RandomSampler,"Any[0.8956113310691313, 1.0367731764912047]"
front_rail_design,RandomSampler,"Any[0.8951898267597163, 1.0375914143240776]"
front_rail_design,RandomSampler,"Any[0.8948732324942551, 1.0382486740926113]"
front_rail_design,RandomSampler,"Any[0.9092785507520889, 1.0125096070877377]"
front_rail_design,RandomSampler,"Any[0.8416930419476439, 1.1744952693455055]"
front_rail_design,RandomSampler,"Any[0.841933103443831, 1.1733970537505638]"
front_rail_design,RandomSampler,"Any[0.842034943347025, 1.1730097793004401]"
front_rail_design,RandomSampler,"Any[0.8421599793081207, 1.1720971995239076]"
front_rail_design,RandomSampler,"Any[0.9095038008097006, 1.0121876752162446]"
front_rail_design,RandomSampler,"Any[0.8942668394352542, 1.0394089241813216]"
front_rail_design,RandomSampler,"Any[0.8942368709055516, 1.0398928365203144]"
front_rail_design,RandomSampler,"Any[0.9309451574282787, 0.988284436493638]"
front_rail_design,RandomSampler,"Any[0.9097918629590078, 1.0120085819162183]"
front_rail_design,RandomSampler,"Any[0.9102829279424175, 1.0110238373326346]"
front_rail_design,RandomSampler,"Any[0.9305372130909205, 0.9886228884173752]"
front_rail_design,RandomSampler,"Any[0.9105340417912319, 1.0106588528584535]"
front_rail_design,RandomSampler,"Any[0.8913156137528029, 1.0452513818968936]"
front_rail_design,RandomSampler,"Any[0.8910969819337721, 1.0456828592869958]"
