algorithm_name,sampler,solutions
front_rail_design,TPESampler,"Any[0.8377298778976235, 1.1965371268284273]"
front_rail_design,TPESampler,"Any[0.9336490730090494, 0.9861872770166837]"
front_rail_design,TPESampler,"Any[0.8612665030044324, 1.1130988335400671]"
front_rail_design,TPESampler,"Any[0.9336490730090494, 0.9861872770166837]"
front_rail_design,TPESampler,"Any[0.9332573224724666, 0.986477531611147]"
front_rail_design,TPESampler,"Any[0.9330209531844568, 0.9868527022405659]"
front_rail_design,TPESampler,"Any[0.8377576015546933, 1.196441096619341]"
front_rail_design,TPESampler,"Any[0.8378825547637785, 1.1955408590908574]"
front_rail_design,TPESampler,"Any[0.9327086796448909, 0.986890804005579]"
front_rail_design,TPESampler,"Any[0.9323533508899079, 0.9871600368182453]"
front_rail_design,TPESampler,"Any[0.9320992947956359, 0.9873554466783738]"
front_rail_design,TPESampler,"Any[0.8379830542928349, 1.1948926876722155]"
front_rail_design,TPESampler,"Any[0.9315282803642124, 0.9878003629964923]"
front_rail_design,TPESampler,"Any[0.931125490831998, 0.9881223321540147]"
front_rail_design,TPESampler,"Any[0.8381986997140676, 1.1938678230073876]"
front_rail_design,TPESampler,"Any[0.9305612691587011, 0.988575563230556]"
front_rail_design,TPESampler,"Any[0.9301609915877838, 0.9889032663282497]"
front_rail_design,TPESampler,"Any[0.929901216991807, 0.9891130106257494]"
front_rail_design,TPESampler,"Any[0.8383097487300707, 1.192822917540069]"
front_rail_design,TPESampler,"Any[0.9295601315862676, 0.98939623705002]"
front_rail_design,TPESampler,"Any[0.9292079895158243, 0.9896909182849054]"
front_rail_design,TPESampler,"Any[0.8384914934339797, 1.1917979937752803]"
front_rail_design,TPESampler,"Any[0.9289209847861424, 0.9899342627887275]"
front_rail_design,TPESampler,"Any[0.9285487453104023, 0.9902692192581571]"
front_rail_design,TPESampler,"Any[0.9283944350499082, 0.9903877550371813]"
front_rail_design,TPESampler,"Any[0.9280366754766263, 0.9906973323670537]"
front_rail_design,TPESampler,"Any[0.9275783837405492, 0.9911026578797204]"
front_rail_design,TPESampler,"Any[0.838784461261629, 1.1899165738415107]"
front_rail_design,TPESampler,"Any[0.8389287481823545, 1.1890756718043825]"
front_rail_design,TPESampler,"Any[0.9273388761455363, 0.9913157656000008]"
front_rail_design,TPESampler,"Any[0.9269465598600796, 0.9916681587340896]"
front_rail_design,TPESampler,"Any[0.839100521963838, 1.1880440914113235]"
front_rail_design,TPESampler,"Any[0.9265689723830424, 0.9920095395983691]"
front_rail_design,TPESampler,"Any[0.9261417122081647, 0.992402487145727]"
front_rail_design,TPESampler,"Any[0.9260711842455186, 0.9924682433042065]"
front_rail_design,TPESampler,"Any[0.9255332795763197, 0.9929711915993302]"
front_rail_design,TPESampler,"Any[0.9249311287696961, 0.9935901970531722]"
front_rail_design,TPESampler,"Any[0.9244075296872057, 0.9940498400743364]"
front_rail_design,TPESampler,"Any[0.9240486682492816, 0.9944008089138477]"
front_rail_design,TPESampler,"Any[0.9235947689065498, 0.9948511831584192]"
front_rail_design,TPESampler,"Any[0.839358056522427, 1.1865599420080728]"
front_rail_design,TPESampler,"Any[0.9232697857138608, 0.9951769354904763]"
front_rail_design,TPESampler,"Any[0.9230314367526348, 0.9954175884666425]"
front_rail_design,TPESampler,"Any[0.9225426757844034, 0.9959858107647983]"
front_rail_design,TPESampler,"Any[0.9222806189008969, 0.9961871063565897]"
front_rail_design,TPESampler,"Any[0.9221310688152057, 0.9963424625411922]"
front_rail_design,TPESampler,"Any[0.9217430899316159, 0.9967486828836991]"
front_rail_design,TPESampler,"Any[0.8396466212815029, 1.1849379174834416]"
front_rail_design,TPESampler,"Any[0.8397750123679422, 1.1842040779122422]"
front_rail_design,TPESampler,"Any[0.9213821228473927, 0.997132294814698]"
front_rail_design,TPESampler,"Any[0.839849006376965, 1.1838057856234145]"
front_rail_design,TPESampler,"Any[0.9211785867204966, 0.9973479795896422]"
front_rail_design,TPESampler,"Any[0.9209299054305453, 0.9976217318688709]"
front_rail_design,TPESampler,"Any[0.8400196554080865, 1.1828607081156146]"
front_rail_design,TPESampler,"Any[0.840176402960623, 1.1820971302401468]"
front_rail_design,TPESampler,"Any[0.920511251767822, 0.9980757527488271]"
front_rail_design,TPESampler,"Any[0.9201855168258691, 0.9984260311098169]"
front_rail_design,TPESampler,"Any[0.919380344380985, 0.9993230661102904]"
front_rail_design,TPESampler,"Any[0.9188337915157014, 0.9999521255222429]"
front_rail_design,TPESampler,"Any[0.9184125663200934, 1.000429094413602]"
front_rail_design,TPESampler,"Any[0.9180316463045816, 1.0008744530988838]"
front_rail_design,TPESampler,"Any[0.917609492826097, 1.0013702248387]"
front_rail_design,TPESampler,"Any[0.9173831196757375, 1.0016394553005703]"
front_rail_design,TPESampler,"Any[0.9171436413807843, 1.0019302698737291]"
front_rail_design,TPESampler,"Any[0.9170116595252817, 1.0022761379651643]"
front_rail_design,TPESampler,"Any[0.8403777114840534, 1.181016705794863]"
front_rail_design,TPESampler,"Any[0.9165921121377312, 1.0025945696876355]"
front_rail_design,TPESampler,"Any[0.9163114782803115, 1.0029413182948868]"
front_rail_design,TPESampler,"Any[0.916132160284489, 1.003158881085751]"
front_rail_design,TPESampler,"Any[0.9156790643638131, 1.0037264722699786]"
front_rail_design,TPESampler,"Any[0.8406579550385321, 1.1799742174643773]"
front_rail_design,TPESampler,"Any[0.8406969685947441, 1.1794071526722245]"
front_rail_design,TPESampler,"Any[0.9155448755397078, 1.003892708775272]"
front_rail_design,TPESampler,"Any[0.9153555231842807, 1.0041330427565425]"
front_rail_design,TPESampler,"Any[0.8408547419406469, 1.1784742208177776]"
front_rail_design,TPESampler,"Any[0.8409422347563948, 1.1782020225407495]"
front_rail_design,TPESampler,"Any[0.914903930438416, 1.0047073282700028]"
front_rail_design,TPESampler,"Any[0.9144981468624138, 1.0052275712549956]"
front_rail_design,TPESampler,"Any[0.9142247172826121, 1.0055818977562618]"
front_rail_design,TPESampler,"Any[0.9138895531455031, 1.006021355652773]"
front_rail_design,TPESampler,"Any[0.9135503398344015, 1.0064702695866612]"
front_rail_design,TPESampler,"Any[0.913403184862156, 1.006667384605853]"
front_rail_design,TPESampler,"Any[0.9131253260755425, 1.0071078226869132]"
front_rail_design,TPESampler,"Any[0.8412154447215879, 1.1766408159825137]"
front_rail_design,TPESampler,"Any[0.8413733348269484, 1.1758597203038492]"
front_rail_design,TPESampler,"Any[0.9126191892718534, 1.007786342645588]"
front_rail_design,TPESampler,"Any[0.8414346248181178, 1.1756614389524949]"
front_rail_design,TPESampler,"Any[0.8415197622395337, 1.1751432038027958]"
front_rail_design,TPESampler,"Any[0.912364522860213, 1.0080739388939204]"
front_rail_design,TPESampler,"Any[0.9119927424098808, 1.0085887269671197]"
front_rail_design,TPESampler,"Any[0.9118610305157874, 1.0087712336254175]"
front_rail_design,TPESampler,"Any[0.9117011329691275, 1.0091916097739304]"
front_rail_design,TPESampler,"Any[0.9114943415816325, 1.0092889966595895]"
front_rail_design,TPESampler,"Any[0.8417707160836677, 1.174070724612591]"
front_rail_design,TPESampler,"Any[0.8419847152964385, 1.172934776132786]"
front_rail_design,TPESampler,"Any[0.9110585478937714, 1.0099247248201582]"
front_rail_design,TPESampler,"Any[0.8420422595860684, 1.1726539886531229]"
front_rail_design,TPESampler,"Any[0.8422304676247089, 1.1718298649641101]"
front_rail_design,TPESampler,"Any[0.9108767807838775, 1.0101676552747778]"
front_rail_design,TPESampler,"Any[0.910596407715891, 1.0105701106906286]"
front_rail_design,TPESampler,"Any[0.9103935054432423, 1.010860776937142]"
front_rail_design,TPESampler,"Any[0.8423410648594394, 1.171345421303471]"
front_rail_design,TPESampler,"Any[0.8424627993202961, 1.1707089282216123]"
front_rail_design,TPESampler,"Any[0.9096304379132604, 1.0119818511649226]"
front_rail_design,TPESampler,"Any[0.9093931371049158, 1.012376926082089]"
front_rail_design,TPESampler,"Any[0.9093695952257816, 1.0124189885659922]"
front_rail_design,TPESampler,"Any[0.909094088261817, 1.0128057068600749]"
