algorithm_name,sampler,solutions
pressure_vessel,RandomSampler,"Any[101.55352006161168, -31823.319637910856]"
pressure_vessel,RandomSampler,"Any[359648.8540625, -5.864306286700947e7]"
pressure_vessel,RandomSampler,"Any[159035.19253505327, -2.8696471180779032e7]"
pressure_vessel,RandomSampler,"Any[831.8370700350265, -246268.21792569113]"
pressure_vessel,RandomSampler,"Any[1502.5904701822772, -444523.31509789836]"
pressure_vessel,RandomSampler,"Any[2013.9954127876458, -722968.4615428951]"
pressure_vessel,RandomSampler,"Any[359556.5022477462, -5.8548176285658374e7]"
pressure_vessel,RandomSampler,"Any[358483.1472249407, -5.835545641672596e7]"
pressure_vessel,RandomSampler,"Any[2573.223811638011, -908506.642439518]"
pressure_vessel,RandomSampler,"Any[2782.2373057616505, -985764.5009809876]"
pressure_vessel,RandomSampler,"Any[358366.95269112807, -5.82550809968396e7]"
pressure_vessel,RandomSampler,"Any[357671.4410005829, -5.808391539288152e7]"
pressure_vessel,RandomSampler,"Any[357015.51299679937, -5.795992441273156e7]"
pressure_vessel,RandomSampler,"Any[356561.4242606198, -5.7857835895531476e7]"
pressure_vessel,RandomSampler,"Any[4307.8649982300985, -1.3525747590416213e6]"
pressure_vessel,RandomSampler,"Any[5185.854177072516, -1.6516243274261714e6]"
pressure_vessel,RandomSampler,"Any[5975.322308771009, -1.8144967648801066e6]"
pressure_vessel,RandomSampler,"Any[355941.1424467338, -5.772980692325945e7]"
pressure_vessel,RandomSampler,"Any[354968.9109647266, -5.747602197047658e7]"
pressure_vessel,RandomSampler,"Any[6961.017705836484, -1.9853875697098318e6]"
pressure_vessel,RandomSampler,"Any[354230.7628335212, -5.730975112437914e7]"
pressure_vessel,RandomSampler,"Any[353257.43151852157, -5.707143864112127e7]"
pressure_vessel,RandomSampler,"Any[8384.888599067892, -2.3679873498969697e6]"
pressure_vessel,RandomSampler,"Any[8607.909019504577, -2.4694959624125096e6]"
pressure_vessel,RandomSampler,"Any[352459.12189343874, -5.6876008550271735e7]"
pressure_vessel,RandomSampler,"Any[9745.460558873305, -2.6158333491727086e6]"
pressure_vessel,RandomSampler,"Any[10218.953824380676, -2.882053363340801e6]"
pressure_vessel,RandomSampler,"Any[352383.54567653546, -5.685733660663129e7]"
pressure_vessel,RandomSampler,"Any[345322.1419343561, -5.6784462123369455e7]"
pressure_vessel,RandomSampler,"Any[345191.70262267895, -5.6695932524340235e7]"
pressure_vessel,RandomSampler,"Any[344504.0903453639, -5.658091487887767e7]"
pressure_vessel,RandomSampler,"Any[11864.467866051178, -3.06836117299329e6]"
pressure_vessel,RandomSampler,"Any[344159.21031685424, -5.646298515965598e7]"
pressure_vessel,RandomSampler,"Any[343444.4965911873, -5.631714988190468e7]"
pressure_vessel,RandomSampler,"Any[341585.15060153184, -5.597400293735262e7]"
pressure_vessel,RandomSampler,"Any[12921.720466443812, -3.376093639715941e6]"
pressure_vessel,RandomSampler,"Any[13768.101445627466, -3.5839689906827556e6]"
pressure_vessel,RandomSampler,"Any[15136.566688284553, -3.855900817341923e6]"
pressure_vessel,RandomSampler,"Any[341155.87340869865, -5.58460725035837e7]"
pressure_vessel,RandomSampler,"Any[15453.456860954784, -3.982291874917505e6]"
pressure_vessel,RandomSampler,"Any[16148.899476573313, -4.210766380287677e6]"
pressure_vessel,RandomSampler,"Any[340083.7451326739, -5.560242802991074e7]"
pressure_vessel,RandomSampler,"Any[340075.8191269684, -5.559427518206294e7]"
pressure_vessel,RandomSampler,"Any[339095.097965066, -5.535800192086886e7]"
pressure_vessel,RandomSampler,"Any[17649.931189566305, -4.501285522255339e6]"
pressure_vessel,RandomSampler,"Any[18267.1803895983, -4.677722632988331e6]"
pressure_vessel,RandomSampler,"Any[19861.0958000619, -4.898012362165362e6]"
pressure_vessel,RandomSampler,"Any[337828.4481458875, -5.504467635335431e7]"
pressure_vessel,RandomSampler,"Any[337483.4864422715, -5.4959508613858186e7]"
pressure_vessel,RandomSampler,"Any[336987.0647063779, -5.483099376053145e7]"
pressure_vessel,RandomSampler,"Any[336320.3039012083, -5.4667403236962855e7]"
pressure_vessel,RandomSampler,"Any[335433.1999679696, -5.4448980622582495e7]"
pressure_vessel,RandomSampler,"Any[328833.42146570043, -5.444319898083392e7]"
pressure_vessel,RandomSampler,"Any[328817.833143897, -5.442705897480904e7]"
pressure_vessel,RandomSampler,"Any[327729.5148207376, -5.413415159027162e7]"
pressure_vessel,RandomSampler,"Any[22204.851778580647, -5.302189764076494e6]"
pressure_vessel,RandomSampler,"Any[22675.451733954233, -5.547085875586012e6]"
pressure_vessel,RandomSampler,"Any[327728.7694777701, -5.4133382807633154e7]"
pressure_vessel,RandomSampler,"Any[326955.9985002286, -5.389461216281179e7]"
pressure_vessel,RandomSampler,"Any[325858.20656095067, -5.367636573698008e7]"
pressure_vessel,RandomSampler,"Any[24856.455430966, -5.7607837522048075e6]"
pressure_vessel,RandomSampler,"Any[324162.2235506796, -5.327682872520168e7]"
pressure_vessel,RandomSampler,"Any[323289.74674214894, -5.306050649783152e7]"
pressure_vessel,RandomSampler,"Any[323289.1081983643, -5.3059858494152404e7]"
pressure_vessel,RandomSampler,"Any[25442.768799964568, -6.06050828942075e6]"
pressure_vessel,RandomSampler,"Any[26154.68015611182, -6.322041162215782e6]"
pressure_vessel,RandomSampler,"Any[322241.9208673459, -5.2800376600439414e7]"
pressure_vessel,RandomSampler,"Any[27605.949037792037, -6.38260061542914e6]"
pressure_vessel,RandomSampler,"Any[28619.38769415133, -6.746481778495088e6]"
pressure_vessel,RandomSampler,"Any[321781.95286781806, -5.268626453139807e7]"
pressure_vessel,RandomSampler,"Any[320894.72011434607, -5.24611247755052e7]"
