algorithm_name,sampler,solutions
hydro_static_thrust_bearing_design,RandomSampler,"Any[2829.625274957518, 6.8432399646286785e-6]"
hydro_static_thrust_bearing_design,RandomSampler,"Any[3733.19369876873, 4.469455467858353e-6]"
hydro_static_thrust_bearing_design,RandomSampler,"Any[3018.7066414874557, 5.041279939147424e-6]"
hydro_static_thrust_bearing_design,RandomSampler,"Any[2560.6763046027877, 7.523175356663735e-6]"
hydro_static_thrust_bearing_design,RandomSampler,"Any[2824.914673743296, 6.870897398177868e-6]"
hydro_static_thrust_bearing_design,RandomSampler,"Any[2903.7398815817555, 5.767416778217065e-6]"
hydro_static_thrust_bearing_design,RandomSampler,"Any[2834.2652924648723, 6.8011261242403484e-6]"
hydro_static_thrust_bearing_design,RandomSampler,"Any[2813.7454729378146, 6.956284819350601e-6]"
hydro_static_thrust_bearing_design,RandomSampler,"Any[2560.6763046027877, 7.523175356663735e-6]"
hydro_static_thrust_bearing_design,RandomSampler,"Any[2757.817732372623, 7.050808059011744e-6]"
hydro_static_thrust_bearing_design,RandomSampler,"Any[3018.648039283647, 5.041578699529864e-6]"
hydro_static_thrust_bearing_design,RandomSampler,"Any[3169.8369034830807, 4.950678007646607e-6]"
hydro_static_thrust_bearing_design,RandomSampler,"Any[2959.4961142322986, 5.369329186210394e-6]"
hydro_static_thrust_bearing_design,RandomSampler,"Any[2941.5817629116214, 5.43875400789146e-6]"
hydro_static_thrust_bearing_design,RandomSampler,"Any[2802.0263138851783, 6.984072287650157e-6]"
hydro_static_thrust_bearing_design,RandomSampler,"Any[2937.1387672556098, 5.600898250957882e-6]"
hydro_static_thrust_bearing_design,RandomSampler,"Any[2767.4056299904064, 7.011934852946134e-6]"
hydro_static_thrust_bearing_design,RandomSampler,"Any[2749.125827851656, 7.10297737246812e-6]"
hydro_static_thrust_bearing_design,RandomSampler,"Any[2762.6615507158276, 7.0343506066100845e-6]"
hydro_static_thrust_bearing_design,RandomSampler,"Any[3026.2555637436294, 5.0215653725834165e-6]"
hydro_static_thrust_bearing_design,RandomSampler,"Any[3488.0247604225538, 4.745874850605345e-6]"
hydro_static_thrust_bearing_design,RandomSampler,"Any[2720.5953009810555, 7.182955373267603e-6]"
hydro_static_thrust_bearing_design,RandomSampler,"Any[3169.8369034830807, 4.950678007646607e-6]"
hydro_static_thrust_bearing_design,RandomSampler,"Any[2891.186518470236, 6.368507802396908e-6]"
hydro_static_thrust_bearing_design,RandomSampler,"Any[2671.230097602137, 7.518540045501395e-6]"
hydro_static_thrust_bearing_design,RandomSampler,"Any[2825.861776301417, 6.863768449160411e-6]"
