algorithm_name,sampler,solutions
hydro_static_thrust_bearing_design,TPESampler,"Any[4807.38409886828, 3.228640977099681e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[4861.586687769273, 3.2141410248978926e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[4795.630137215322, 3.270680765497507e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[4861.092709349615, 3.216531371766233e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[4807.323587454529, 3.2286841864256393e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[4495.0597381221505, 3.3137027726064587e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[5263.264923989894, 3.084249199367075e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[4862.74259468151, 3.212682331416867e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[4483.81550020849, 3.33266384934525e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[4796.925909647154, 3.267615647407047e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[4797.162557993165, 3.2674439841854843e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[4796.771753953696, 3.2699607401536564e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[4861.081737797785, 3.2165928113744514e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[4883.056430093836, 3.145171444091788e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[3033.054547626071, 4.61070987111626e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[4239.911297709021, 3.49002553336714e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[4873.302834682959, 3.1553439960217916e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[5260.922114541774, 3.08643580952593e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[3309.3138227459312, 4.39579356929269e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[2460.425227619273, 6.3145725543469115e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[2984.093439276127, 4.8157775363143e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[4238.766774982112, 3.4929191317693576e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[4511.52667861604, 3.2929458666364813e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[5271.3584395357875, 3.079839124706433e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[2990.704373692932, 4.730740291329403e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[4807.272369125931, 3.2295256898658973e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[4806.997316631226, 3.230997749395027e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[5260.811174860203, 3.0865556173053173e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[2830.8915409884153, 5.3134449107334936e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[4810.293688286016, 3.224592982080339e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[4801.816067483059, 3.2503816415502487e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[3309.3138227459312, 4.39579356929269e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[3309.3138227459312, 4.39579356929269e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[3309.3138227459312, 4.39579356929269e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[4807.272369125931, 3.2295256898658973e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[2997.8574288527075, 4.730305577832376e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[4808.720515924172, 3.2271647754677193e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[4471.15616364908, 3.3545739311841073e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[4801.810747096863, 3.2503857994860657e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[4866.7589847471845, 3.200254082324738e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[4510.559819782763, 3.300485469966927e-6]"
hydro_static_thrust_bearing_design,TPESampler,"Any[4808.280771996885, 3.227555854080898e-6]"
