algorithm_name,sampler,solutions
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.2997153426864487, 26.2776065333423]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3155863506504843, 19.655236075227194]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3042651518007302, 23.577898906810272]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.2998003553799193, 26.213405583994884]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.2998645185061182, 26.176813515347074]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3155438088150597, 19.671725960878696]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3155275794482804, 19.67970918654556]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3154836410778934, 19.689288412330875]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3154337725282153, 19.701534258146527]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3153983276111592, 19.713698205282572]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3153522587149846, 19.722996605808397]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3153029789393607, 19.741968980731745]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3152739300053398, 19.753537332684367]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3151242405641685, 19.78565797845618]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3150466278470279, 19.811214705967096]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.299980312348839, 26.07151575107703]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3000163920284917, 26.065067879990753]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.315009472234352, 19.818912735467812]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3000267587249552, 26.041644742789085]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3000682692440773, 26.021900204858508]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3000827621673359, 25.993747784130846]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3149168379193903, 19.845534882463543]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3147318158962356, 19.897042334071187]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3146956423436458, 19.91315792152013]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3146510469113148, 19.922261275404612]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.300145911891249, 25.961868293060473]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3001669558652567, 25.931826861106554]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3146036104251737, 19.93396210987973]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3145181727788584, 19.962643775821782]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3002141331655088, 25.896850504002895]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3002387430939175, 25.8850390542986]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.314459881462875, 19.979902736200998]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3144272418423182, 20.00038439633075]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3143581745343453, 20.003560046722015]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3002881588463502, 25.83944169769689]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.300322343443111, 25.811356806456164]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3003322289244583, 25.80618065989915]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3003737415315197, 25.777223067356733]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3143144385763392, 20.0213384499128]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3004127505912255, 25.756044385347234]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3004247193750167, 25.734673183287324]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3142554234263748, 20.03323976524173]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3142276219448357, 20.041395488077484]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.300469880150612, 25.70537563022972]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3004761494896229, 25.696148084760527]"
crash_energy_management_for_high_speed_train,RandomSampler,"Any[1.3005081334904378, 25.67179748249134]"
