algorithm_name,sampler,solutions
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.2996865700820923, 26.296135361790483]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.3156820116883303, 19.63128379861543]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.3087387467080713, 21.815081409644932]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.313312367850091, 20.300568699229046]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.2997405969015594, 26.26279577002641]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.2997421202742392, 26.25470137439379]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.2997772951565496, 26.226425266293784]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.3132975282262622, 20.309751620091998]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.29980250281924, 26.20869654392948]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.2998218700997377, 26.194540939453063]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.313255438997117, 20.315759115311185]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.315647340055674, 19.63809611212637]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.3156239696807857, 19.64645472238206]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.3132116311842288, 20.33295139893127]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.2998711104001668, 26.162150510085006]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.2998824914567682, 26.146304843683403]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.2999054190654673, 26.12868567288661]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.2999291954855388, 26.118669982108727]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.2999713752776507, 26.079988167677453]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.3131935974688433, 20.33817328604858]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.30000857710023, 26.065668558478556]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.3000358636389826, 26.028931217006082]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.3131485524672168, 20.34419151592059]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.3000643271144448, 26.01000388951739]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.300093478193735, 25.994809070593597]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.3001110520886485, 25.971272196985847]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.3001342991093943, 25.953960634775868]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.3001610768007774, 25.937645438281724]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.3001811288951575, 25.92099431787429]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.3002199935684255, 25.88927127408989]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.3002491149075641, 25.866111382129684]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.3002716344586902, 25.855009502719092]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.3002952610564917, 25.846550283976935]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.3131258880691363, 20.350321784696316]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.3003086749981014, 25.82038775564345]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.300331000305549, 25.804611557896763]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.3130883230708144, 20.364823078855533]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.3130355080616098, 20.376942317049938]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.300366476751647, 25.7787596951577]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.3003903501596097, 25.762303518074123]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.3155819056086286, 19.659070489608045]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.3155537194689761, 19.66689620321397]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.313000136853898, 20.388953379254062]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.300415275421673, 25.740955364397173]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.3133920758919835, 20.276480748357127]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.3134401596488852, 20.26579405398832]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.3134664646369731, 20.256837795367357]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[1.3004711896361405, 25.70510646903216]"
