algorithm_name,sampler,solutions
process_flow_sheeting_problem,RandomSampler,"Any[-0.24299999848039486, -0.990013396567232]"
process_flow_sheeting_problem,RandomSampler,"Any[0.2069868732530752, -1.2899956241663928]"
process_flow_sheeting_problem,RandomSampler,"Any[-0.1708029442365087, -1.1101636478906851]"
process_flow_sheeting_problem,RandomSampler,"Any[-0.2427863515324012, -0.9965366701707172]"
process_flow_sheeting_problem,RandomSampler,"Any[-0.2424330748458757, -1.0006481104313496]"
process_flow_sheeting_problem,RandomSampler,"Any[0.20531976545655467, -1.2894393591420212]"
process_flow_sheeting_problem,RandomSampler,"Any[0.20120071927517746, -1.2880606005281705]"
process_flow_sheeting_problem,RandomSampler,"Any[0.19496943336332678, -1.2859626060380158]"
process_flow_sheeting_problem,RandomSampler,"Any[-0.24183652588995572, -1.0052542416542825]"
process_flow_sheeting_problem,RandomSampler,"Any[-0.2412833666231633, -1.0085272521153037]"
process_flow_sheeting_problem,RandomSampler,"Any[0.19100923869662179, -1.2846213971484064]"
process_flow_sheeting_problem,RandomSampler,"Any[0.18887938841418545, -1.2838976952928995]"
process_flow_sheeting_problem,RandomSampler,"Any[0.18071644081680288, -1.2811070023395448]"
process_flow_sheeting_problem,RandomSampler,"Any[0.1744811320514199, -1.2789571352983964]"
process_flow_sheeting_problem,RandomSampler,"Any[0.1698674788540459, -1.277356042924356]"
process_flow_sheeting_problem,RandomSampler,"Any[0.16736213016753765, -1.2764828250089264]"
process_flow_sheeting_problem,RandomSampler,"Any[0.1586890696853246, -1.2734392580602207]"
process_flow_sheeting_problem,RandomSampler,"Any[-0.24032214049846082, -1.0131422210764132]"
process_flow_sheeting_problem,RandomSampler,"Any[-0.23936657558140315, -1.0169549956737582]"
process_flow_sheeting_problem,RandomSampler,"Any[-0.23869551246927653, -1.0193402762811687]"
process_flow_sheeting_problem,RandomSampler,"Any[0.15507130917619688, -1.2721599932861045]"
process_flow_sheeting_problem,RandomSampler,"Any[0.15501978650688975, -1.2721416139841453]"
process_flow_sheeting_problem,RandomSampler,"Any[-0.23778539707975416, -1.0222941744164524]"
process_flow_sheeting_problem,RandomSampler,"Any[0.15101002358301274, -1.2707169393921303]"
