algorithm_name,sampler,solutions
process_flow_sheeting_problem,TPESampler,"Any[-0.24299999733319053, -0.9899769053713837]"
process_flow_sheeting_problem,TPESampler,"Any[0.20699602076059687, -1.2899986735839333]"
process_flow_sheeting_problem,TPESampler,"Any[-0.10015196940675059, -1.159025459971534]"
process_flow_sheeting_problem,TPESampler,"Any[0.18113933969459795, -1.2812522410882339]"
process_flow_sheeting_problem,TPESampler,"Any[-0.24292610567000367, -0.9938443288885229]"
process_flow_sheeting_problem,TPESampler,"Any[0.17876273766882178, -1.2804351003817591]"
process_flow_sheeting_problem,TPESampler,"Any[0.1749668464845529, -1.279125179271601]"
process_flow_sheeting_problem,TPESampler,"Any[0.16969777148279686, -1.2772969792680726]"
process_flow_sheeting_problem,TPESampler,"Any[-0.2427846304480567, -0.9965630717189922]"
process_flow_sheeting_problem,TPESampler,"Any[-0.24255542289638082, -0.9994294973738693]"
process_flow_sheeting_problem,TPESampler,"Any[-0.24227385090301157, -1.0020511335316502]"
process_flow_sheeting_problem,TPESampler,"Any[0.16748888786491162, -1.2765270974497565]"
process_flow_sheeting_problem,TPESampler,"Any[-0.24203100040347855, -1.002119834916627]"
process_flow_sheeting_problem,TPESampler,"Any[-0.24196878388348006, -1.0043611706787559]"
process_flow_sheeting_problem,TPESampler,"Any[-0.2417089617701091, -1.006068840839906]"
process_flow_sheeting_problem,TPESampler,"Any[-0.24130411109528102, -1.0084167752449757]"
process_flow_sheeting_problem,TPESampler,"Any[0.16748888786491162, -1.2765270974497565]"
process_flow_sheeting_problem,TPESampler,"Any[0.16537726815378506, -1.2757891768957617]"
process_flow_sheeting_problem,TPESampler,"Any[0.1616669615382899, -1.2744879475612851]"
process_flow_sheeting_problem,TPESampler,"Any[0.15990291805424828, -1.2738671924916416]"
process_flow_sheeting_problem,TPESampler,"Any[-0.24072323667378048, -1.011338994006723]"
process_flow_sheeting_problem,TPESampler,"Any[-0.24044818568214157, -1.0125912120872622]"
process_flow_sheeting_problem,TPESampler,"Any[-0.23979678966785217, -1.0153109080522518]"
process_flow_sheeting_problem,TPESampler,"Any[-0.23935786477552232, -1.0169893875046077]"
process_flow_sheeting_problem,TPESampler,"Any[-0.23914550894615558, -1.017765053768521]"
process_flow_sheeting_problem,TPESampler,"Any[-0.2386720033147598, -1.0194210694872368]"
