algorithm_name,sampler,solutions
vibrating_platform,RandomSampler,"Any[-0.044940772137657514, 226.80003997813947]"
vibrating_platform,RandomSampler,"Any[-0.001306193599885261, 210.00055577918855]"
vibrating_platform,RandomSampler,"Any[-0.04143640936285551, 219.0216149383918]"
vibrating_platform,RandomSampler,"Any[-0.02917775862026378, 212.17766610856668]"
vibrating_platform,RandomSampler,"Any[-0.0015876017864628945, 210.00198459382267]"
vibrating_platform,RandomSampler,"Any[-0.0017614117788749388, 210.00348097981154]"
vibrating_platform,RandomSampler,"Any[-0.04490001991413642, 226.65255242857327]"
vibrating_platform,RandomSampler,"Any[-0.044877691783147274, 226.57262226618093]"
vibrating_platform,RandomSampler,"Any[-0.04485961783161047, 226.51124567679912]"
vibrating_platform,RandomSampler,"Any[-0.029337342530557125, 212.21355434392896]"
vibrating_platform,RandomSampler,"Any[-0.001985321600595614, 210.0049099986883]"
vibrating_platform,RandomSampler,"Any[-0.002107881028560197, 210.00543923827735]"
vibrating_platform,RandomSampler,"Any[-0.029422625891377726, 212.23240967958486]"
vibrating_platform,RandomSampler,"Any[-0.02954729348727542, 212.26139343192514]"
vibrating_platform,RandomSampler,"Any[-0.0023715822066547867, 210.00724066405868]"
vibrating_platform,RandomSampler,"Any[-0.0025814510790101285, 210.00946130690662]"
vibrating_platform,RandomSampler,"Any[-0.0296609887742601, 212.28918645317034]"
vibrating_platform,RandomSampler,"Any[-0.03024826764930952, 212.43128807870647]"
vibrating_platform,RandomSampler,"Any[-0.030349042337979002, 212.46117692126384]"
vibrating_platform,RandomSampler,"Any[-0.0028420816924027295, 210.011513999247]"
vibrating_platform,RandomSampler,"Any[-0.0031261079521405217, 210.01434924640307]"
vibrating_platform,RandomSampler,"Any[-0.04477305157991809, 226.2056823529862]"
vibrating_platform,RandomSampler,"Any[-0.044749945245066924, 226.12847487243508]"
vibrating_platform,RandomSampler,"Any[-0.044719277648171483, 226.03220382428222]"
vibrating_platform,RandomSampler,"Any[-0.030599782349885044, 212.52109769590098]"
vibrating_platform,RandomSampler,"Any[-0.027762041569370465, 211.87939977479442]"
vibrating_platform,RandomSampler,"Any[-0.03105645995735097, 212.6437345420105]"
vibrating_platform,RandomSampler,"Any[-0.03115723365081698, 212.67149944844326]"
vibrating_platform,RandomSampler,"Any[-0.03127926257115912, 212.70461664244365]"
vibrating_platform,RandomSampler,"Any[-0.0313985933601012, 212.7396958740325]"
vibrating_platform,RandomSampler,"Any[-0.04465534075729262, 225.83618347214139]"
vibrating_platform,RandomSampler,"Any[-0.04463618553289248, 225.74469933762236]"
vibrating_platform,RandomSampler,"Any[-0.03154672979108204, 212.78378067316388]"
vibrating_platform,RandomSampler,"Any[-0.0038500841675983112, 210.02307468088088]"
vibrating_platform,RandomSampler,"Any[-0.027404767493306195, 211.8127519322066]"
vibrating_platform,RandomSampler,"Any[-0.004108935078123487, 210.0269966184094]"
vibrating_platform,RandomSampler,"Any[-0.027180109434982554, 211.76982618205489]"
vibrating_platform,RandomSampler,"Any[-0.03198776106372861, 212.9127057561837]"
vibrating_platform,RandomSampler,"Any[-0.03228636812666179, 213.00569453300318]"
vibrating_platform,RandomSampler,"Any[-0.04454396609819909, 225.4535495266834]"
vibrating_platform,RandomSampler,"Any[-0.04452448346419678, 225.39253385508366]"
vibrating_platform,RandomSampler,"Any[-0.0324325033479983, 213.0528283145338]"
vibrating_platform,RandomSampler,"Any[-0.026636768296155654, 211.67332792792635]"
vibrating_platform,RandomSampler,"Any[-0.004595634139044588, 210.03403512434846]"
vibrating_platform,RandomSampler,"Any[-0.03264182904679344, 213.13449965883507]"
vibrating_platform,RandomSampler,"Any[-0.03272152699496649, 213.14754324755575]"
vibrating_platform,RandomSampler,"Any[-0.032854271723478615, 213.19209634539823]"
vibrating_platform,RandomSampler,"Any[-0.04445390864423738, 225.16710279428756]"
vibrating_platform,RandomSampler,"Any[-0.02642559892898429, 211.6374800998791]"
vibrating_platform,RandomSampler,"Any[-0.02640144274537535, 211.63268315883877]"
vibrating_platform,RandomSampler,"Any[-0.04441618600034484, 225.05042464589712]"
vibrating_platform,RandomSampler,"Any[-0.026139727783133095, 211.58789989844735]"
vibrating_platform,RandomSampler,"Any[-0.03305236723926564, 213.25834607918176]"
vibrating_platform,RandomSampler,"Any[-0.025960086554139415, 211.55772693788734]"
vibrating_platform,RandomSampler,"Any[-0.025770845315842915, 211.5291119697742]"
vibrating_platform,RandomSampler,"Any[-0.025731898112084067, 211.52169963986023]"
vibrating_platform,RandomSampler,"Any[-0.025504215085689168, 211.48609241184647]"
vibrating_platform,RandomSampler,"Any[-0.033583929614587185, 213.44949965146125]"
vibrating_platform,RandomSampler,"Any[-0.033782588731848605, 213.52322145448812]"
vibrating_platform,RandomSampler,"Any[-0.044308670735313284, 224.72868687301516]"
vibrating_platform,RandomSampler,"Any[-0.03393546529361243, 213.58561393841399]"
vibrating_platform,RandomSampler,"Any[-0.0339762558458374, 213.59811441254095]"
vibrating_platform,RandomSampler,"Any[-0.04426363293388618, 224.59732331879837]"
vibrating_platform,RandomSampler,"Any[-0.03412509038110709, 213.6562373454026]"
vibrating_platform,RandomSampler,"Any[-0.02507398722262714, 211.41923026208377]"
vibrating_platform,RandomSampler,"Any[-0.04421824597397812, 224.47144760256518]"
vibrating_platform,RandomSampler,"Any[-0.04419562824468464, 224.41449573326875]"
