algorithm_name,sampler,solutions
vibrating_platform,TPESampler,"Any[-0.04494060620637245, 226.80066544299135]"
vibrating_platform,TPESampler,"Any[-0.0013060785153351303, 210.00033202503758]"
vibrating_platform,TPESampler,"Any[-0.03297461416242568, 213.23198976481603]"
vibrating_platform,TPESampler,"Any[-0.04489610009215286, 226.65321704348312]"
vibrating_platform,TPESampler,"Any[-0.04488046485705026, 226.582094600933]"
vibrating_platform,TPESampler,"Any[-0.010818568230575207, 210.20794457983305]"
vibrating_platform,TPESampler,"Any[-0.010960065171368953, 210.21340212535694]"
vibrating_platform,TPESampler,"Any[-0.044860548913630886, 226.51141349491508]"
vibrating_platform,TPESampler,"Any[-0.02246110873219202, 211.07111531292205]"
vibrating_platform,TPESampler,"Any[-0.022630139759704928, 211.08862753226543]"
vibrating_platform,TPESampler,"Any[-0.044825626922028315, 226.3897054885375]"
vibrating_platform,TPESampler,"Any[-0.04481855610349807, 226.3692927060185]"
vibrating_platform,TPESampler,"Any[-0.02268405145695853, 211.09566856807393]"
vibrating_platform,TPESampler,"Any[-0.011137626936785038, 210.21976401611204]"
vibrating_platform,TPESampler,"Any[-0.04478689832950173, 226.26044826814206]"
vibrating_platform,TPESampler,"Any[-0.04476508311584571, 226.21038445831672]"
vibrating_platform,TPESampler,"Any[-0.044749341034265394, 226.13358815745147]"
vibrating_platform,TPESampler,"Any[-0.02285073327164125, 211.11763423466266]"
vibrating_platform,TPESampler,"Any[-0.009214569850015697, 210.1476947923529]"
vibrating_platform,TPESampler,"Any[-0.044725815878277356, 226.044274660221]"
vibrating_platform,TPESampler,"Any[-0.0446940918513428, 225.9436305913784]"
vibrating_platform,TPESampler,"Any[-0.02300458636219053, 211.1352518165982]"
vibrating_platform,TPESampler,"Any[-0.04467702717272635, 225.8939182160749]"
vibrating_platform,TPESampler,"Any[-0.023168032219580394, 211.15876332405958]"
vibrating_platform,TPESampler,"Any[-0.0446636299094124, 225.84640466892512]"
vibrating_platform,TPESampler,"Any[-0.04463826286368408, 225.7556162083096]"
vibrating_platform,TPESampler,"Any[-0.04461965368135736, 225.69444341524138]"
