algorithm_name,sampler,solutions
SOPWM_for_3_level_invereters,RandomSampler,"Any[0.1797294395617001, 0.015218490214407526]"
SOPWM_for_3_level_invereters,RandomSampler,"Any[0.7711755036154166, 2.6701850260716215e-10]"
SOPWM_for_3_level_invereters,RandomSampler,"Any[0.25888137844906184, 2.4446856988350592e-9]"
SOPWM_for_3_level_invereters,RandomSampler,"Any[0.22553851338646888, 5.618486827461787e-9]"
SOPWM_for_3_level_invereters,RandomSampler,"Any[0.3049281701224391, 1.780346690011199e-9]"
SOPWM_for_3_level_invereters,RandomSampler,"Any[0.18897085275253467, 0.001381067528019532]"
SOPWM_for_3_level_invereters,RandomSampler,"Any[0.1866781026354189, 0.00300153096197363]"
SOPWM_for_3_level_invereters,RandomSampler,"Any[0.19002752141783144, 0.00011260047646166217]"
SOPWM_for_3_level_invereters,RandomSampler,"Any[0.21375789031758566, 9.56845675484009e-6]"
SOPWM_for_3_level_invereters,RandomSampler,"Any[0.21696184225071355, 2.874336985760557e-8]"
SOPWM_for_3_level_invereters,RandomSampler,"Any[0.24462827409562557, 2.736589542356856e-9]"
SOPWM_for_3_level_invereters,RandomSampler,"Any[0.22503262172972943, 1.0646117112641896e-8]"
SOPWM_for_3_level_invereters,RandomSampler,"Any[0.24041825645139775, 3.904125693372253e-9]"
SOPWM_for_3_level_invereters,RandomSampler,"Any[0.187032344882962, 0.0020673513777357344]"
SOPWM_for_3_level_invereters,RandomSampler,"Any[0.20481707918067676, 1.6211231217379344e-5]"
SOPWM_for_3_level_invereters,RandomSampler,"Any[0.18476518881789522, 0.003392546914046865]"
