algorithm_name,sampler,solutions
SOPWM_for_3_level_invereters,TPESampler,"Any[0.11047259864468498, 0.04511198729720984]"
SOPWM_for_3_level_invereters,TPESampler,"Any[0.4247106277061298, 6.8376512677439656e-12]"
SOPWM_for_3_level_invereters,TPESampler,"Any[0.14946579938524873, 0.03048549562525164]"
SOPWM_for_3_level_invereters,TPESampler,"Any[0.21063259881010976, 4.4263009843991225e-7]"
SOPWM_for_3_level_invereters,TPESampler,"Any[0.3206154108588131, 1.1018276812981754e-10]"
SOPWM_for_3_level_invereters,TPESampler,"Any[0.09999626897112798, 0.046488879527661384]"
SOPWM_for_3_level_invereters,TPESampler,"Any[0.24032119258773324, 1.9912990075356516e-8]"
SOPWM_for_3_level_invereters,TPESampler,"Any[0.23251688731963982, 9.427673848970545e-8]"
SOPWM_for_3_level_invereters,TPESampler,"Any[0.2357033919060909, 5.8012003591845645e-8]"
SOPWM_for_3_level_invereters,TPESampler,"Any[0.17494604642316205, 4.69424437622826e-6]"
SOPWM_for_3_level_invereters,TPESampler,"Any[0.14517146305637507, 0.03837011205726168]"
SOPWM_for_3_level_invereters,TPESampler,"Any[0.3048970243176346, 8.058278739996134e-9]"
SOPWM_for_3_level_invereters,TPESampler,"Any[0.09812858680978778, 0.0487276412767354]"
SOPWM_for_3_level_invereters,TPESampler,"Any[0.22986387482322132, 2.6695229873562807e-7]"
SOPWM_for_3_level_invereters,TPESampler,"Any[0.192743015342856, 7.053553817265539e-7]"
SOPWM_for_3_level_invereters,TPESampler,"Any[0.14667752938450876, 0.03760890055843376]"
SOPWM_for_3_level_invereters,TPESampler,"Any[0.1724659539945195, 0.00016729488728467516]"
SOPWM_for_3_level_invereters,TPESampler,"Any[0.1859867881642389, 2.4098362632845054e-6]"
SOPWM_for_3_level_invereters,TPESampler,"Any[0.22280515789002048, 3.3921647462635864e-7]"
