algorithm_name,sampler,solutions
SOPWM_for_5_level_Inverters,RandomSampler,"Any[0.378688885697985, 0.1243017925295948]"
SOPWM_for_5_level_Inverters,RandomSampler,"Any[0.5935192607565614, 0.041891765491038305]"
SOPWM_for_5_level_Inverters,RandomSampler,"Any[0.4128333368922127, 0.10706947803835229]"
SOPWM_for_5_level_Inverters,RandomSampler,"Any[0.8014954157169988, 0.03034442982196821]"
SOPWM_for_5_level_Inverters,RandomSampler,"Any[0.4326513962368596, 0.0982166938973158]"
SOPWM_for_5_level_Inverters,RandomSampler,"Any[0.5800272217928119, 0.044362876483926485]"
SOPWM_for_5_level_Inverters,RandomSampler,"Any[0.5551965904898507, 0.04864680085172614]"
SOPWM_for_5_level_Inverters,RandomSampler,"Any[0.36934891319603314, 0.20984352806966214]"
SOPWM_for_5_level_Inverters,RandomSampler,"Any[0.3894926998076173, 0.11601030798280691]"
SOPWM_for_5_level_Inverters,RandomSampler,"Any[0.43891607977794544, 0.09411375629674061]"
SOPWM_for_5_level_Inverters,RandomSampler,"Any[0.4505961677649298, 0.07085071731690915]"
SOPWM_for_5_level_Inverters,RandomSampler,"Any[0.6496312654653872, 0.03461100757940001]"
SOPWM_for_5_level_Inverters,RandomSampler,"Any[0.747896370484833, 0.03200706160549432]"
SOPWM_for_5_level_Inverters,RandomSampler,"Any[0.4274540650333747, 0.09849594277092333]"
SOPWM_for_5_level_Inverters,RandomSampler,"Any[0.35248550261729084, 0.22537742636031266]"
SOPWM_for_5_level_Inverters,RandomSampler,"Any[0.9357711297635489, 0.02460248542686411]"
SOPWM_for_5_level_Inverters,RandomSampler,"Any[0.896184129858439, 0.025152186841450114]"
SOPWM_for_5_level_Inverters,RandomSampler,"Any[0.37197042318027784, 0.13798440193951936]"
SOPWM_for_5_level_Inverters,RandomSampler,"Any[0.43834618133461245, 0.09652053069751593]"
SOPWM_for_5_level_Inverters,RandomSampler,"Any[0.8007030731005201, 0.03044131654065212]"
SOPWM_for_5_level_Inverters,RandomSampler,"Any[0.5188865345858363, 0.058884046973019924]"
SOPWM_for_5_level_Inverters,RandomSampler,"Any[0.3560521564732549, 0.2191615706453194]"
SOPWM_for_5_level_Inverters,RandomSampler,"Any[0.3708954193942474, 0.18034210804204864]"
SOPWM_for_5_level_Inverters,RandomSampler,"Any[0.5098149227166036, 0.05917193047025714]"
SOPWM_for_5_level_Inverters,RandomSampler,"Any[0.8311828526697241, 0.02516854257849258]"
SOPWM_for_5_level_Inverters,RandomSampler,"Any[0.35391122462441277, 0.22390174981119035]"
SOPWM_for_5_level_Inverters,RandomSampler,"Any[0.5539280700203767, 0.05470627311616634]"
