algorithm_name,sampler,solutions
SOPWM_for_5_level_Inverters,TPESampler,"Any[0.4003435226980652, 0.14111312441052826]"
SOPWM_for_5_level_Inverters,TPESampler,"Any[0.2747637463814542, 0.2185394531598761]"
SOPWM_for_5_level_Inverters,TPESampler,"Any[0.9370176490006233, 0.07099754209995945]"
SOPWM_for_5_level_Inverters,TPESampler,"Any[0.7174400519308529, 0.08939860741013476]"
SOPWM_for_5_level_Inverters,TPESampler,"Any[0.36902635681505896, 0.1572890595878019]"
SOPWM_for_5_level_Inverters,TPESampler,"Any[0.7783611282633844, 0.07798305700726783]"
SOPWM_for_5_level_Inverters,TPESampler,"Any[0.9463696848895539, 0.06901450564428527]"
SOPWM_for_5_level_Inverters,TPESampler,"Any[0.9817218070860356, 0.035966046302173135]"
SOPWM_for_5_level_Inverters,TPESampler,"Any[0.9621578582029705, 0.06445441143683532]"
SOPWM_for_5_level_Inverters,TPESampler,"Any[0.9263503849778392, 0.07383563568194422]"
SOPWM_for_5_level_Inverters,TPESampler,"Any[0.9736472568256116, 0.06406962600216168]"
SOPWM_for_5_level_Inverters,TPESampler,"Any[0.3865185306713332, 0.1473702768663442]"
SOPWM_for_5_level_Inverters,TPESampler,"Any[0.22698717048957978, 0.22552893286133682]"
SOPWM_for_5_level_Inverters,TPESampler,"Any[0.32392810526000915, 0.16250687090912996]"
SOPWM_for_5_level_Inverters,TPESampler,"Any[0.29616716725722164, 0.21692287419974315]"
SOPWM_for_5_level_Inverters,TPESampler,"Any[0.31283000845065273, 0.17950508222307188]"
SOPWM_for_5_level_Inverters,TPESampler,"Any[0.3791386272452605, 0.1555011433141861]"
