algorithm_name,sampler,solutions
SOPWM_for_7_level_inverters,RandomSampler,"Any[0.7168347483767149, 0.011159147136922594]"
SOPWM_for_7_level_inverters,RandomSampler,"Any[0.24902722374491332, 0.057791646454767594]"
SOPWM_for_7_level_inverters,RandomSampler,"Any[0.38469334315040304, 0.026178840185674162]"
SOPWM_for_7_level_inverters,RandomSampler,"Any[0.2581206918447318, 0.04857712626393385]"
SOPWM_for_7_level_inverters,RandomSampler,"Any[0.8638595843980196, 0.005947137041259994]"
SOPWM_for_7_level_inverters,RandomSampler,"Any[0.305216425187397, 0.04009348532319361]"
SOPWM_for_7_level_inverters,RandomSampler,"Any[0.2755169080121377, 0.043797598372233265]"
SOPWM_for_7_level_inverters,RandomSampler,"Any[0.3328742023994944, 0.03520720149555471]"
SOPWM_for_7_level_inverters,RandomSampler,"Any[0.38111843966261505, 0.031365044863767406]"
SOPWM_for_7_level_inverters,RandomSampler,"Any[0.7110424047112294, 0.014474459219492428]"
SOPWM_for_7_level_inverters,RandomSampler,"Any[0.21340437393146727, 0.05962941717628344]"
SOPWM_for_7_level_inverters,RandomSampler,"Any[0.3220441176127953, 0.037506762784839484]"
SOPWM_for_7_level_inverters,RandomSampler,"Any[0.7906845635371655, 0.007114242533176889]"
SOPWM_for_7_level_inverters,RandomSampler,"Any[0.3531712745034351, 0.032129043590649546]"
SOPWM_for_7_level_inverters,RandomSampler,"Any[0.7510764787590167, 0.011139858120302517]"
SOPWM_for_7_level_inverters,RandomSampler,"Any[0.29817358887428036, 0.04240145345624263]"
SOPWM_for_7_level_inverters,RandomSampler,"Any[0.44057481768794615, 0.02309632749026661]"
SOPWM_for_7_level_inverters,RandomSampler,"Any[0.43079758713599164, 0.023673661858836553]"
SOPWM_for_7_level_inverters,RandomSampler,"Any[0.3091461517507173, 0.03848011281062295]"
SOPWM_for_7_level_inverters,RandomSampler,"Any[0.46238007898057537, 0.017550342057308047]"
SOPWM_for_7_level_inverters,RandomSampler,"Any[1.1426110070129398, 0.002329971913830082]"
