algorithm_name,sampler,solutions
SOPWM_for_7_level_inverters,TPESampler,"Any[0.4816577671976386, 0.08817412809538479]"
SOPWM_for_7_level_inverters,TPESampler,"Any[0.40739112653285536, 0.19810475265585734]"
SOPWM_for_7_level_inverters,TPESampler,"Any[0.28568780576397634, 0.24538552588423146]"
SOPWM_for_7_level_inverters,TPESampler,"Any[0.48070056764758246, 0.08877386116497196]"
SOPWM_for_7_level_inverters,TPESampler,"Any[0.9773999157835267, 0.05702612428681198]"
SOPWM_for_7_level_inverters,TPESampler,"Any[0.2808257798753385, 0.2628662317738752]"
SOPWM_for_7_level_inverters,TPESampler,"Any[0.390453455521082, 0.20655087517342263]"
SOPWM_for_7_level_inverters,TPESampler,"Any[0.2907020293212662, 0.2375331020555461]"
SOPWM_for_7_level_inverters,TPESampler,"Any[1.2449155014793567, 0.015541305749047182]"
SOPWM_for_7_level_inverters,TPESampler,"Any[0.32475684351758227, 0.21063032058850004]"
SOPWM_for_7_level_inverters,TPESampler,"Any[0.2997199653051698, 0.23483678974655312]"
SOPWM_for_7_level_inverters,TPESampler,"Any[1.018789357423235, 0.043267851308219675]"
SOPWM_for_7_level_inverters,TPESampler,"Any[0.4472954510789404, 0.16117392459761684]"
SOPWM_for_7_level_inverters,TPESampler,"Any[0.2630111763972362, 0.26335372617726305]"
SOPWM_for_7_level_inverters,TPESampler,"Any[0.32392709435382216, 0.2214009397058606]"
SOPWM_for_7_level_inverters,TPESampler,"Any[0.3330069899076467, 0.20729637365839593]"
SOPWM_for_7_level_inverters,TPESampler,"Any[0.44044405567042494, 0.16284926176976772]"
SOPWM_for_7_level_inverters,TPESampler,"Any[0.36983899141043264, 0.2067114806828683]"
