algorithm_name,sampler,solutions
two_bar_Truss_design_problems,RandomSampler,"Any[0.004033379658182165, 98409.83429692766]"
two_bar_Truss_design_problems,RandomSampler,"Any[0.09999105255965281, 1712.6845993260242]"
two_bar_Truss_design_problems,RandomSampler,"Any[0.0056138163058449195, 54036.984569722605]"
two_bar_Truss_design_problems,RandomSampler,"Any[0.004045995815073361, 98407.83010987072]"
two_bar_Truss_design_problems,RandomSampler,"Any[0.0040497019670340095, 97597.94988391607]"
two_bar_Truss_design_problems,RandomSampler,"Any[0.09889527998336878, 1736.5783119512485]"
two_bar_Truss_design_problems,RandomSampler,"Any[0.004058680053219235, 97252.32625481172]"
two_bar_Truss_design_problems,RandomSampler,"Any[0.004069399688299724, 96650.79985590308]"
two_bar_Truss_design_problems,RandomSampler,"Any[0.0040780808953834015, 96319.44528043905]"
two_bar_Truss_design_problems,RandomSampler,"Any[0.09831946616418717, 1754.050522159996]"
two_bar_Truss_design_problems,RandomSampler,"Any[0.09760042717363819, 1755.800351287378]"
two_bar_Truss_design_problems,RandomSampler,"Any[0.004096897797755929, 95448.1272420971]"
two_bar_Truss_design_problems,RandomSampler,"Any[0.09063065095393205, 1896.894702994623]"
two_bar_Truss_design_problems,RandomSampler,"Any[0.09010665896668674, 1912.0977887226402]"
two_bar_Truss_design_problems,RandomSampler,"Any[0.08834234207072586, 1945.9585878920961]"
two_bar_Truss_design_problems,RandomSampler,"Any[0.08593573192144174, 2004.336697541639]"
two_bar_Truss_design_problems,RandomSampler,"Any[0.08535852158434082, 2016.699134847624]"
two_bar_Truss_design_problems,RandomSampler,"Any[0.004138701964960367, 93646.00340091746]"
two_bar_Truss_design_problems,RandomSampler,"Any[0.004158387782768817, 92972.3050514206]"
two_bar_Truss_design_problems,RandomSampler,"Any[0.004188158264338252, 92237.92955603443]"
two_bar_Truss_design_problems,RandomSampler,"Any[0.0847761752986111, 2030.5265577932998]"
two_bar_Truss_design_problems,RandomSampler,"Any[0.08325037530821566, 2068.5321112713864]"
two_bar_Truss_design_problems,RandomSampler,"Any[0.08270182416253961, 2087.191394215661]"
two_bar_Truss_design_problems,RandomSampler,"Any[0.004191502856417905, 91475.10913839239]"
two_bar_Truss_design_problems,RandomSampler,"Any[0.004205966026097572, 90965.22989588158]"
two_bar_Truss_design_problems,RandomSampler,"Any[0.0798312377629905, 2166.146970333207]"
two_bar_Truss_design_problems,RandomSampler,"Any[0.0770031573495141, 2243.2224103724016]"
two_bar_Truss_design_problems,RandomSampler,"Any[0.07572238043451258, 2281.7124299583984]"
two_bar_Truss_design_problems,RandomSampler,"Any[0.07520333066609099, 2302.827518054624]"
two_bar_Truss_design_problems,RandomSampler,"Any[0.07451711754554485, 2325.3762414993093]"
