algorithm_name,sampler,solutions
two_bar_Truss_design_problems,TPESampler,"Any[0.004014520432109817, 99290.81999257393]"
two_bar_Truss_design_problems,TPESampler,"Any[0.09996698445764332, 1713.2145440600382]"
two_bar_Truss_design_problems,TPESampler,"Any[0.021345451638536902, 8967.912444648795]"
two_bar_Truss_design_problems,TPESampler,"Any[0.004039890990685727, 98243.60551875988]"
two_bar_Truss_design_problems,TPESampler,"Any[0.004048133260353562, 97797.25063423435]"
two_bar_Truss_design_problems,TPESampler,"Any[0.004067145832588531, 96928.56488992796]"
two_bar_Truss_design_problems,TPESampler,"Any[0.004075796165804212, 96553.51661496762]"
two_bar_Truss_design_problems,TPESampler,"Any[0.004081990631722246, 96174.89957094523]"
two_bar_Truss_design_problems,TPESampler,"Any[0.004095369855691828, 95870.49585723666]"
two_bar_Truss_design_problems,TPESampler,"Any[0.0040986125935402115, 95417.10575833303]"
two_bar_Truss_design_problems,TPESampler,"Any[0.004109516702808916, 95314.59301791158]"
two_bar_Truss_design_problems,TPESampler,"Any[0.004112901768080194, 94798.54949386165]"
two_bar_Truss_design_problems,TPESampler,"Any[0.09969491689860197, 1717.9582849844949]"
two_bar_Truss_design_problems,TPESampler,"Any[0.0989961300665649, 1730.5317882465665]"
two_bar_Truss_design_problems,TPESampler,"Any[0.004128452721325629, 94232.31396507051]"
two_bar_Truss_design_problems,TPESampler,"Any[0.0041440954795486625, 93497.60175711826]"
two_bar_Truss_design_problems,TPESampler,"Any[0.004150638718622205, 93198.88344207103]"
two_bar_Truss_design_problems,TPESampler,"Any[0.09863026277349538, 1736.9496202667715]"
two_bar_Truss_design_problems,TPESampler,"Any[0.09811879294990612, 1746.51983772192]"
two_bar_Truss_design_problems,TPESampler,"Any[0.0041638281916981075, 92667.12447596365]"
two_bar_Truss_design_problems,TPESampler,"Any[0.004172412184262876, 92066.72904845406]"
two_bar_Truss_design_problems,TPESampler,"Any[0.09764976379667774, 1755.3501102183366]"
two_bar_Truss_design_problems,TPESampler,"Any[0.09595747675133849, 1786.6611846183864]"
two_bar_Truss_design_problems,TPESampler,"Any[0.0953120188363746, 1799.3208986224636]"
two_bar_Truss_design_problems,TPESampler,"Any[0.0042128464291900074, 91225.28259815012]"
two_bar_Truss_design_problems,TPESampler,"Any[0.004218993774564623, 90842.90509777742]"
two_bar_Truss_design_problems,TPESampler,"Any[0.004221145172262278, 90589.60917720308]"
two_bar_Truss_design_problems,TPESampler,"Any[0.004223317492645354, 89947.26076801094]"
two_bar_Truss_design_problems,TPESampler,"Any[0.004227212369766444, 89773.74066187783]"
