algorithm_name,sampler,solutions
weldan_beam_design,RandomSampler,"Any[1.5911841288266382, 0.01306941572426379]"
weldan_beam_design,RandomSampler,"Any[35.31353712723372, 0.00043904]"
weldan_beam_design,RandomSampler,"Any[1.8013005468510306, 0.011119888335928224]"
weldan_beam_design,RandomSampler,"Any[33.29664275304769, 0.0004663121392782475]"
weldan_beam_design,RandomSampler,"Any[31.392557642654722, 0.0004954982543418462]"
weldan_beam_design,RandomSampler,"Any[29.352551511735093, 0.0005314706575691275]"
weldan_beam_design,RandomSampler,"Any[27.22854530974293, 0.0005741044623268843]"
weldan_beam_design,RandomSampler,"Any[26.85517114719156, 0.0005835224500855351]"
weldan_beam_design,RandomSampler,"Any[26.41441935946888, 0.0005919665001941741]"
weldan_beam_design,RandomSampler,"Any[1.619990684521004, 0.012883927820920961]"
weldan_beam_design,RandomSampler,"Any[1.6251224015359385, 0.012752105163389434]"
weldan_beam_design,RandomSampler,"Any[1.637022394329778, 0.012649916275979663]"
weldan_beam_design,RandomSampler,"Any[26.192045302558416, 0.0005972806716699839]"
weldan_beam_design,RandomSampler,"Any[20.1542562047515, 0.0007830231504506114]"
weldan_beam_design,RandomSampler,"Any[19.414812293731895, 0.0008137988443389416]"
weldan_beam_design,RandomSampler,"Any[15.47517031794026, 0.0010350338664134409]"
weldan_beam_design,RandomSampler,"Any[11.893600781889115, 0.0013565044190554966]"
weldan_beam_design,RandomSampler,"Any[11.518525871264055, 0.0014028756309087532]"
weldan_beam_design,RandomSampler,"Any[9.267745545814396, 0.00176247624515538]"
weldan_beam_design,RandomSampler,"Any[8.24305787138832, 0.0020013377681138045]"
weldan_beam_design,RandomSampler,"Any[7.929902748801746, 0.0020797381126334315]"
weldan_beam_design,RandomSampler,"Any[7.774899166355604, 0.002123152760031489]"
weldan_beam_design,RandomSampler,"Any[6.201770498780349, 0.0027039766263005794]"
weldan_beam_design,RandomSampler,"Any[6.043683885866806, 0.0027795578340844224]"
weldan_beam_design,RandomSampler,"Any[5.162647228669715, 0.003309537200909701]"
weldan_beam_design,RandomSampler,"Any[4.808690885430212, 0.0035503632346981172]"
weldan_beam_design,RandomSampler,"Any[4.741303237630431, 0.0036187247160007546]"
weldan_beam_design,RandomSampler,"Any[4.588208417948492, 0.003749775740613784]"
weldan_beam_design,RandomSampler,"Any[4.495837559741375, 0.0038137665689003107]"
weldan_beam_design,RandomSampler,"Any[1.7212616039248718, 0.012008142508852345]"
weldan_beam_design,RandomSampler,"Any[1.722978044249427, 0.011705719650481877]"
weldan_beam_design,RandomSampler,"Any[4.3292026291539125, 0.004002819642572798]"
weldan_beam_design,RandomSampler,"Any[3.7330144202553273, 0.004681071800479203]"
weldan_beam_design,RandomSampler,"Any[3.7169609081230353, 0.0047623902013825365]"
weldan_beam_design,RandomSampler,"Any[3.6383218938094117, 0.004813192336781172]"
weldan_beam_design,RandomSampler,"Any[3.3433495635184176, 0.005338212674684605]"
weldan_beam_design,RandomSampler,"Any[2.6668514474361724, 0.006931206549812816]"
weldan_beam_design,RandomSampler,"Any[2.453769771637013, 0.007577077419586279]"
weldan_beam_design,RandomSampler,"Any[2.4203289214056194, 0.007693883674248122]"
weldan_beam_design,RandomSampler,"Any[2.270890653899108, 0.008248707180673708]"
weldan_beam_design,RandomSampler,"Any[2.2672389032056337, 0.008416040948882892]"
weldan_beam_design,RandomSampler,"Any[2.2662840837005245, 0.008417028709919038]"
weldan_beam_design,RandomSampler,"Any[2.258363255280533, 0.008588980761593815]"
weldan_beam_design,RandomSampler,"Any[2.1380389939231685, 0.00921086060089296]"
weldan_beam_design,RandomSampler,"Any[2.1116509149914, 0.009390384140799131]"
weldan_beam_design,RandomSampler,"Any[2.039184498675109, 0.009680909399867843]"
weldan_beam_design,RandomSampler,"Any[2.023521909045566, 0.00977718628962481]"
weldan_beam_design,RandomSampler,"Any[1.8185820543432136, 0.011059926314049465]"
weldan_beam_design,RandomSampler,"Any[8.458535959806799, 0.0019486956614037216]"
weldan_beam_design,RandomSampler,"Any[3.5080707055188474, 0.0050082492362173445]"
weldan_beam_design,RandomSampler,"Any[35.10920704201658, 0.00044197729890149955]"
weldan_beam_design,RandomSampler,"Any[34.880186714167806, 0.00044600425509661317]"
weldan_beam_design,RandomSampler,"Any[34.66671627498424, 0.00044748582618892366]"
weldan_beam_design,RandomSampler,"Any[34.28919551611248, 0.0004524977713980242]"
weldan_beam_design,RandomSampler,"Any[34.10579895765439, 0.00045544905798663976]"
weldan_beam_design,RandomSampler,"Any[1.8235400363218686, 0.010962439188785712]"
weldan_beam_design,RandomSampler,"Any[1.8319013425699187, 0.010863541455579303]"
weldan_beam_design,RandomSampler,"Any[34.02275434714577, 0.00045618216258266843]"
weldan_beam_design,RandomSampler,"Any[1.8388061702167842, 0.010862733324434727]"
weldan_beam_design,RandomSampler,"Any[1.8556716763602854, 0.010769497995008545]"
weldan_beam_design,RandomSampler,"Any[1.8556716763602854, 0.010769497995008545]"
weldan_beam_design,RandomSampler,"Any[1.8584625783919955, 0.010678674499313793]"
weldan_beam_design,RandomSampler,"Any[1.870958351761168, 0.010657864553291463]"
weldan_beam_design,RandomSampler,"Any[1.8843768481070124, 0.010581503708810372]"
weldan_beam_design,RandomSampler,"Any[1.8954576823971114, 0.010553538411099113]"
weldan_beam_design,RandomSampler,"Any[1.8955222035378803, 0.010467381645012866]"
weldan_beam_design,RandomSampler,"Any[33.40521287830577, 0.0004649509570220809]"
weldan_beam_design,RandomSampler,"Any[1.9122499297257436, 0.010392340656256034]"
weldan_beam_design,RandomSampler,"Any[1.91823120611482, 0.010357311637386022]"
weldan_beam_design,RandomSampler,"Any[1.9305154215077769, 0.010296530712655086]"
weldan_beam_design,RandomSampler,"Any[33.060412307797925, 0.00046991653070268196]"
weldan_beam_design,RandomSampler,"Any[32.962234754522285, 0.00047136910822496156]"
weldan_beam_design,RandomSampler,"Any[32.10867530197979, 0.0004842692815378671]"
weldan_beam_design,RandomSampler,"Any[31.887468405085123, 0.0004879877607383654]"
weldan_beam_design,RandomSampler,"Any[31.791719771221867, 0.0004915454243081328]"
weldan_beam_design,RandomSampler,"Any[1.9598905009058563, 0.010092669845474021]"
weldan_beam_design,RandomSampler,"Any[31.149775019371663, 0.0005001692118837387]"
weldan_beam_design,RandomSampler,"Any[30.80532105857847, 0.0005053937503994413]"
weldan_beam_design,RandomSampler,"Any[30.597082938544578, 0.0005095678124428672]"
weldan_beam_design,RandomSampler,"Any[30.517009524133282, 0.0005100503358685424]"
weldan_beam_design,RandomSampler,"Any[30.15384736687908, 0.0005168196475355905]"
weldan_beam_design,RandomSampler,"Any[30.03135059769838, 0.0005190532815918665]"
weldan_beam_design,RandomSampler,"Any[29.675963485477173, 0.0005269106553573671]"
weldan_beam_design,RandomSampler,"Any[29.086933482549703, 0.000536099601274787]"
weldan_beam_design,RandomSampler,"Any[28.809970365247892, 0.0005426527814420398]"
weldan_beam_design,RandomSampler,"Any[28.313314018539845, 0.0005524105814706479]"
weldan_beam_design,RandomSampler,"Any[28.002800520737747, 0.000557318760518624]"
weldan_beam_design,RandomSampler,"Any[27.83054707158596, 0.0005611838409360244]"
weldan_beam_design,RandomSampler,"Any[27.46639858532965, 0.0005694662109743714]"
weldan_beam_design,RandomSampler,"Any[1.6181379134169116, 0.012957729256625557]"
weldan_beam_design,RandomSampler,"Any[26.773702386935934, 0.0005838353036964723]"
weldan_beam_design,RandomSampler,"Any[26.561930397177072, 0.0005887821836914832]"
weldan_beam_design,RandomSampler,"Any[2.0576924504294647, 0.009604107806374407]"
weldan_beam_design,RandomSampler,"Any[2.0820266955385915, 0.009484948589090242]"
weldan_beam_design,RandomSampler,"Any[2.0820266955385915, 0.009484948589090242]"
weldan_beam_design,RandomSampler,"Any[25.760484737377457, 0.0006125144187377814]"
weldan_beam_design,RandomSampler,"Any[25.556755112986483, 0.0006125394318748493]"
weldan_beam_design,RandomSampler,"Any[25.25472037453595, 0.0006200024842397875]"
weldan_beam_design,RandomSampler,"Any[25.09483501914228, 0.0006247673114579162]"
weldan_beam_design,RandomSampler,"Any[2.116091204908853, 0.00930682915275426]"
weldan_beam_design,RandomSampler,"Any[24.999563760899253, 0.0006272418052199331]"
weldan_beam_design,RandomSampler,"Any[2.150770747450862, 0.009144285944914766]"
weldan_beam_design,RandomSampler,"Any[2.1541981366461194, 0.00911386574439744]"
weldan_beam_design,RandomSampler,"Any[2.174888679687107, 0.009053628180974119]"
weldan_beam_design,RandomSampler,"Any[24.36051367022294, 0.0006461253237738051]"
weldan_beam_design,RandomSampler,"Any[23.354797398753238, 0.000672773338475427]"
weldan_beam_design,RandomSampler,"Any[23.13510168159218, 0.000678578601094135]"
weldan_beam_design,RandomSampler,"Any[22.772759957342075, 0.0006900317065839322]"
weldan_beam_design,RandomSampler,"Any[22.37756308897424, 0.0007024856103170386]"
weldan_beam_design,RandomSampler,"Any[2.2155362705893618, 0.00887911601398045]"
weldan_beam_design,RandomSampler,"Any[22.131582855147656, 0.0007107214853851757]"
weldan_beam_design,RandomSampler,"Any[21.90065785504178, 0.000719298120124993]"
weldan_beam_design,RandomSampler,"Any[2.2397289075088573, 0.008817505067339334]"
weldan_beam_design,RandomSampler,"Any[21.40148823015177, 0.0007361959573899176]"
weldan_beam_design,RandomSampler,"Any[21.151816357384824, 0.0007448955261116093]"
weldan_beam_design,RandomSampler,"Any[20.525602198919426, 0.000768396199272731]"
weldan_beam_design,RandomSampler,"Any[20.406005878696103, 0.0007740785834448163]"
weldan_beam_design,RandomSampler,"Any[19.763301085707994, 0.0007992241753182363]"
weldan_beam_design,RandomSampler,"Any[19.68419577385343, 0.0008021058832635897]"
weldan_beam_design,RandomSampler,"Any[2.2571074576717116, 0.008601269130130998]"
weldan_beam_design,RandomSampler,"Any[18.807052328459417, 0.000841856276668491]"
weldan_beam_design,RandomSampler,"Any[1.7752854561017841, 0.011317531596838246]"
weldan_beam_design,RandomSampler,"Any[18.54679431523877, 0.0008599028869966995]"
weldan_beam_design,RandomSampler,"Any[18.308323888812883, 0.0008646963769932297]"
weldan_beam_design,RandomSampler,"Any[18.15874645928712, 0.000872162011217391]"
weldan_beam_design,RandomSampler,"Any[17.80771488751592, 0.0008915280111273101]"
weldan_beam_design,RandomSampler,"Any[2.2915513517741077, 0.008168729914941778]"
weldan_beam_design,RandomSampler,"Any[17.563492502956162, 0.0009055794873328602]"
weldan_beam_design,RandomSampler,"Any[2.3137776781234907, 0.008095236397077044]"
weldan_beam_design,RandomSampler,"Any[17.409398482767024, 0.0009142448742698251]"
weldan_beam_design,RandomSampler,"Any[17.130900937897074, 0.0009265918886028081]"
weldan_beam_design,RandomSampler,"Any[2.347043956046176, 0.007963922510484186]"
weldan_beam_design,RandomSampler,"Any[2.3522074673756084, 0.007944226339190629]"
weldan_beam_design,RandomSampler,"Any[16.664988321189856, 0.0009549983360614541]"
weldan_beam_design,RandomSampler,"Any[16.337930117126135, 0.0009741527493213913]"
weldan_beam_design,RandomSampler,"Any[15.659329989175884, 0.0010177697888351744]"
weldan_beam_design,RandomSampler,"Any[2.383566136467305, 0.007861527334257988]"
weldan_beam_design,RandomSampler,"Any[2.4014783256279575, 0.0077538119974413875]"
weldan_beam_design,RandomSampler,"Any[14.614600443806786, 0.0010953769379960583]"
weldan_beam_design,RandomSampler,"Any[14.452604345968343, 0.0011115643789723604]"
weldan_beam_design,RandomSampler,"Any[2.4430996448736177, 0.007630512754245032]"
weldan_beam_design,RandomSampler,"Any[1.761211833958498, 0.011430069481026626]"
weldan_beam_design,RandomSampler,"Any[13.631247385885702, 0.0011842548671327604]"
weldan_beam_design,RandomSampler,"Any[13.30324154894699, 0.001207659349006531]"
weldan_beam_design,RandomSampler,"Any[12.817367342498622, 0.0012539706316404818]"
weldan_beam_design,RandomSampler,"Any[12.695342422032523, 0.0012713181508298877]"
weldan_beam_design,RandomSampler,"Any[2.5176070119281606, 0.007385097644597301]"
weldan_beam_design,RandomSampler,"Any[2.5270308123420717, 0.007354570876908919]"
weldan_beam_design,RandomSampler,"Any[12.361428249050169, 0.0013028999532602862]"
weldan_beam_design,RandomSampler,"Any[1.6543110796261018, 0.012475488290151528]"
weldan_beam_design,RandomSampler,"Any[2.563527646417331, 0.007250245643147698]"
weldan_beam_design,RandomSampler,"Any[11.659837021886089, 0.0013844865518415738]"
weldan_beam_design,RandomSampler,"Any[1.6633807919255057, 0.012415124452309547]"
weldan_beam_design,RandomSampler,"Any[11.348015566715592, 0.0014265256386065029]"
weldan_beam_design,RandomSampler,"Any[11.288024871010045, 0.00143246196596487]"
weldan_beam_design,RandomSampler,"Any[11.10695992497691, 0.001457233078164805]"
weldan_beam_design,RandomSampler,"Any[2.6125510717202918, 0.0070921270056546]"
weldan_beam_design,RandomSampler,"Any[10.967593464750344, 0.00147655276983383]"
weldan_beam_design,RandomSampler,"Any[10.852787872966491, 0.0014932545156094985]"
weldan_beam_design,RandomSampler,"Any[10.72941628478275, 0.0015101956993263548]"
weldan_beam_design,RandomSampler,"Any[2.639346010576671, 0.00698647297298419]"
weldan_beam_design,RandomSampler,"Any[1.7545035333885772, 0.011525374659329944]"
weldan_beam_design,RandomSampler,"Any[10.623367770732447, 0.0015258372977636602]"
weldan_beam_design,RandomSampler,"Any[2.7006869346000473, 0.006871838622128538]"
weldan_beam_design,RandomSampler,"Any[2.705283107819442, 0.006784138740401028]"
weldan_beam_design,RandomSampler,"Any[2.7071756521209838, 0.006778828734106614]"
weldan_beam_design,RandomSampler,"Any[2.7117310045774445, 0.006695763434517997]"
weldan_beam_design,RandomSampler,"Any[10.29949650572902, 0.0015793987152504753]"
weldan_beam_design,RandomSampler,"Any[10.212887469250186, 0.0016027432290445665]"
