algorithm_name,sampler,solutions
weldan_beam_design,TPESampler,"Any[1.6366633402648059, 0.013241496706224206]"
weldan_beam_design,TPESampler,"Any[35.41847744344663, 0.00043904]"
weldan_beam_design,TPESampler,"Any[4.985386134275428, 0.0034176212727232143]"
weldan_beam_design,TPESampler,"Any[1.6529465985539034, 0.012440436083870068]"
weldan_beam_design,TPESampler,"Any[1.6707739674266966, 0.012340360466421453]"
weldan_beam_design,TPESampler,"Any[34.28518855657541, 0.00045277955284414454]"
weldan_beam_design,TPESampler,"Any[1.6742965152978642, 0.01229121145435372]"
weldan_beam_design,TPESampler,"Any[1.6777625180787448, 0.012136330538097751]"
weldan_beam_design,TPESampler,"Any[34.17199614757183, 0.00045599155324199154]"
weldan_beam_design,TPESampler,"Any[1.6891470745980535, 0.012068977942098272]"
weldan_beam_design,TPESampler,"Any[1.6995875677953673, 0.01199793094710857]"
weldan_beam_design,TPESampler,"Any[34.032190339572196, 0.00045790218220592965]"
weldan_beam_design,TPESampler,"Any[1.7211044413796732, 0.011956847037112478]"
weldan_beam_design,TPESampler,"Any[1.7305882568070947, 0.011865265028881621]"
weldan_beam_design,TPESampler,"Any[1.7305882568070947, 0.011865265028881621]"
weldan_beam_design,TPESampler,"Any[1.7386373713893652, 0.011705964547462231]"
weldan_beam_design,TPESampler,"Any[1.7394532183547766, 0.011590890237453404]"
weldan_beam_design,TPESampler,"Any[1.766301175351897, 0.011521724562594217]"
weldan_beam_design,TPESampler,"Any[33.902444287904466, 0.0004580235380884216]"
weldan_beam_design,TPESampler,"Any[1.7759347560919054, 0.011482444408991321]"
weldan_beam_design,TPESampler,"Any[1.7863568103700258, 0.011276218576197341]"
weldan_beam_design,TPESampler,"Any[33.21709799158594, 0.00046882766986873465]"
weldan_beam_design,TPESampler,"Any[1.8006735455046021, 0.011222971174923192]"
weldan_beam_design,TPESampler,"Any[33.08178508897075, 0.0004700680635571486]"
weldan_beam_design,TPESampler,"Any[32.799267653167895, 0.0004747157996099177]"
weldan_beam_design,TPESampler,"Any[32.57970099033621, 0.00047804779901584524]"
weldan_beam_design,TPESampler,"Any[1.8116151489975003, 0.01110871145051457]"
weldan_beam_design,TPESampler,"Any[1.813146092705966, 0.01093972881815969]"
weldan_beam_design,TPESampler,"Any[32.40393832714704, 0.0004797746026670279]"
weldan_beam_design,TPESampler,"Any[1.8267572389549989, 0.01085983655288117]"
weldan_beam_design,TPESampler,"Any[1.8512868208525246, 0.010704884348150987]"
weldan_beam_design,TPESampler,"Any[1.8579535610482907, 0.010673188833606934]"
weldan_beam_design,TPESampler,"Any[1.872436661942615, 0.01061904891338453]"
weldan_beam_design,TPESampler,"Any[1.8797042894618512, 0.010534337480482912]"
