algorithm_name,sampler,solutions
disc_brake_design,RandomSampler,"Any[1.2811427613434947, 3.0136215302043396]"
disc_brake_design,RandomSampler,"Any[5.3067, 1.139072039072039]"
disc_brake_design,RandomSampler,"Any[1.5193225639579122, 2.548861816847714]"
disc_brake_design,RandomSampler,"Any[5.071067495725416, 1.1466564020163215]"
disc_brake_design,RandomSampler,"Any[4.594682254789367, 1.1625283394001567]"
disc_brake_design,RandomSampler,"Any[4.516601801705481, 1.165204150581067]"
disc_brake_design,RandomSampler,"Any[1.293675188647294, 2.98796385632617]"
disc_brake_design,RandomSampler,"Any[1.2996286801580792, 2.975186059317182]"
disc_brake_design,RandomSampler,"Any[4.40501372203043, 1.1690374062426465]"
disc_brake_design,RandomSampler,"Any[4.339844085783089, 1.1712582497480264]"
disc_brake_design,RandomSampler,"Any[4.191442887049801, 1.1764613459042619]"
disc_brake_design,RandomSampler,"Any[3.976944594377073, 1.1841301080152165]"
disc_brake_design,RandomSampler,"Any[3.940528404488527, 1.1854374494683562]"
disc_brake_design,RandomSampler,"Any[3.883266767949797, 1.187507905636965]"
disc_brake_design,RandomSampler,"Any[3.7817893394800226, 1.191225436379621]"
disc_brake_design,RandomSampler,"Any[3.7615354378384076, 1.1919712652125563]"
disc_brake_design,RandomSampler,"Any[3.732596313424192, 1.1930754662949545]"
disc_brake_design,RandomSampler,"Any[3.7153551660367827, 1.1936820467443563]"
disc_brake_design,RandomSampler,"Any[3.6909555319886134, 1.194572794334614]"
disc_brake_design,RandomSampler,"Any[3.6086525848029565, 1.197645272769836]"
disc_brake_design,RandomSampler,"Any[3.0715866640706957, 1.3123286316471257]"
disc_brake_design,RandomSampler,"Any[2.9871667802695487, 1.3474826669732534]"
disc_brake_design,RandomSampler,"Any[2.9767024527375114, 1.355305501527387]"
disc_brake_design,RandomSampler,"Any[2.964041096942144, 1.3596598476231663]"
disc_brake_design,RandomSampler,"Any[2.9420892064340354, 1.3662932484162786]"
disc_brake_design,RandomSampler,"Any[1.3369498416865988, 2.888479307137959]"
disc_brake_design,RandomSampler,"Any[2.9254380997867573, 1.3745104430616857]"
disc_brake_design,RandomSampler,"Any[2.8897037712440046, 1.3897611941971442]"
disc_brake_design,RandomSampler,"Any[2.8189100587773304, 1.4224564223446547]"
disc_brake_design,RandomSampler,"Any[2.628480148537753, 1.5187391791625418]"
disc_brake_design,RandomSampler,"Any[2.6193621341238233, 1.5268386319767389]"
disc_brake_design,RandomSampler,"Any[2.6039208051915397, 1.5322719676531298]"
disc_brake_design,RandomSampler,"Any[2.564089470742198, 1.5594797722778948]"
disc_brake_design,RandomSampler,"Any[2.545915397006902, 1.5668771764712381]"
disc_brake_design,RandomSampler,"Any[2.536184650356807, 1.5704342230954444]"
disc_brake_design,RandomSampler,"Any[1.3658427887448548, 2.8338410948510555]"
disc_brake_design,RandomSampler,"Any[1.370643010364803, 2.823867646398521]"
disc_brake_design,RandomSampler,"Any[2.5230405967683582, 1.5809227347553791]"
disc_brake_design,RandomSampler,"Any[2.4802497528226133, 1.603468418727356]"
disc_brake_design,RandomSampler,"Any[2.4247248291331696, 1.6444443555710058]"
disc_brake_design,RandomSampler,"Any[1.3834265002857478, 2.8016806610943905]"
disc_brake_design,RandomSampler,"Any[2.384273651141329, 1.6678656006435975]"
disc_brake_design,RandomSampler,"Any[2.372993128265528, 1.6716000252374248]"
disc_brake_design,RandomSampler,"Any[2.3631265003263295, 1.6776793939466919]"
disc_brake_design,RandomSampler,"Any[2.2056896720868617, 1.7951424990084845]"
disc_brake_design,RandomSampler,"Any[2.1887452064120976, 1.8028816515537298]"
disc_brake_design,RandomSampler,"Any[2.126420687653672, 1.8540281235352476]"
disc_brake_design,RandomSampler,"Any[1.4050098686386008, 2.7611829277200983]"
disc_brake_design,RandomSampler,"Any[2.0983131792018255, 1.8727814317182312]"
disc_brake_design,RandomSampler,"Any[2.0051446062584746, 1.9528177885600095]"
disc_brake_design,RandomSampler,"Any[1.9975053031284005, 1.96073529339025]"
disc_brake_design,RandomSampler,"Any[1.9621946826351717, 1.994129532441063]"
disc_brake_design,RandomSampler,"Any[1.9345811055686075, 2.018221418241607]"
disc_brake_design,RandomSampler,"Any[1.9227708239847394, 2.029530749991405]"
disc_brake_design,RandomSampler,"Any[1.9005730246258525, 2.0515252091618317]"
disc_brake_design,RandomSampler,"Any[1.8887466662728798, 2.0639416956499788]"
disc_brake_design,RandomSampler,"Any[1.4290469878672913, 2.7254306400773958]"
disc_brake_design,RandomSampler,"Any[1.4303411882517838, 2.701751315180302]"
disc_brake_design,RandomSampler,"Any[1.8393836450396222, 2.1133241891473866]"
disc_brake_design,RandomSampler,"Any[1.8296613919809355, 2.123569242850716]"
disc_brake_design,RandomSampler,"Any[1.8262436367916366, 2.1273723717895097]"
disc_brake_design,RandomSampler,"Any[1.8173518461962548, 2.1380703596516897]"
disc_brake_design,RandomSampler,"Any[1.7660260678142157, 2.1955466039772906]"
disc_brake_design,RandomSampler,"Any[1.6419612440798679, 2.3613205363690324]"
disc_brake_design,RandomSampler,"Any[1.632182619007384, 2.373201971687191]"
disc_brake_design,RandomSampler,"Any[1.590682460828037, 2.4341845066125347]"
disc_brake_design,RandomSampler,"Any[1.5694801233507287, 2.4748480528072703]"
disc_brake_design,RandomSampler,"Any[1.4577176574659096, 2.6528798547209114]"
disc_brake_design,RandomSampler,"Any[1.4666539943033574, 2.642945554649001]"
disc_brake_design,RandomSampler,"Any[1.5268325682212174, 2.537443441972522]"
disc_brake_design,RandomSampler,"Any[2.4695995328429805, 1.6104245603484255]"
disc_brake_design,RandomSampler,"Any[1.952777484923869, 2.0024134172996866]"
disc_brake_design,RandomSampler,"Any[5.293957274398537, 1.139766802285886]"
disc_brake_design,RandomSampler,"Any[5.2146621042299, 1.1420149718364148]"
disc_brake_design,RandomSampler,"Any[5.188091170882358, 1.1432276482846935]"
disc_brake_design,RandomSampler,"Any[5.103257679936819, 1.1456553422234534]"
disc_brake_design,RandomSampler,"Any[5.060312821901656, 1.1470866406845974]"
disc_brake_design,RandomSampler,"Any[1.4938810302003458, 2.5986692119265435]"
disc_brake_design,RandomSampler,"Any[5.036925648221621, 1.1478884162357677]"
disc_brake_design,RandomSampler,"Any[4.919753837033881, 1.1516567500472359]"
disc_brake_design,RandomSampler,"Any[1.499554171302381, 2.580456518205004]"
disc_brake_design,RandomSampler,"Any[1.5034505370206233, 2.5735177743913296]"
disc_brake_design,RandomSampler,"Any[4.902900978636706, 1.1522100056662057]"
disc_brake_design,RandomSampler,"Any[4.8816885248397766, 1.1528789960695707]"
disc_brake_design,RandomSampler,"Any[4.869266567612774, 1.1535981291956514]"
disc_brake_design,RandomSampler,"Any[4.808832619340391, 1.1552902328438408]"
disc_brake_design,RandomSampler,"Any[4.7845994052062, 1.1560979410770689]"
disc_brake_design,RandomSampler,"Any[4.7615819228275535, 1.1568650529261308]"
disc_brake_design,RandomSampler,"Any[4.6579518854744055, 1.1603491026459058]"
disc_brake_design,RandomSampler,"Any[4.621615962649983, 1.1618368425500694]"
disc_brake_design,RandomSampler,"Any[4.531051760368164, 1.1646621049527268]"
disc_brake_design,RandomSampler,"Any[4.4915938662600245, 1.1660221543281635]"
disc_brake_design,RandomSampler,"Any[4.429297769337107, 1.1681981589033197]"
disc_brake_design,RandomSampler,"Any[4.375267007992263, 1.1700680549527813]"
disc_brake_design,RandomSampler,"Any[1.5442114052388567, 2.511139703553871]"
disc_brake_design,RandomSampler,"Any[4.367844103070146, 1.1703104162465143]"
disc_brake_design,RandomSampler,"Any[4.320100731402657, 1.1727499744098455]"
disc_brake_design,RandomSampler,"Any[4.273699595571541, 1.1735686444455289]"
disc_brake_design,RandomSampler,"Any[4.260694401195702, 1.1740267422127129]"
disc_brake_design,RandomSampler,"Any[4.214751598390409, 1.1756872617050014]"
disc_brake_design,RandomSampler,"Any[4.097431219124227, 1.1797961460977107]"
disc_brake_design,RandomSampler,"Any[4.076696344948995, 1.1805401741245005]"
disc_brake_design,RandomSampler,"Any[1.5616949724024185, 2.4854401526160412]"
disc_brake_design,RandomSampler,"Any[1.4558819165579613, 2.6574479550924957]"
disc_brake_design,RandomSampler,"Any[4.05952034674056, 1.1811521178880229]"
disc_brake_design,RandomSampler,"Any[4.0222273401196516, 1.1824857671502467]"
disc_brake_design,RandomSampler,"Any[4.008949958354172, 1.1830044204863306]"
disc_brake_design,RandomSampler,"Any[1.5818178475345508, 2.457500962567359]"
disc_brake_design,RandomSampler,"Any[1.5831543076090215, 2.443699080117555]"
disc_brake_design,RandomSampler,"Any[3.9302582522550407, 1.1858034090248268]"
disc_brake_design,RandomSampler,"Any[1.4505608733791668, 2.6645902735047113]"
disc_brake_design,RandomSampler,"Any[1.5974601173401792, 2.424753580206736]"
disc_brake_design,RandomSampler,"Any[3.815784101327535, 1.189971825907478]"
disc_brake_design,RandomSampler,"Any[1.3189348738867457, 2.935836739393433]"
disc_brake_design,RandomSampler,"Any[1.603386891242639, 2.4152392679583325]"
disc_brake_design,RandomSampler,"Any[1.3227771639558408, 2.9293784143360044]"
disc_brake_design,RandomSampler,"Any[1.324901157867642, 2.9236532523039065]"
disc_brake_design,RandomSampler,"Any[3.635559919684086, 1.1966666156547738]"
disc_brake_design,RandomSampler,"Any[3.5510596527991938, 1.199809485369024]"
disc_brake_design,RandomSampler,"Any[1.6206956836488444, 2.393372996040923]"
disc_brake_design,RandomSampler,"Any[1.6227212984068062, 2.3856533816160383]"
disc_brake_design,RandomSampler,"Any[3.5307979961997793, 1.2005608980669182]"
disc_brake_design,RandomSampler,"Any[3.5062466222275193, 1.201491698313279]"
disc_brake_design,RandomSampler,"Any[3.4130683638088244, 1.205034458467866]"
disc_brake_design,RandomSampler,"Any[3.3750871242958183, 1.2067653249283272]"
disc_brake_design,RandomSampler,"Any[3.325807374833961, 1.219990906972441]"
