algorithm_name,sampler,solutions
disc_brake_design,TPESampler,"Any[1.2759170142509835, 3.0256405759288962]"
disc_brake_design,TPESampler,"Any[5.3066999919302225, 1.139072040717592]"
disc_brake_design,TPESampler,"Any[1.606294334028704, 2.4131210154306735]"
disc_brake_design,TPESampler,"Any[5.148723427228597, 1.1441689008996567]"
disc_brake_design,TPESampler,"Any[4.950516875749195, 1.1506436803574458]"
disc_brake_design,TPESampler,"Any[4.752338704732818, 1.1571787231576054]"
disc_brake_design,TPESampler,"Any[4.720470960997874, 1.158243123012983]"
disc_brake_design,TPESampler,"Any[4.6707000718546405, 1.1599197540220423]"
disc_brake_design,TPESampler,"Any[4.649895276816542, 1.1606280166276424]"
disc_brake_design,TPESampler,"Any[1.2894358466254587, 2.9934965011489623]"
disc_brake_design,TPESampler,"Any[1.2951347813563188, 2.9850899966234006]"
disc_brake_design,TPESampler,"Any[4.612927707503237, 1.1618806893500728]"
disc_brake_design,TPESampler,"Any[4.534716589902742, 1.1645416693244732]"
disc_brake_design,TPESampler,"Any[4.433450137846811, 1.1680191729923446]"
disc_brake_design,TPESampler,"Any[1.306084844140398, 2.9621759865278205]"
disc_brake_design,TPESampler,"Any[4.2040669676013716, 1.1760233286690691]"
disc_brake_design,TPESampler,"Any[4.179756107080608, 1.1768813293258378]"
disc_brake_design,TPESampler,"Any[3.8712570713309113, 1.1879504651491413]"
disc_brake_design,TPESampler,"Any[1.3143317153925649, 2.9422941858957317]"
disc_brake_design,TPESampler,"Any[1.318411136167819, 2.933997494596047]"
disc_brake_design,TPESampler,"Any[1.324062411004645, 2.9259759101858394]"
disc_brake_design,TPESampler,"Any[1.3263957851819432, 2.9189581729213923]"
disc_brake_design,TPESampler,"Any[1.3332137500513543, 2.9090569153716186]"
disc_brake_design,TPESampler,"Any[1.3364049878424795, 2.890375922170728]"
disc_brake_design,TPESampler,"Any[3.8467784751773144, 1.188882828992611]"
disc_brake_design,TPESampler,"Any[3.8145595984099665, 1.1900603516747879]"
disc_brake_design,TPESampler,"Any[3.764935929978627, 1.191841993620597]"
disc_brake_design,TPESampler,"Any[3.662272321844755, 1.19563839657103]"
disc_brake_design,TPESampler,"Any[3.595516635065198, 1.1981388155853008]"
disc_brake_design,TPESampler,"Any[3.519692714030068, 1.2010476231515679]"
disc_brake_design,TPESampler,"Any[3.4929320223808444, 1.2020575775038649]"
disc_brake_design,TPESampler,"Any[3.4839954651485203, 1.2023666263213812]"
disc_brake_design,TPESampler,"Any[1.3535627027169372, 2.859563262434111]"
disc_brake_design,TPESampler,"Any[1.3589724260476184, 2.844869839083419]"
disc_brake_design,TPESampler,"Any[3.4513961361409016, 1.2036011455973257]"
disc_brake_design,TPESampler,"Any[3.331560894565872, 1.214339235283706]"
disc_brake_design,TPESampler,"Any[3.2963006325559308, 1.2268940655038372]"
disc_brake_design,TPESampler,"Any[1.3713948508491487, 2.8214024114608436]"
disc_brake_design,TPESampler,"Any[3.2847123538816057, 1.2311745208749885]"
disc_brake_design,TPESampler,"Any[3.2250627828899185, 1.2527485642656244]"
disc_brake_design,TPESampler,"Any[3.0499923227465744, 1.3202868572489026]"
disc_brake_design,TPESampler,"Any[3.0250456243929404, 1.330636059277446]"
disc_brake_design,TPESampler,"Any[3.0134087894297714, 1.3405193042063788]"
disc_brake_design,TPESampler,"Any[1.3878805681427622, 2.7913435197242005]"
disc_brake_design,TPESampler,"Any[1.391891980976379, 2.7802739243488066]"
disc_brake_design,TPESampler,"Any[1.396468870070109, 2.771466228408957]"
disc_brake_design,TPESampler,"Any[1.4006099906447982, 2.765055023370676]"
disc_brake_design,TPESampler,"Any[2.9643582709096683, 1.356687739998956]"
disc_brake_design,TPESampler,"Any[2.9491139146753134, 1.3634490743470091]"
disc_brake_design,TPESampler,"Any[2.935009388243252, 1.369754292561721]"
disc_brake_design,TPESampler,"Any[1.413253323487918, 2.7428525520183635]"
disc_brake_design,TPESampler,"Any[2.8631049431233784, 1.4017312803315882]"
disc_brake_design,TPESampler,"Any[2.8529988642439394, 1.4065644948417464]"
disc_brake_design,TPESampler,"Any[1.4220669086987134, 2.7262587425856495]"
disc_brake_design,TPESampler,"Any[1.4241023296304012, 2.713525224059218]"
disc_brake_design,TPESampler,"Any[2.835146584527226, 1.4163608232407205]"
disc_brake_design,TPESampler,"Any[2.7981798883181845, 1.4326631358552346]"
disc_brake_design,TPESampler,"Any[2.7859247055565777, 1.4380960716601792]"
disc_brake_design,TPESampler,"Any[2.715210569426629, 1.4745792029574065]"
disc_brake_design,TPESampler,"Any[2.7007833430086463, 1.4807238109092615]"
disc_brake_design,TPESampler,"Any[2.631839706295197, 1.5174379220631748]"
disc_brake_design,TPESampler,"Any[2.624706237083404, 1.5213332832784254]"
disc_brake_design,TPESampler,"Any[2.6032598823431212, 1.5339688789755832]"
disc_brake_design,TPESampler,"Any[2.5904758870849336, 1.540007828120411]"
disc_brake_design,TPESampler,"Any[2.535714110378142, 1.5707157620557166]"
disc_brake_design,TPESampler,"Any[2.523260509566002, 1.5811739145615633]"
disc_brake_design,TPESampler,"Any[2.508773602489412, 1.5865761060004606]"
disc_brake_design,TPESampler,"Any[2.498232265933375, 1.5928539893254943]"
disc_brake_design,TPESampler,"Any[2.4830658934000485, 1.6029986805305179]"
disc_brake_design,TPESampler,"Any[2.475455229697677, 1.6121013014643002]"
disc_brake_design,TPESampler,"Any[2.443987349929692, 1.626028016959209]"
disc_brake_design,TPESampler,"Any[2.438034202110549, 1.631041945918881]"
disc_brake_design,TPESampler,"Any[2.4212518751053578, 1.6435386153386173]"
disc_brake_design,TPESampler,"Any[2.3206967230620053, 1.7062120924823603]"
disc_brake_design,TPESampler,"Any[1.4800325890867794, 2.618941626836254]"
disc_brake_design,TPESampler,"Any[1.4880739832502345, 2.6092021779042898]"
disc_brake_design,TPESampler,"Any[1.4905447349051795, 2.5940183986206757]"
disc_brake_design,TPESampler,"Any[2.3093570603544142, 1.7153415134972338]"
disc_brake_design,TPESampler,"Any[2.2591441588272767, 1.7496564640469507]"
disc_brake_design,TPESampler,"Any[1.501757523269334, 2.5837471636855165]"
disc_brake_design,TPESampler,"Any[1.5064970784073242, 2.5718906603863863]"
disc_brake_design,TPESampler,"Any[2.2508074373183877, 1.7550675519615093]"
disc_brake_design,TPESampler,"Any[2.2370902341343557, 1.7658958697627323]"
disc_brake_design,TPESampler,"Any[2.192090925259701, 1.799843800996291]"
disc_brake_design,TPESampler,"Any[2.180785040668018, 1.8086788363606927]"
disc_brake_design,TPESampler,"Any[1.5219128378512472, 2.5479832396093647]"
disc_brake_design,TPESampler,"Any[2.1292370790066175, 1.8507961550508591]"
disc_brake_design,TPESampler,"Any[2.1147305710191096, 1.8604029629777459]"
disc_brake_design,TPESampler,"Any[1.5313756617967227, 2.533943497336698]"
disc_brake_design,TPESampler,"Any[2.10453570676591, 1.8681524157895575]"
disc_brake_design,TPESampler,"Any[2.092657203163784, 1.8777207809607932]"
disc_brake_design,TPESampler,"Any[2.081227607339472, 1.8881143263360185]"
disc_brake_design,TPESampler,"Any[2.0725449071875306, 1.8942001420252308]"
disc_brake_design,TPESampler,"Any[2.064040885932131, 1.9018094517134068]"
disc_brake_design,TPESampler,"Any[2.046935982940008, 1.9173217198479369]"
disc_brake_design,TPESampler,"Any[2.04030394466014, 1.9235015950382017]"
disc_brake_design,TPESampler,"Any[2.0298193946487735, 1.9310744555819759]"
disc_brake_design,TPESampler,"Any[2.022041885357426, 1.9378553627646713]"
disc_brake_design,TPESampler,"Any[1.950338344770139, 2.003707430356417]"
disc_brake_design,TPESampler,"Any[1.912796465179742, 2.039860760934672]"
disc_brake_design,TPESampler,"Any[1.5699128247815983, 2.4775001532234175]"
disc_brake_design,TPESampler,"Any[1.5768058247015437, 2.4535966124979254]"
disc_brake_design,TPESampler,"Any[1.9023403550895035, 2.0499915980710046]"
disc_brake_design,TPESampler,"Any[1.881103222731417, 2.072828180605382]"
disc_brake_design,TPESampler,"Any[1.7455338327667211, 2.2184652139075807]"
disc_brake_design,TPESampler,"Any[1.7439728360928313, 2.2306520082750336]"
disc_brake_design,TPESampler,"Any[1.7371942364477901, 2.239781406180691]"
disc_brake_design,TPESampler,"Any[1.722764306879137, 2.2548973611471768]"
disc_brake_design,TPESampler,"Any[1.7121007089238216, 2.268820899140169]"
disc_brake_design,TPESampler,"Any[1.6510797826848258, 2.3487805350404187]"
disc_brake_design,TPESampler,"Any[2.531352010614108, 1.5767408153476234]"
disc_brake_design,TPESampler,"Any[2.7786066759316785, 1.4437553288124951]"
disc_brake_design,TPESampler,"Any[1.6079173767631358, 2.4071562916972615]"
disc_brake_design,TPESampler,"Any[5.278463198245711, 1.1399726458009931]"
disc_brake_design,TPESampler,"Any[5.2668634532118235, 1.1408490145668495]"
disc_brake_design,TPESampler,"Any[5.242083234011381, 1.1411358346407778]"
disc_brake_design,TPESampler,"Any[1.6186690196955376, 2.392930510974616]"
disc_brake_design,TPESampler,"Any[5.1981281882339045, 1.1425464161187364]"
disc_brake_design,TPESampler,"Any[1.6245064225294412, 2.385970435427915]"
disc_brake_design,TPESampler,"Any[1.6277181698630172, 2.3805873613079878]"
disc_brake_design,TPESampler,"Any[1.6305579411969564, 2.3760208131782514]"
disc_brake_design,TPESampler,"Any[1.636123569423196, 2.3700056646642564]"
disc_brake_design,TPESampler,"Any[1.6412399123961654, 2.366893321637283]"
disc_brake_design,TPESampler,"Any[5.177289307216289, 1.1432168930898075]"
disc_brake_design,TPESampler,"Any[1.6474470427999026, 2.360156615080733]"
disc_brake_design,TPESampler,"Any[5.177289307216289, 1.1432168930898075]"
disc_brake_design,TPESampler,"Any[5.13030305256366, 1.1447791668986331]"
disc_brake_design,TPESampler,"Any[1.6572660352003072, 2.3416981176604668]"
disc_brake_design,TPESampler,"Any[1.6604855413022193, 2.332981502063939]"
disc_brake_design,TPESampler,"Any[5.110154360740091, 1.145429444753444]"
disc_brake_design,TPESampler,"Any[1.666265720245369, 2.325759466650909]"
disc_brake_design,TPESampler,"Any[1.6701626299325345, 2.32163781607572]"
disc_brake_design,TPESampler,"Any[1.674849115414034, 2.3167551861665028]"
disc_brake_design,TPESampler,"Any[1.6792292622895577, 2.311107094436725]"
disc_brake_design,TPESampler,"Any[5.093839836953715, 1.1459381206582913]"
disc_brake_design,TPESampler,"Any[5.083069160644859, 1.1462999046758622]"
disc_brake_design,TPESampler,"Any[1.6878121471997178, 2.3017237598968867]"
disc_brake_design,TPESampler,"Any[1.6895865136175099, 2.296130944979743]"
disc_brake_design,TPESampler,"Any[5.063852276149885, 1.146924827351996]"
disc_brake_design,TPESampler,"Any[5.050388927803792, 1.1473608627626113]"
disc_brake_design,TPESampler,"Any[1.6972052554569725, 2.2869562752257573]"
disc_brake_design,TPESampler,"Any[5.006903815442211, 1.1488238088960052]"
disc_brake_design,TPESampler,"Any[4.989885608613026, 1.1493413648185666]"
disc_brake_design,TPESampler,"Any[4.9680315401154225, 1.1500778597662078]"
disc_brake_design,TPESampler,"Any[1.7077367803158814, 2.277344961978739]"
disc_brake_design,TPESampler,"Any[1.710596460091231, 2.270636712220203]"
disc_brake_design,TPESampler,"Any[4.927707601081467, 1.1513485671385322]"
disc_brake_design,TPESampler,"Any[1.5952871657653342, 2.4277807298430427]"
disc_brake_design,TPESampler,"Any[4.925797655194107, 1.151416669827508]"
disc_brake_design,TPESampler,"Any[1.7271623199295116, 2.249426643521386]"
disc_brake_design,TPESampler,"Any[1.7354008441402684, 2.2465909153348176]"
disc_brake_design,TPESampler,"Any[1.5887132200375873, 2.436919995400291]"
disc_brake_design,TPESampler,"Any[4.90592674898196, 1.1520756332550648]"
disc_brake_design,TPESampler,"Any[4.872993204855586, 1.1532082929726442]"
disc_brake_design,TPESampler,"Any[1.7494785066974703, 2.213833084541973]"
disc_brake_design,TPESampler,"Any[1.7539864988577327, 2.2107145365224286]"
disc_brake_design,TPESampler,"Any[1.7588738870532012, 2.202671196832384]"
disc_brake_design,TPESampler,"Any[4.8290460864713545, 1.1547936492963882]"
disc_brake_design,TPESampler,"Any[4.807989775481941, 1.1553232972678151]"
disc_brake_design,TPESampler,"Any[1.765012561343009, 2.195834884004149]"
disc_brake_design,TPESampler,"Any[1.772213670576456, 2.18782117489374]"
disc_brake_design,TPESampler,"Any[4.792847857271086, 1.1558830102149782]"
disc_brake_design,TPESampler,"Any[4.779121873388181, 1.1562938872616895]"
disc_brake_design,TPESampler,"Any[4.768149432821389, 1.1566596645620768]"
disc_brake_design,TPESampler,"Any[1.7813786535483624, 2.1760751812411887]"
disc_brake_design,TPESampler,"Any[1.7887970966256619, 2.169027478289485]"
disc_brake_design,TPESampler,"Any[4.718565204950638, 1.1583071396392755]"
disc_brake_design,TPESampler,"Any[1.7949880301026238, 2.16342197505056]"
disc_brake_design,TPESampler,"Any[1.8000520092493881, 2.1571417306579663]"
disc_brake_design,TPESampler,"Any[1.8028873327780146, 2.1535701074533007]"
disc_brake_design,TPESampler,"Any[1.8084979569714037, 2.150707002894436]"
disc_brake_design,TPESampler,"Any[1.8107033057271362, 2.144081876674603]"
disc_brake_design,TPESampler,"Any[1.8165909356718288, 2.139194555003596]"
disc_brake_design,TPESampler,"Any[4.69723291069821, 1.1590311343772621]"
disc_brake_design,TPESampler,"Any[1.820801262073147, 2.133137037562606]"
disc_brake_design,TPESampler,"Any[1.8267473512861157, 2.1273568013973585]"
disc_brake_design,TPESampler,"Any[1.8290545004313512, 2.1259558890388055]"
disc_brake_design,TPESampler,"Any[1.8363592126784967, 2.1163916541063412]"
disc_brake_design,TPESampler,"Any[4.690900854129691, 1.1592377932561344]"
disc_brake_design,TPESampler,"Any[1.8399729985377604, 2.1134556708790777]"
disc_brake_design,TPESampler,"Any[1.8447533318267593, 2.108034641948087]"
disc_brake_design,TPESampler,"Any[1.2869201920194504, 2.999967589728308]"
disc_brake_design,TPESampler,"Any[1.2970004242948348, 2.9781507825539593]"
disc_brake_design,TPESampler,"Any[1.8507781984385603, 2.1026313537321424]"
disc_brake_design,TPESampler,"Any[1.8570543726084376, 2.0952638563234123]"
disc_brake_design,TPESampler,"Any[4.601306871347615, 1.1622693294878503]"
disc_brake_design,TPESampler,"Any[4.591937182462888, 1.1625882238213365]"
disc_brake_design,TPESampler,"Any[1.862934767396995, 2.089135631418523]"
disc_brake_design,TPESampler,"Any[1.8706144665693436, 2.0823314384671634]"
disc_brake_design,TPESampler,"Any[1.8736910765729624, 2.078850719901493]"
disc_brake_design,TPESampler,"Any[4.580763218707776, 1.1633366748162108]"
disc_brake_design,TPESampler,"Any[1.8871215116399576, 2.0659304395806837]"
disc_brake_design,TPESampler,"Any[1.890590324459975, 2.061925801398231]"
disc_brake_design,TPESampler,"Any[1.894117339068896, 2.058245967610844]"
disc_brake_design,TPESampler,"Any[1.9006239885370269, 2.0516414267855536]"
disc_brake_design,TPESampler,"Any[1.5828137611993038, 2.452369939307652]"
disc_brake_design,TPESampler,"Any[4.569585061210016, 1.1633473965832097]"
disc_brake_design,TPESampler,"Any[1.9177569434992305, 2.0352076561217882]"
disc_brake_design,TPESampler,"Any[1.3024985790216272, 2.972675045974459]"
disc_brake_design,TPESampler,"Any[1.9245087882766951, 2.028070774786946]"
disc_brake_design,TPESampler,"Any[1.9293777801802405, 2.023987720393676]"
disc_brake_design,TPESampler,"Any[1.9335948584524425, 2.0194554723598532]"
disc_brake_design,TPESampler,"Any[1.9395790155400996, 2.0137441130410982]"
disc_brake_design,TPESampler,"Any[4.518551228376416, 1.1650939591188545]"
disc_brake_design,TPESampler,"Any[1.9462457625597924, 2.007417949912756]"
disc_brake_design,TPESampler,"Any[1.5670179270731652, 2.4862097285946314]"
disc_brake_design,TPESampler,"Any[1.9611008716230498, 1.998028349092317]"
disc_brake_design,TPESampler,"Any[4.503532086288328, 1.1656424181958864]"
disc_brake_design,TPESampler,"Any[4.48045331872932, 1.1663982269195519]"
disc_brake_design,TPESampler,"Any[1.9645901184498236, 1.9903862261642107]"
disc_brake_design,TPESampler,"Any[1.97235522052615, 1.9835513341828352]"
disc_brake_design,TPESampler,"Any[4.464083781079371, 1.167041164344534]"
disc_brake_design,TPESampler,"Any[4.452075467006871, 1.1673857993006385]"
disc_brake_design,TPESampler,"Any[1.9775056437063545, 1.978313283781484]"
disc_brake_design,TPESampler,"Any[1.3032160492300287, 2.9700867252373992]"
disc_brake_design,TPESampler,"Any[4.417545906397505, 1.1685681184138346]"
disc_brake_design,TPESampler,"Any[4.403514277383828, 1.1690871918073025]"
disc_brake_design,TPESampler,"Any[4.3954279657086275, 1.169706082096773]"
disc_brake_design,TPESampler,"Any[1.9916778668688555, 1.9651211459258673]"
disc_brake_design,TPESampler,"Any[1.9998428065884182, 1.9587465853415262]"
disc_brake_design,TPESampler,"Any[2.0002878045914136, 1.9581145293210915]"
disc_brake_design,TPESampler,"Any[2.0081871257398376, 1.9516005371067553]"
disc_brake_design,TPESampler,"Any[4.374537077323309, 1.1700761637850159]"
disc_brake_design,TPESampler,"Any[4.334495297771553, 1.171454173661197]"
disc_brake_design,TPESampler,"Any[2.017309662933515, 1.942390050302396]"
disc_brake_design,TPESampler,"Any[1.5606048740823164, 2.488535568196486]"
disc_brake_design,TPESampler,"Any[1.5598174597007892, 2.4950476424420756]"
disc_brake_design,TPESampler,"Any[1.5538407562984227, 2.500882885524178]"
disc_brake_design,TPESampler,"Any[4.317352366760337, 1.1720636710569992]"
disc_brake_design,TPESampler,"Any[2.052896485993144, 1.9125551271656143]"
disc_brake_design,TPESampler,"Any[2.056020239947717, 1.909907166448208]"
disc_brake_design,TPESampler,"Any[2.0603557577821148, 1.9053840459418]"
disc_brake_design,TPESampler,"Any[1.548580732903414, 2.5086308049680732]"
disc_brake_design,TPESampler,"Any[4.312099967303678, 1.172238706997285]"
