algorithm_name,sampler,solutions
speed_reducer_design,TPESampler,"Any[2951.1436788060123, 1297.4533531611228]"
speed_reducer_design,TPESampler,"Any[5899.918150613454, 694.7221167367352]"
speed_reducer_design,TPESampler,"Any[3154.9981899261393, 713.2039187571331]"
speed_reducer_design,TPESampler,"Any[2952.5927351578007, 1292.491823696754]"
speed_reducer_design,TPESampler,"Any[2952.7578866585177, 1289.8089896378297]"
speed_reducer_design,TPESampler,"Any[5895.049403899041, 694.724026891919]"
speed_reducer_design,TPESampler,"Any[2953.1692293947153, 1287.5493780744582]"
speed_reducer_design,TPESampler,"Any[2953.7549251336472, 1283.6121714006263]"
speed_reducer_design,TPESampler,"Any[2953.769701169539, 1283.61209816165]"
speed_reducer_design,TPESampler,"Any[2954.253973615526, 1280.8412845501705]"
speed_reducer_design,TPESampler,"Any[5873.879910884111, 694.7313493288768]"
speed_reducer_design,TPESampler,"Any[5873.879910884111, 694.7313493288768]"
speed_reducer_design,TPESampler,"Any[2954.882132566821, 1279.4024663525322]"
speed_reducer_design,TPESampler,"Any[2955.0096949142767, 1277.8387574474532]"
speed_reducer_design,TPESampler,"Any[2955.212190909578, 1276.7843604384782]"
speed_reducer_design,TPESampler,"Any[2955.7893868488345, 1275.3330220089176]"
speed_reducer_design,TPESampler,"Any[2956.145543607849, 1271.770589920105]"
speed_reducer_design,TPESampler,"Any[5841.905646336798, 694.7441200399192]"
speed_reducer_design,TPESampler,"Any[2956.427704448157, 1269.6272906957743]"
speed_reducer_design,TPESampler,"Any[5811.286858596752, 694.7487255280265]"
speed_reducer_design,TPESampler,"Any[2957.107848104127, 1268.4879311732486]"
speed_reducer_design,TPESampler,"Any[2957.6923056905284, 1265.5491894327706]"
speed_reducer_design,TPESampler,"Any[5810.987393627748, 694.7488234784099]"
speed_reducer_design,TPESampler,"Any[5786.577702550126, 694.7549805293427]"
speed_reducer_design,TPESampler,"Any[2957.9333557460577, 1263.3617153999617]"
speed_reducer_design,TPESampler,"Any[2958.289577701398, 1260.5413297141868]"
speed_reducer_design,TPESampler,"Any[5763.215889757949, 694.758773831453]"
speed_reducer_design,TPESampler,"Any[5757.8825004340715, 694.766967669205]"
speed_reducer_design,TPESampler,"Any[2958.7147826184673, 1258.8130589244297]"
speed_reducer_design,TPESampler,"Any[5721.181646654646, 694.7824513803292]"
speed_reducer_design,TPESampler,"Any[2958.8200980780916, 1257.5104490610076]"
speed_reducer_design,TPESampler,"Any[2959.854410526996, 1254.3279046228463]"
speed_reducer_design,TPESampler,"Any[5710.370397232151, 694.7868333684984]"
speed_reducer_design,TPESampler,"Any[2959.928310727308, 1252.198523376606]"
speed_reducer_design,TPESampler,"Any[2960.894651064154, 1248.4725600020984]"
speed_reducer_design,TPESampler,"Any[2961.195707562795, 1246.7326220796197]"
speed_reducer_design,TPESampler,"Any[2961.538122118006, 1245.2351144309775]"
speed_reducer_design,TPESampler,"Any[2961.7061052012236, 1244.0587267492028]"
speed_reducer_design,TPESampler,"Any[2962.057863037443, 1242.3232295311343]"
speed_reducer_design,TPESampler,"Any[2962.655945890227, 1240.7409047038138]"
speed_reducer_design,TPESampler,"Any[2962.8114725839278, 1238.006162569317]"
speed_reducer_design,TPESampler,"Any[5680.695697224994, 694.7874256778085]"
speed_reducer_design,TPESampler,"Any[2963.216390548394, 1235.8599335936935]"
speed_reducer_design,TPESampler,"Any[5671.1029455218995, 694.7933047693339]"
speed_reducer_design,TPESampler,"Any[2963.9682672263284, 1234.7079476456786]"
speed_reducer_design,TPESampler,"Any[2963.9882522794032, 1232.1440844739036]"
speed_reducer_design,TPESampler,"Any[5646.990448999455, 694.7935871670445]"
speed_reducer_design,TPESampler,"Any[5639.781927073817, 694.795190680639]"
speed_reducer_design,TPESampler,"Any[2964.7348543534526, 1229.798484986028]"
speed_reducer_design,TPESampler,"Any[2965.127028552129, 1227.4371997686317]"
speed_reducer_design,TPESampler,"Any[5616.841551583237, 694.802929987889]"
speed_reducer_design,TPESampler,"Any[2965.7017490671997, 1225.2836745944312]"
speed_reducer_design,TPESampler,"Any[2966.468530368975, 1220.9745530333325]"
speed_reducer_design,TPESampler,"Any[5607.376160117137, 694.8527478950583]"
speed_reducer_design,TPESampler,"Any[2966.826276245086, 1218.8195830170457]"
speed_reducer_design,TPESampler,"Any[5588.430101443322, 694.8593187151015]"
speed_reducer_design,TPESampler,"Any[2967.316901388128, 1216.570773265005]"
speed_reducer_design,TPESampler,"Any[2967.569928419844, 1215.4912612513106]"
speed_reducer_design,TPESampler,"Any[2967.928744039806, 1213.4491635355198]"
speed_reducer_design,TPESampler,"Any[2968.4394172479306, 1212.2485350835786]"
speed_reducer_design,TPESampler,"Any[2969.084902143934, 1210.6051987470219]"
speed_reducer_design,TPESampler,"Any[2969.285508398628, 1208.2767680085597]"
speed_reducer_design,TPESampler,"Any[5588.218248821428, 694.8593286081589]"
speed_reducer_design,TPESampler,"Any[5558.499778894177, 694.8663756707224]"
speed_reducer_design,TPESampler,"Any[5555.276109546644, 694.8788811661375]"
speed_reducer_design,TPESampler,"Any[5531.860871429573, 694.8859981919506]"
speed_reducer_design,TPESampler,"Any[5503.009052935305, 694.8861550839205]"
speed_reducer_design,TPESampler,"Any[5491.901186255816, 694.8898507245246]"
speed_reducer_design,TPESampler,"Any[2970.6085711321725, 1201.4960440718357]"
speed_reducer_design,TPESampler,"Any[2970.863562590321, 1200.8682407050746]"
speed_reducer_design,TPESampler,"Any[2971.176390501868, 1198.8152207897037]"
speed_reducer_design,TPESampler,"Any[2971.5725676909083, 1197.0913898600584]"
speed_reducer_design,TPESampler,"Any[2971.966274239934, 1195.2564559301525]"
speed_reducer_design,TPESampler,"Any[2972.4812880142777, 1193.498344544182]"
speed_reducer_design,TPESampler,"Any[5475.637907583422, 694.902560562291]"
speed_reducer_design,TPESampler,"Any[2973.3946300734415, 1191.1007857934912]"
speed_reducer_design,TPESampler,"Any[2973.760884442967, 1186.6882432060756]"
speed_reducer_design,TPESampler,"Any[2974.112663063159, 1186.2724961356312]"
speed_reducer_design,TPESampler,"Any[2974.2404670893334, 1184.105877593429]"
speed_reducer_design,TPESampler,"Any[2974.5174108156684, 1183.381754738187]"
speed_reducer_design,TPESampler,"Any[2975.2131127931793, 1180.5099451485282]"
speed_reducer_design,TPESampler,"Any[2975.6224143063323, 1180.509894043953]"
speed_reducer_design,TPESampler,"Any[2976.070387227687, 1177.348811935318]"
speed_reducer_design,TPESampler,"Any[2976.203661995537, 1176.9146409947089]"
speed_reducer_design,TPESampler,"Any[5475.637907583422, 694.902560562291]"
speed_reducer_design,TPESampler,"Any[5433.533470329128, 694.9064020829181]"
speed_reducer_design,TPESampler,"Any[2976.865004944676, 1172.783873168796]"
speed_reducer_design,TPESampler,"Any[2977.114748771542, 1171.8847702140097]"
speed_reducer_design,TPESampler,"Any[5428.452528117194, 694.9117382714347]"
speed_reducer_design,TPESampler,"Any[2977.956205693025, 1169.5095368175703]"
speed_reducer_design,TPESampler,"Any[2978.232591371313, 1167.1268284943526]"
speed_reducer_design,TPESampler,"Any[2979.435738902645, 1161.4095053593603]"
speed_reducer_design,TPESampler,"Any[5415.962333568305, 694.9157990340614]"
speed_reducer_design,TPESampler,"Any[5391.408633505954, 694.9210803333456]"
speed_reducer_design,TPESampler,"Any[2979.9263873406303, 1160.4130726269952]"
speed_reducer_design,TPESampler,"Any[2980.546304087249, 1156.7832719748537]"
speed_reducer_design,TPESampler,"Any[2980.9344392571898, 1156.233340888353]"
speed_reducer_design,TPESampler,"Any[2981.148458005161, 1154.1495963059306]"
speed_reducer_design,TPESampler,"Any[2981.654877074013, 1152.464587754074]"
speed_reducer_design,TPESampler,"Any[2981.993124330242, 1151.0227219367537]"
speed_reducer_design,TPESampler,"Any[2982.466662923333, 1149.0989264697089]"
speed_reducer_design,TPESampler,"Any[2982.9440117364543, 1146.5017153503804]"
speed_reducer_design,TPESampler,"Any[2983.2519080281286, 1145.037564601036]"
speed_reducer_design,TPESampler,"Any[2984.06011211883, 1143.1766783305773]"
speed_reducer_design,TPESampler,"Any[2984.472466842714, 1140.4513306861074]"
speed_reducer_design,TPESampler,"Any[5368.159597019319, 694.9329063447894]"
