algorithm_name,sampler,solutions
gear_train_design,RandomSampler,"Any[5.486464285731074e-5, 31.00512471063253]"
gear_train_design,RandomSampler,"Any[3.461144183709927, 21.443276908338532]"
gear_train_design,RandomSampler,"Any[1.0609741365178076, 27.88862968883003]"
gear_train_design,RandomSampler,"Any[8.773689373153815e-5, 30.482851284495858]"
gear_train_design,RandomSampler,"Any[0.000373937312795114, 30.315960074505035]"
gear_train_design,RandomSampler,"Any[0.009810827135859235, 30.282997118438104]"
gear_train_design,RandomSampler,"Any[0.023784519545001714, 30.262721954783135]"
gear_train_design,RandomSampler,"Any[3.404124729318621, 21.620633325233417]"
gear_train_design,RandomSampler,"Any[3.396132465788279, 21.651502465770122]"
gear_train_design,RandomSampler,"Any[3.3825945748159314, 21.685920696317556]"
gear_train_design,RandomSampler,"Any[3.3744833160017116, 21.71449214783327]"
gear_train_design,RandomSampler,"Any[3.3664962320388794, 21.742357769723984]"
gear_train_design,RandomSampler,"Any[3.355872712672677, 21.7652568344869]"
gear_train_design,RandomSampler,"Any[0.06972759130633399, 30.15114034771901]"
gear_train_design,RandomSampler,"Any[0.0809545004722878, 30.148378125382507]"
gear_train_design,RandomSampler,"Any[0.09018265205650877, 30.12340036762263]"
gear_train_design,RandomSampler,"Any[3.3476357052683587, 21.797854563638133]"
gear_train_design,RandomSampler,"Any[3.336298195589743, 21.830413302474717]"
gear_train_design,RandomSampler,"Any[3.3311242127022607, 21.865759441255687]"
gear_train_design,RandomSampler,"Any[3.301896410769178, 21.93662708690175]"
gear_train_design,RandomSampler,"Any[3.283689431185449, 21.991999187333445]"
gear_train_design,RandomSampler,"Any[3.2747811210977993, 22.01007422630974]"
gear_train_design,RandomSampler,"Any[3.2639477386324796, 22.043753853916375]"
gear_train_design,RandomSampler,"Any[3.238044958818461, 22.131751587464095]"
gear_train_design,RandomSampler,"Any[3.209880883981618, 22.204500762320087]"
gear_train_design,RandomSampler,"Any[3.198482329278226, 22.243048027542905]"
gear_train_design,RandomSampler,"Any[0.1468142631534164, 29.986375245780614]"
gear_train_design,RandomSampler,"Any[0.16027332200953115, 29.950466107425438]"
gear_train_design,RandomSampler,"Any[3.171854191220108, 22.331445842408012]"
gear_train_design,RandomSampler,"Any[3.15520053344946, 22.373742555406796]"
gear_train_design,RandomSampler,"Any[3.1451728243155017, 22.417476528782853]"
gear_train_design,RandomSampler,"Any[3.1315336415959196, 22.447045720032474]"
gear_train_design,RandomSampler,"Any[3.093876552542278, 22.56288787442205]"
gear_train_design,RandomSampler,"Any[3.0787885925071277, 22.599013481708052]"
gear_train_design,RandomSampler,"Any[0.20297004423051135, 29.860495156663355]"
gear_train_design,RandomSampler,"Any[3.054266675314148, 22.683739716626086]"
gear_train_design,RandomSampler,"Any[3.0269179080572135, 22.755361885017102]"
gear_train_design,RandomSampler,"Any[3.01168790439114, 22.793902070378152]"
gear_train_design,RandomSampler,"Any[2.9564851166653527, 22.966381713082466]"
gear_train_design,RandomSampler,"Any[2.943457059419218, 22.988842705671008]"
gear_train_design,RandomSampler,"Any[2.894609567055518, 23.142447939470916]"
gear_train_design,RandomSampler,"Any[2.874492482322797, 23.183476172129534]"
gear_train_design,RandomSampler,"Any[0.24838587272772994, 29.760045184619244]"
gear_train_design,RandomSampler,"Any[0.2615318161971505, 29.72863362229503]"
gear_train_design,RandomSampler,"Any[2.8631461528998416, 23.22285259747644]"
gear_train_design,RandomSampler,"Any[2.8376151592439935, 23.290625590118005]"
gear_train_design,RandomSampler,"Any[2.826363167955572, 23.334556129970107]"
gear_train_design,RandomSampler,"Any[2.8001115185399827, 23.39843995781097]"
gear_train_design,RandomSampler,"Any[2.7884134883323464, 23.42989378574496]"
gear_train_design,RandomSampler,"Any[0.2941659602073319, 29.654615138789634]"
gear_train_design,RandomSampler,"Any[0.3080697484334616, 29.650501261078468]"
gear_train_design,RandomSampler,"Any[0.31181074706109335, 29.615950552361145]"
gear_train_design,RandomSampler,"Any[2.7651067589205587, 23.502796571232036]"
gear_train_design,RandomSampler,"Any[2.747588929751352, 23.56429193754914]"
gear_train_design,RandomSampler,"Any[2.738602658032062, 23.593386098313733]"
gear_train_design,RandomSampler,"Any[2.6961683603925133, 23.688887390414827]"
gear_train_design,RandomSampler,"Any[0.3466799041529045, 29.54078399159714]"
gear_train_design,RandomSampler,"Any[0.36065944313214615, 29.52406868463184]"
gear_train_design,RandomSampler,"Any[0.3677112864264416, 29.492742726724853]"
gear_train_design,RandomSampler,"Any[2.687845919057848, 23.72866443163729]"
gear_train_design,RandomSampler,"Any[2.67757718020932, 23.740009681484107]"
gear_train_design,RandomSampler,"Any[2.6508509083007414, 23.816102798974992]"
gear_train_design,RandomSampler,"Any[2.6448211196413753, 23.842062799988483]"
gear_train_design,RandomSampler,"Any[0.403704338322755, 29.412630219694975]"
gear_train_design,RandomSampler,"Any[0.41044753481963614, 29.392882230633088]"
gear_train_design,RandomSampler,"Any[2.6197538346433085, 23.952801397233856]"
gear_train_design,RandomSampler,"Any[2.568574457880879, 24.04670095694213]"
gear_train_design,RandomSampler,"Any[2.5488245492341886, 24.115800558608388]"
gear_train_design,RandomSampler,"Any[2.5166377170405685, 24.194848692253046]"
gear_train_design,RandomSampler,"Any[2.5001826766343775, 24.231264993699916]"
gear_train_design,RandomSampler,"Any[2.4770865213108113, 24.30394615467964]"
gear_train_design,RandomSampler,"Any[2.466131267265559, 24.329206266870564]"
gear_train_design,RandomSampler,"Any[2.38752004501118, 24.53635402914477]"
gear_train_design,RandomSampler,"Any[0.45794367409435655, 29.285404507668694]"
gear_train_design,RandomSampler,"Any[2.3831851297047297, 24.575508263737884]"
gear_train_design,RandomSampler,"Any[2.3567076279039023, 24.62645612594505]"
gear_train_design,RandomSampler,"Any[0.4784461631603403, 29.23895730734627]"
gear_train_design,RandomSampler,"Any[0.4953337275203751, 29.20658659519702]"
gear_train_design,RandomSampler,"Any[0.50165428439003, 29.197115973358958]"
gear_train_design,RandomSampler,"Any[0.5133304890025618, 29.16670731345726]"
gear_train_design,RandomSampler,"Any[2.3483816128471693, 24.653206644389154]"
gear_train_design,RandomSampler,"Any[2.3277846209939526, 24.701524000777436]"
gear_train_design,RandomSampler,"Any[2.301459473730092, 24.767244955582505]"
gear_train_design,RandomSampler,"Any[0.5339963560739882, 29.116695898206817]"
gear_train_design,RandomSampler,"Any[0.5556013979277807, 29.077481808772465]"
gear_train_design,RandomSampler,"Any[2.2858196715704215, 24.808496915581554]"
gear_train_design,RandomSampler,"Any[2.2738923543486793, 24.83969201477336]"
gear_train_design,RandomSampler,"Any[2.267179862117457, 24.858245587867902]"
gear_train_design,RandomSampler,"Any[0.5740152625258563, 29.030109136668905]"
