algorithm_name,sampler,solutions
gear_train_design,TPESampler,"Any[4.0511828861333754e-5, 30.431720880291827]"
gear_train_design,TPESampler,"Any[3.456678735026967, 21.460241224865932]"
gear_train_design,TPESampler,"Any[2.436759758400825, 24.418069867167688]"
gear_train_design,TPESampler,"Any[0.009652425434866885, 30.283946118678337]"
gear_train_design,TPESampler,"Any[3.456034804048384, 21.47777354148525]"
gear_train_design,TPESampler,"Any[3.4459265538327917, 21.495793986662125]"
gear_train_design,TPESampler,"Any[0.025689479090513778, 30.256896863380746]"
gear_train_design,TPESampler,"Any[0.03530339540288807, 30.24331800162052]"
gear_train_design,TPESampler,"Any[0.04522132944587476, 30.206899441716846]"
gear_train_design,TPESampler,"Any[3.441461508552442, 21.506785805319264]"
gear_train_design,TPESampler,"Any[3.433545143052357, 21.533504709674716]"
gear_train_design,TPESampler,"Any[0.057514410206364275, 30.182427446960858]"
gear_train_design,TPESampler,"Any[0.07006234894048546, 30.162789292949544]"
gear_train_design,TPESampler,"Any[3.4308928662017606, 21.54223345730272]"
gear_train_design,TPESampler,"Any[0.07189569465772916, 30.15376205101647]"
gear_train_design,TPESampler,"Any[0.07859481869574392, 30.131908007120614]"
gear_train_design,TPESampler,"Any[0.09749512115013648, 30.09094939170553]"
gear_train_design,TPESampler,"Any[0.10718687415308636, 30.07851061199612]"
gear_train_design,TPESampler,"Any[0.11719598050173996, 30.06947652966086]"
gear_train_design,TPESampler,"Any[0.11928561771274193, 30.05936892597891]"
gear_train_design,TPESampler,"Any[3.4227514276811304, 21.562204856328997]"
gear_train_design,TPESampler,"Any[0.12507251806299102, 30.034645532466175]"
gear_train_design,TPESampler,"Any[0.1382510475370733, 30.021916119378915]"
gear_train_design,TPESampler,"Any[0.142640970939655, 29.997561044715024]"
gear_train_design,TPESampler,"Any[0.14864595605699016, 29.991323214824458]"
gear_train_design,TPESampler,"Any[3.4173904278697598, 21.581956228441904]"
gear_train_design,TPESampler,"Any[3.41472278292639, 21.602718280104146]"
gear_train_design,TPESampler,"Any[0.1655854198755362, 29.960581420222503]"
gear_train_design,TPESampler,"Any[3.4122552461672235, 21.621033923237356]"
gear_train_design,TPESampler,"Any[3.403181752618928, 21.621425716743854]"
gear_train_design,TPESampler,"Any[3.398970604587128, 21.63994816078187]"
gear_train_design,TPESampler,"Any[3.392165030736401, 21.658489048637932]"
gear_train_design,TPESampler,"Any[3.3828159616237943, 21.697497372138674]"
gear_train_design,TPESampler,"Any[3.3826682805830535, 21.69861340432434]"
gear_train_design,TPESampler,"Any[0.18924402722295497, 29.89566615744021]"
gear_train_design,TPESampler,"Any[0.1966649637236353, 29.871084087370402]"
gear_train_design,TPESampler,"Any[0.2033941623563731, 29.8581233059854]"
gear_train_design,TPESampler,"Any[0.21040683274593697, 29.84100627159648]"
gear_train_design,TPESampler,"Any[3.373558577922221, 21.722066278699867]"
gear_train_design,TPESampler,"Any[3.367301421759554, 21.73809186647744]"
gear_train_design,TPESampler,"Any[3.3588503368667793, 21.755235551784462]"
gear_train_design,TPESampler,"Any[3.356117911609119, 21.776918419255818]"
gear_train_design,TPESampler,"Any[0.22794435083096865, 29.808570402950767]"
gear_train_design,TPESampler,"Any[0.23659431215117355, 29.784839665708358]"
gear_train_design,TPESampler,"Any[3.3463115056193207, 21.794250374100145]"
gear_train_design,TPESampler,"Any[3.3399476067355702, 21.81435323841928]"
gear_train_design,TPESampler,"Any[0.24729720820147438, 29.760433718030267]"
gear_train_design,TPESampler,"Any[0.2549212662161038, 29.74111062235107]"
