algorithm_name,sampler,solutions
car_side_impact_design,RandomSampler,"Any[92.56417057780364, 3.58529635089544, 10.613614115799486]"
car_side_impact_design,RandomSampler,"Any[34.07733627439691, 3.8651075962283135, 12.699317181941723]"
car_side_impact_design,RandomSampler,"Any[38.96986792106178, 3.791157054729709, 11.56705453680679]"
car_side_impact_design,RandomSampler,"Any[33.10451035326508, 3.9865660068074926, 12.69925484304195]"
car_side_impact_design,RandomSampler,"Any[33.950672951767515, 3.881805638097711, 12.69922697015226]"
car_side_impact_design,RandomSampler,"Any[34.09682941818939, 3.8629591893702027, 12.69912387784121]"
car_side_impact_design,RandomSampler,"Any[33.86794615691126, 3.8918668217559373, 12.69911269061698]"
car_side_impact_design,RandomSampler,"Any[34.092331208149545, 3.8633077371265307, 12.699062353282066]"
car_side_impact_design,RandomSampler,"Any[33.897618970761606, 3.8883242670404408, 12.699045274402668]"
car_side_impact_design,RandomSampler,"Any[34.10045163971495, 3.863034220657573, 12.699045063855685]"
car_side_impact_design,RandomSampler,"Any[34.09017281722069, 3.8636591009480163, 12.699034342349407]"
car_side_impact_design,RandomSampler,"Any[33.0399597042502, 3.9953308984825937, 12.69900985897716]"
car_side_impact_design,RandomSampler,"Any[34.179937351784055, 3.853291806489574, 12.699006937554282]"
car_side_impact_design,RandomSampler,"Any[33.67621740313885, 3.9158126686633223, 12.698999264404478]"
car_side_impact_design,RandomSampler,"Any[34.10970164784221, 3.862529181403201, 12.698997272685855]"
car_side_impact_design,RandomSampler,"Any[34.098848042816876, 3.863276725851282, 12.698992244507266]"
car_side_impact_design,RandomSampler,"Any[33.14745891578835, 3.9825607176127256, 12.698987096760408]"
car_side_impact_design,RandomSampler,"Any[33.70906552476819, 3.9112854301902127, 12.698925993845442]"
car_side_impact_design,RandomSampler,"Any[33.709251556104896, 3.911298999447083, 12.698919313906295]"
car_side_impact_design,RandomSampler,"Any[34.18289088268588, 3.8531017020691776, 12.698912132384564]"
car_side_impact_design,RandomSampler,"Any[33.67853612509336, 3.915455705629065, 12.698900972285436]"
car_side_impact_design,RandomSampler,"Any[33.050687359610606, 3.993737999815134, 12.698896387619655]"
car_side_impact_design,RandomSampler,"Any[34.11870818296753, 3.8622983624719622, 12.698880230350317]"
car_side_impact_design,RandomSampler,"Any[34.171484671246795, 3.8534995119752335, 12.69887246107417]"
car_side_impact_design,RandomSampler,"Any[33.690345164288786, 3.915062414295148, 12.698855029206538]"
