algorithm_name,sampler,solutions
car_side_impact_design,TPESampler,"Any[92.43929272389909, 3.6046127256029767, 10.611099297959736]"
car_side_impact_design,TPESampler,"Any[33.54045171860413, 3.9392948485651615, 12.69747593000368]"
car_side_impact_design,TPESampler,"Any[35.37038052995575, 3.877057944030539, 12.050430582992199]"
car_side_impact_design,TPESampler,"Any[34.22537952812075, 3.851998042467343, 12.697471690075181]"
car_side_impact_design,TPESampler,"Any[88.99043950800497, 3.8817166458313075, 10.628166164854694]"
car_side_impact_design,TPESampler,"Any[88.7620305342296, 3.7708082955359328, 10.63532136782053]"
car_side_impact_design,TPESampler,"Any[89.73653939075038, 3.58525, 10.640302865237516]"
car_side_impact_design,TPESampler,"Any[88.25426695316624, 3.765157029205038, 10.651836818914168]"
car_side_impact_design,TPESampler,"Any[88.8300123540865, 3.6160217945791944, 10.654262854406799]"
car_side_impact_design,TPESampler,"Any[86.60133422831186, 3.7738124206610397, 10.662108642425771]"
car_side_impact_design,TPESampler,"Any[34.11511692056114, 3.8683902678536044, 12.697218399225978]"
car_side_impact_design,TPESampler,"Any[34.26115640108686, 3.8509246925382055, 12.697154103387117]"
car_side_impact_design,TPESampler,"Any[33.85494137540383, 3.8963898375968493, 12.6968054716062]"
car_side_impact_design,TPESampler,"Any[86.32014037150589, 3.58525, 10.676872188389115]"
car_side_impact_design,TPESampler,"Any[33.99373420845928, 3.8767016345668095, 12.69658782357154]"
car_side_impact_design,TPESampler,"Any[34.202351984475285, 3.8525729750943234, 12.696577469160673]"
car_side_impact_design,TPESampler,"Any[83.4868697844753, 3.870621773508196, 10.69125737351018]"
car_side_impact_design,TPESampler,"Any[84.32343552207325, 3.612100245258285, 10.695390740219676]"
car_side_impact_design,TPESampler,"Any[83.02075984002596, 3.7501913568808867, 10.703493696830787]"
car_side_impact_design,TPESampler,"Any[83.10912269955332, 3.58525, 10.709245642170766]"
car_side_impact_design,TPESampler,"Any[82.90126605986504, 3.586939938338567, 10.715590980261299]"
car_side_impact_design,TPESampler,"Any[81.850177428617, 3.622210410239179, 10.720754492264103]"
car_side_impact_design,TPESampler,"Any[81.39856666375503, 3.5990256147841313, 10.734634112832765]"
car_side_impact_design,TPESampler,"Any[34.265107921981965, 3.8509083922602048, 12.696445347590451]"
car_side_impact_design,TPESampler,"Any[80.45474551675318, 3.58525, 10.736849305147933]"
car_side_impact_design,TPESampler,"Any[79.85567978140253, 3.666592424970862, 10.74792055002798]"
car_side_impact_design,TPESampler,"Any[33.558951719622634, 3.9346734508978423, 12.696368358192135]"
car_side_impact_design,TPESampler,"Any[76.98196911273519, 3.780378777982005, 10.755953465418191]"
car_side_impact_design,TPESampler,"Any[78.3278179171375, 3.588767793090048, 10.763786853737003]"
car_side_impact_design,TPESampler,"Any[75.63608249307008, 3.8193345222264274, 10.76847705120467]"
car_side_impact_design,TPESampler,"Any[77.3636182772448, 3.633471440121102, 10.775073764896264]"
car_side_impact_design,TPESampler,"Any[75.74773910495406, 3.688647573631207, 10.778661151240929]"
car_side_impact_design,TPESampler,"Any[75.27579224478716, 3.7802985702896335, 10.788985395881182]"
car_side_impact_design,TPESampler,"Any[74.56147638120467, 3.592530843963914, 10.796808548137573]"
car_side_impact_design,TPESampler,"Any[75.50660088388418, 3.5868583202925426, 10.802330498199204]"
car_side_impact_design,TPESampler,"Any[73.0000698277882, 3.7745771032801088, 10.80605287393473]"
car_side_impact_design,TPESampler,"Any[70.17043890698069, 3.9784838776484275, 10.81247884920403]"
car_side_impact_design,TPESampler,"Any[34.21164310597942, 3.852580203294333, 12.696176271246472]"
car_side_impact_design,TPESampler,"Any[72.73634738934052, 3.6683291967525897, 10.818540825991368]"
car_side_impact_design,TPESampler,"Any[71.03613061545242, 3.6955238207477663, 10.824077899930051]"
car_side_impact_design,TPESampler,"Any[69.91069144264024, 3.7080026190201547, 10.834970773813076]"
car_side_impact_design,TPESampler,"Any[34.14367090535387, 3.860983697798974, 12.696160955851752]"
car_side_impact_design,TPESampler,"Any[71.1280372165842, 3.5868649120369915, 10.840497595027163]"
car_side_impact_design,TPESampler,"Any[68.02236746440792, 3.7080026190201547, 10.854708569302197]"
car_side_impact_design,TPESampler,"Any[67.49671833281151, 3.7282584243133208, 10.858977541486947]"
car_side_impact_design,TPESampler,"Any[67.22304170540293, 3.743929276825711, 10.864616398930274]"
car_side_impact_design,TPESampler,"Any[69.10484326055953, 3.6132430034448064, 10.86573238587925]"
car_side_impact_design,TPESampler,"Any[67.61831111468567, 3.6043053821824, 10.86912091467457]"
car_side_impact_design,TPESampler,"Any[65.7404278435119, 3.7718907206244174, 10.87373917288408]"
car_side_impact_design,TPESampler,"Any[63.60302005371511, 3.9784831287858533, 10.87875718990695]"
