algorithm_name,sampler,solutions
four_bar_plane_truss,RandomSampler,"Any[1400.0543110241922, 0.03999654369189531]"
four_bar_plane_truss,RandomSampler,"Any[3048.528230484846, 0.0027614284022023385]"
four_bar_plane_truss,RandomSampler,"Any[1599.778276519882, 0.02886976897128035]"
four_bar_plane_truss,RandomSampler,"Any[3013.342716570609, 0.002963736267450142]"
four_bar_plane_truss,RandomSampler,"Any[2997.455695213616, 0.003084836954622584]"
four_bar_plane_truss,RandomSampler,"Any[2982.55472106609, 0.003149555928613962]"
four_bar_plane_truss,RandomSampler,"Any[2976.4312469530514, 0.0031876908909498516]"
four_bar_plane_truss,RandomSampler,"Any[2956.1649178552875, 0.0033276776913650817]"
four_bar_plane_truss,RandomSampler,"Any[2941.761218065728, 0.00342839939063483]"
four_bar_plane_truss,RandomSampler,"Any[2929.6978713146373, 0.0035024777314938116]"
four_bar_plane_truss,RandomSampler,"Any[2916.712846276131, 0.003584313540725285]"
four_bar_plane_truss,RandomSampler,"Any[2911.3065212803904, 0.0036225486249358476]"
four_bar_plane_truss,RandomSampler,"Any[2903.9231640680173, 0.0036809776274205662]"
four_bar_plane_truss,RandomSampler,"Any[2891.9920359861712, 0.0037668706341498982]"
four_bar_plane_truss,RandomSampler,"Any[2881.3804440393137, 0.00384148800325029]"
four_bar_plane_truss,RandomSampler,"Any[2858.427099127018, 0.00402966155474491]"
four_bar_plane_truss,RandomSampler,"Any[2854.9253190711925, 0.00408957068926891]"
four_bar_plane_truss,RandomSampler,"Any[2841.47348014251, 0.004158783603323799]"
four_bar_plane_truss,RandomSampler,"Any[2816.0804382418805, 0.004384161147898025]"
four_bar_plane_truss,RandomSampler,"Any[2811.4942924019174, 0.004450238059516621]"
four_bar_plane_truss,RandomSampler,"Any[2803.8082256357925, 0.004488394956948753]"
four_bar_plane_truss,RandomSampler,"Any[2779.3246676364315, 0.004690182050010047]"
four_bar_plane_truss,RandomSampler,"Any[2769.159922856611, 0.004828326615304367]"
four_bar_plane_truss,RandomSampler,"Any[2751.42183380126, 0.004970624223179682]"
